attempts,season,epa_per_play_raw,total_epa_raw,success_rate_raw,avg_opponent_sp_defense,sos_percentile,epa_per_play_adj,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
436,2006,0.2755065240444393,120.12084448337555,0.5298165137614679,23.112605042016806,50.0,0.2755065240444393,0.1720183486238532,,0,0.5251400896481105,56,0.5251400896481105,0.12844036697247707,0.08486238532110092,Brady Quinn,2007,Notre Dame,3
269,2006,0.1143338700763355,30.75581105053425,0.45353159851301117,23.112605042016806,50.0,0.1143338700763355,0.17100371747211895,,0,0.3735180854797363,30,0.3735180854797363,0.11152416356877323,0.04460966542750929,Drew Stanton,2007,Michigan State,3
125,2006,0.1582994210422039,19.787427630275488,0.472,23.112605042016806,50.0,0.1582994210422039,0.184,,0,0.35867059230804443,10,0.35867059230804443,0.08,0.056,Isaiah Stanback,2007,Washington,3
325,2006,0.3610581658436702,117.34390389919281,0.5661538461538461,23.112605042016806,50.0,0.3610581658436702,0.2246153846153846,,0,0.6876913751874651,35,0.6876913751874651,0.1076923076923077,0.08307692307692308,JaMarcus Russell,2007,LSU,3
386,2006,0.42367300020598375,163.53777807950974,0.5880829015544041,23.112605042016806,50.0,0.42367300020598375,0.24611398963730569,,0,0.3342739878029659,58,0.3342739878029659,0.15025906735751296,0.07253886010362694,John Beck,2007,BYU,3
424,2006,0.27696194747498015,117.43186572939157,0.5,23.112605042016806,50.0,0.27696194747498015,0.2169811320754717,,0,0.07381176013572543,51,0.07381176013572543,0.12028301886792453,0.06839622641509434,Kevin Kolb,2007,Houston,3
136,2006,-0.02311457649749868,-3.1435824036598206,0.4632352941176471,23.112605042016806,50.0,-0.02311457649749868,0.1323529411764706,,0,0.43745053898204456,11,0.43745053898204456,0.08088235294117647,0.04411764705882353,Trent Edwards,2007,Stanford,3
306,2006,0.33033455070716883,101.08237251639366,0.545751633986928,23.112605042016806,50.0,0.33033455070716883,0.1895424836601307,,0,0.7760599454243978,45,0.7760599454243978,0.14705882352941177,0.09803921568627451,Troy Smith,2007,Ohio State,3
459,2007,0.3126083936599085,143.487252689898,0.5337690631808278,27.040000000000003,50.0,0.3126083936599085,0.19825708061002179,,0,0.2001957967877388,64,0.2001957967877388,0.1394335511982571,0.06535947712418301,Brian Brohm,2008,Louisville,4
258,2007,0.2835736736770748,73.1620078086853,0.5348837209302325,27.040000000000003,50.0,0.2835736736770748,0.17829457364341086,,0,0.39607627732413153,35,0.39607627732413153,0.13565891472868216,0.06589147286821706,Chad Henne,2008,Michigan,4
246,2007,0.16060128020561806,39.50791493058205,0.508130081300813,27.040000000000003,50.0,0.16060128020561806,0.17886178861788618,,0,0.026010780623464874,33,0.026010780623464874,0.13414634146341464,0.08130081300813008,Dennis Dixon,2008,Oregon,4
40,2007,0.5095569372177124,20.382277488708496,0.6,27.040000000000003,50.0,0.5095569372177124,0.325,,0,0.037211338678995766,6,0.037211338678995766,0.15,0.1,Joe Flacco,2008,Delaware,1
324,2007,0.07768910240243983,25.171269178390503,0.4722222222222222,27.040000000000003,50.0,0.07768910240243983,0.17592592592592593,,0,0.030675545982692547,69,0.030675545982692547,0.21296296296296297,0.07098765432098765,John David Booty,2008,USC,2
592,2007,0.20167005059586182,119.3886699527502,0.5152027027027027,27.040000000000003,50.0,0.20167005059586182,0.16722972972972974,,0,0.16020981945208648,67,0.16020981945208648,0.11317567567567567,0.052364864864864864,Matt Ryan,2008,Boston College,4
343,2008,0.17894951829757358,61.379684776067734,0.4868804664723032,25.389999999999997,50.0,0.17894951829757358,0.19825072886297376,,0,-0.07463677724202473,30,-0.07463677724202473,0.08746355685131195,0.05830903790087463,Josh Freeman,2009,Kansas State,3
326,2008,0.38451594393128996,125.35219772160053,0.5920245398773006,25.389999999999997,50.0,0.38451594393128996,0.25766871165644173,,0,0.39419847184961493,55,0.39419847184961493,0.1687116564417178,0.10429447852760736,Mark Sanchez,2009,USC,3
367,2008,0.3705885667729443,136.00600400567055,0.5149863760217984,25.389999999999997,50.0,0.3705885667729443,0.22888283378746593,,0,0.2965635729999077,41,0.2965635729999077,0.11171662125340599,0.0681198910081744,Matthew Stafford,2009,Georgia,3
