player_name,draft_year,outcome,M0_draft,M1_college,M2_both
Brady Quinn,2007,0,0.9212756108191952,0.5720727037919405,0.8812483971452156
Drew Stanton,2007,0,0.7187035857319588,0.3787290372037162,0.5072058599621461
Isaiah Stanback,2007,0,0.24674362321795573,0.35924288334606325,0.08198868372416124
JaMarcus Russell,2007,1,0.9999505790611681,0.5689002225521131,0.999923485247488
John Beck,2007,0,0.7507204938641938,0.08211691135207977,0.7017744122987634
Kevin Kolb,2007,0,0.7927870439770102,0.361138033104182,0.45331222131734283
Trent Edwards,2007,1,0.30228083488212143,0.3476132763200025,0.17939134145476288
Troy Smith,2007,0,0.11864211742951292,0.38601955214732875,0.05041484077447378
Brian Brohm,2008,0,0.5227887126800539,0.4680209849306868,0.19847405583060418
Chad Henne,2008,1,0.5143343735202799,0.2804021085103193,0.24466063491163204
Dennis Dixon,2008,0,0.13787125672691858,0.2752885164929175,0.024158312993729947
Joe Flacco,2008,1,0.8974262384414449,0.30296163710595514,0.11661682160899367
John David Booty,2008,0,0.1595704904738824,0.22548821062107316,0.02400524328069642
Matt Ryan,2008,1,0.9958118252229797,0.26080679493927095,0.9869297718877521
Josh Freeman,2009,1,0.9160914827171368,0.6079858141682999,0.7304761557441499
Mark Sanchez,2009,1,0.9890877509207403,0.4656839888840264,0.8269603817111848
Matthew Stafford,2009,1,0.9995977404737371,0.614955708847936,0.9968775303722665
Pat White,2009,0,0.6543474082759737,0.30058758442326083,0.38508012149917514
Rhett Bomar,2009,0,0.14410994938961985,0.24833084213917234,0.028105518841507804
Stephen McGee,2009,0,0.2589301179845168,0.284478818869882,0.16520116856309708
Tom Brandstater,2009,0,0.12807368468503078,0.17378612764566037,0.07304887687165684
Colt McCoy,2010,1,0.30496871546074134,0.7240517484201525,0.6741910438385809
Dan LeFevour,2010,0,0.12402748749034731,0.8292428512810334,0.40018772475034914
Jimmy Clausen,2010,1,0.5767430771404409,0.6302370491132891,0.8242515797647225
Jonathan Crompton,2010,0,0.12728712324813563,0.24014314756684274,0.1512879726373597
Sam Bradford,2010,1,0.9997321678871788,0.8578347557446876,0.9999993358083541
Tim Tebow,2010,1,0.8216925547564564,0.8967389284872989,0.9877225821496342
Tony Pike,2010,0,0.1219490437004741,0.33466727425682075,0.3107777946692776
Andy Dalton,2011,1,0.7100176090303809,0.487807545748414,0.9488607609019873
Blaine Gabbert,2011,1,0.9588680258647453,0.6988294524534795,0.9999175582487284
Christian Ponder,2011,1,0.9438709313620036,0.4709270847914273,0.9983104526279192
Colin Kaepernick,2011,1,0.6993247823124858,0.41902053983173215,0.9525521463089065
Jake Locker,2011,1,0.9720789815415051,0.20731997966140037,0.9999314978000426
Nathan Enderle,2011,0,0.1266534613173652,0.3030956739603161,0.03559006116670216
Ricky Stanzi,2011,0,0.1561753660861701,0.2119352436867078,0.14593155493315957
Ryan Mallett,2011,0,0.3753692035579623,0.2919558295403194,0.32287240691356245
Tyrod Taylor,2011,1,0.11355661248307558,0.515255701726214,0.1676379869332396
Andrew Luck,2012,1,0.9995270585171552,0.8758269967656628,0.9999920706148329
Brandon Weeden,2012,1,0.8378764016819475,0.02097415100140332,0.9394955699823314
Brock Osweiler,2012,1,0.4701919978297263,0.8174298164891944,0.7034213032187957
Kirk Cousins,2012,1,0.20703144850034472,0.2610205999367772,0.2701614996361844
Nick Foles,2012,1,0.2655297220739874,0.5494080577079352,0.49298373523159034
Robert Griffin III,2012,1,0.9975624008584063,0.8827974313748197,0.9999985616509025
Russell Wilson,2012,1,0.33700026338425537,0.48735771404811845,0.26321934015726844
Ryan Lindley,2012,0,0.11175562320318932,0.20604152313923774,0.09318886773483426
Ryan Tannehill,2012,1,0.9666833301314179,0.206882056924226,0.9986266507780697
EJ Manuel,2013,1,0.9149451578757021,0.7194689215573324,0.9843943244386635
Geno Smith,2013,1,0.6726513619560106,0.8323754311844458,0.9279424196246864
Landry Jones,2013,0,0.2066899730157281,0.376273505422659,0.36802193747253686
Matt Barkley,2013,0,0.26189621765252546,0.7601106724037149,0.4135372117515098
Mike Glennon,2013,1,0.3879210507338975,0.35908094889669606,0.7177760892216578
Ryan Nassib,2013,0,0.22068771864222136,0.38955005679876564,0.31974573354899183
Tyler Wilson,2013,0,0.2148822888205023,0.34278725953867717,0.5578294542060702
AJ McCarron,2014,0,0.13374690403858813,0.6930078017655431,0.1677197581144575
Aaron Murray,2014,0,0.1343581744822081,0.5070187007495193,0.15005223784300636
Blake Bortles,2014,1,0.9971496529517342,0.8772988744188424,0.9999785073062437
Derek Carr,2014,1,0.7393850015763876,0.7118262279103018,0.9002478850788413
Jimmy Garoppolo,2014,0,0.49235341755592443,0.7989193032386105,0.713865614140653
Johnny Manziel,2014,0,0.8795371020380396,0.9986551948998554,0.991547042697896
Logan Thomas,2014,0,0.1952503244298276,0.3167849113148997,0.2987414609550004
Teddy Bridgewater,2014,1,0.7808142619275593,0.9707303463970328,0.9563402357774439
Brett Hundley,2015,1,0.12965280549570213,0.7271676189111016,0.13205996420182486
Bryce Petty,2015,0,0.24381984493293585,0.3997995193112316,0.3853203147151809
Jameis Winston,2015,1,0.9994907295030762,0.8077718024495829,0.9992880338205752
Marcus Mariota,2015,1,0.9976131736410484,0.8746412911739441,0.9993923681774306
Sean Mannion,2015,0,0.30665326458537034,0.5478084086591515,0.46552334552935093
Trevor Siemian,2015,1,0.05030218739650849,0.3358062908386228,0.09984695896765838
Brandon Allen,2016,0,0.12910936679986706,0.11020713225651302,0.11856398692261083
Brandon Doughty,2016,0,0.13183902706650696,0.5826398127694947,0.38280589822748823
Cardale Jones,2016,0,0.14781693908627325,0.427901342499001,0.12995154599204106
Carson Wentz,2016,1,0.9995360780258408,0.6967707004673979,0.9999999020773447
Cody Kessler,2016,0,0.2689232578927925,0.4891626311413656,0.463829192173315
Connor Cook,2016,0,0.2385643913159915,0.21608509348977833,0.21117730909016041
Dak Prescott,2016,1,0.15261941566065385,0.4788627110527067,0.17105018843089326
Jacoby Brissett,2016,1,0.2785920248358914,0.246247962673949,0.2851594729270085
Jake Rudock,2016,0,0.12851754097196733,0.35181762003306694,0.06444289359343192
Jared Goff,2016,1,0.9999424460064218,0.6405326289610347,0.9999997818319499
Jeff Driskel,2016,0,0.12970772889661963,0.3348900077936878,0.02894318760284509
Kevin Hogan,2016,0,0.13220409213710138,0.5688014340462684,0.11257010520496358
Nate Sudfeld,2016,0,0.12846761101660176,0.45272633014343144,0.11272237867181933
Paxton Lynch,2016,0,0.8455600908051514,0.5419752964740625,0.8915088387884186
C.J. Beathard,2017,0,0.2411373864859273,0.215487819258956,0.1759340942450005
Davis Webb,2017,0,0.31493781392861075,0.35108554867724007,0.20955529259904537
DeShone Kizer,2017,1,0.5598822113937687,0.6849831446463336,0.4732732395231658
Deshaun Watson,2017,1,0.9529962913181147,0.8986402840421047,0.9778263174591499
Joshua Dobbs,2017,0,0.16347942512077718,0.6470984584753914,0.21493887957033586
Nathan Peterman,2017,0,0.1289672249354301,0.2900212320459197,0.05500185240521671
Patrick Mahomes,2017,1,0.9662380703921635,0.7185559381419782,0.9787395023175915
Baker Mayfield,2018,1,0.9995437789293597,0.5537184035774466,0.999879514638494
Danny Etling,2018,0,0.12831628100572068,0.08391107273416809,0.05943058676139645
Josh Allen,2018,1,0.9767634005529385,0.29328071096409936,0.958945046118586
Josh Rosen,2018,1,0.9582017743200167,0.48851887034269126,0.863711366096468
Kyle Lauletta,2018,0,0.2260901195216094,0.7525071608363861,0.31256467916609965
Lamar Jackson,2018,1,0.7525670900672663,0.5336739904233325,0.7183255405647244
Logan Woodside,2018,0,0.12647854450619733,0.3401036053416111,0.09051301462914141
Mike White,2018,0,0.1367346378294404,0.22975883880003378,0.05881560248222606
Sam Darnold,2018,1,0.9949168519667942,0.7297044535243051,0.9927277814575378
Tanner Lee,2018,0,0.12974690597425464,0.09187268223350964,0.03487055067511391
Clayton Thorson,2019,0,0.13036597839209252,0.08277048503108042,0.08157784254814515
Daniel Jones,2019,1,0.9888198002640206,0.37519853370178247,0.9977246236383258
Drew Lock,2019,1,0.6851222522888508,0.22559975692256684,0.4631894703740246
Dwayne Haskins,2019,0,0.9411240195020079,0.8302999907162794,0.9733554082867406
Jarrett Stidham,2019,0,0.16683240757733675,0.35083180894135235,0.10102347964387759
Kyler Murray,2019,1,0.9997848737995062,0.9155599098303475,0.9999762068103575
Ryan Finley,2019,0,0.24553513516845105,0.2143445368382989,0.18629135026169918
Will Grier,2019,0,0.2617680176411671,0.2907330476032115,0.1696772716426055
Ben DiNucci,2020,0,0.12633384023209715,0.7427079165005951,0.3285600989974443
Jacob Eason,2020,0,0.18824247381880987,0.37516832370912356,0.08303576272869573
Jake Fromm,2020,0,0.13789917590842482,0.4434201266045811,0.08016452361153792
Jake Luton,2020,0,0.13131845629251537,0.17609671159517293,0.09639689390894546
Jalen Hurts,2020,1,0.5447229064290506,0.9728768982941206,0.7858701467839179
James Morgan,2020,0,0.18211291076664027,0.18090458436239665,0.07724049417607293
Joe Burrow,2020,1,0.9997359751625859,0.5209091414141047,0.9999768613822697
Justin Herbert,2020,1,0.985338632529064,0.4637908681130064,0.9948549181901569
Nate Stanley,2020,0,0.12523587684649973,0.3239967213258961,0.03800112524590038
Tua Tagovailoa,2020,1,0.9896192316358521,0.738269035184453,0.9801763136862259
Davis Mills,2021,1,0.4406787511274355,0.42750698100820894,0.4993539202061035
Ian Book,2021,0,0.16542137442011373,0.4415907526283539,0.17079143689496268
Justin Fields,2021,1,0.9556584848604772,0.7984470908789844,0.9910145004506387
Kellen Mond,2021,0,0.4480436824593379,0.46927431187510227,0.46832232027028897
Kyle Trask,2021,0,0.4631267169327279,0.3974048577128433,0.44204767675216416
Mac Jones,2021,1,0.925879710645322,0.555308794601472,0.8860601395151203
Sam Ehlinger,2021,0,0.12100150694833278,0.5711113033354527,0.09958924836239857
Trevor Lawrence,2021,1,0.999680165227945,0.7867465235738403,0.999955609557063
Zach Wilson,2021,1,0.9982948409720066,0.6782339761985612,0.9990655027308889
