draft_year,round,pick,player_name,college,age,pfr_player_id,gsis_id
1993,8,219,Elvis Grbac,Michigan,23.0,GrbaEl00,00-0006300
1993,8,222,Trent Green,Indiana,23.0,GreeTr00,00-0006355
1994,1,3,Heath Shuler,Tennessee,22.0,ShulHe00,00-0014843
1994,1,6,Trent Dilfer,Fresno St.,22.0,DilfTr00,00-0004293
1994,4,111,Perry Klein,C.W. Post,23.0,KleiPe20,00-0009321
1994,4,116,Doug Nussmeier,Idaho,23.0,NussDo00,00-0012226
1994,6,178,Jim Miller,Michigan St.,23.0,MillJi00,
1994,7,197,Gus Frerotte,Tulsa,23.0,FrerGu00,00-0005589
1994,7,198,Jay Walker,Howard,22.0,WalkJa22,WAL223608
1994,7,199,Steve Matthews,Memphis,23.0,MattSt00,00-0010561
1994,7,208,Glenn Foley,Boston Col.,23.0,FoleGl00,00-0005379
1995,1,3,Steve McNair,Alcorn St.,22.0,McNaSt00,00-0011024
1995,1,5,Kerry Collins,Penn St.,22.0,CollKe00,00-0003292
1995,2,45,Todd Collins,Michigan,23.0,CollTo00,00-0003315
1995,2,60,Kordell Stewart,Colorado,22.0,StewKo00,00-0015700
1995,3,80,Stoney Case,New Mexico,23.0,CaseSt00,00-0002787
1995,3,84,Eric Zeier,Georgia,23.0,ZeieEr00,00-0018483
1995,4,99,Rob Johnson,USC,22.0,JohnRo00,00-0008612
1995,4,111,Chad May,Kansas St.,,,
1995,4,119,Dave Barr,California,23.0,BarrDa20,00-0000819
1995,4,134,Steve Stenstrom,Stanford,23.0,StenSt00,00-0015627
1995,5,160,Jay Barker,Alabama,,,
1995,6,191,Jerry Colquitt,Tennessee,,,
1995,6,197,Craig Whelihan,Pacific,24.0,WhelCr00,00-0017497
1995,7,213,John Walsh,BYU,,,
1996,2,42,Tony Banks,Michigan St.,23.0,BankTo00,00-0000722
1996,3,85,Bobby Hoying,Ohio St.,23.0,HoyiBo00,00-0007832
1996,4,100,Jeff Lewis,Northern Arizona,23.0,LewiJe01,00-0009868
1996,4,130,Danny Kanell,Florida St.,22.0,KaneDa00,00-0009007
1996,6,203,Spence Fischer,Duke,,,
1996,6,205,Mike Cawley,James Madison,,,
1996,7,238,Jon Stark,,,,
1996,7,240,Kyle Wachholtz,USC,,,
1997,1,26,Jim Druckenmiller,Virginia Tech,24.0,DrucJi00,00-0004546
1997,2,42,Jake Plummer,Arizona St.,22.0,PlumJa00,00-0013042
1997,4,99,Danny Wuerffel,Florida,23.0,WuerDa00,00-0018333
1997,4,110,Pat Barnes,California,22.0,BarnPa20,00-0000785
1997,6,171,Mike Cherry,Murray St.,23.0,CherMi00,00-0002930
1997,6,191,Chuck Clements,Houston,23.0,ClemCh21,00-0003108
1997,7,204,Tony Graziani,Oregon,23.0,GrazTo00,00-0006299
1997,7,207,Koy Detmer,Colorado,24.0,DetmKo00,00-0004229
1997,7,234,Wally Richardson,Penn St.,23.0,RichWa00,00-0013695
1997,7,237,Tony Corbin,Sacramento St.,,,
1997,7,240,Ron McAda,Army,,,
1998,1,1,Peyton Manning,Tennessee,22.0,MannPe00,00-0010346
1998,1,2,Ryan Leaf,Washington St.,22.0,LeafRy00,00-0009715
1998,2,60,Charlie Batch,Eastern Michigan,23.0,BatcCh00,00-0000865
1998,3,86,Jonathan Quinn,Middle Tenn. St.,23.0,QuinJo00,00-0013338
1998,3,91,Brian Griese,Michigan,23.0,GrieBr00,00-0006423
1998,6,172,John Dutton,Nevada,,,
1998,6,187,Matt Hasselbeck,Boston Col.,22.0,HassMa00,00-0007091
1998,7,232,Moses Moreno,Colorado St.,23.0,MoreMo00,00-0011640
1999,1,1,Tim Couch,Kentucky,22.0,CoucTi00,00-0003535
1999,1,2,Donovan McNabb,Syracuse,22.0,McNaDo00,00-0011022
1999,1,3,Akili Smith,Oregon,24.0,SmitAk00,00-0015082
1999,1,11,Daunte Culpepper,Central Florida,22.0,CulpDa00,00-0003739
1999,1,12,Cade McNown,UCLA,22.0,McNoCa00,00-0011044
1999,2,50,Shaun King,Tulane,22.0,KingSh00,00-0009266
1999,3,77,Brock Huard,Washington,23.0,HuarBr00,00-0007834
1999,4,101,Joe Germaine,Ohio St.,24.0,GermJo00,00-0005902
1999,4,131,Aaron Brooks,Virginia,23.0,BrooAa00,00-0001823
1999,5,151,Kevin Daft,UC Davis,,,
1999,7,227,Michael Bishop,Kansas St.,23.0,BishMi00,00-0001272
1999,7,239,Chris Greisen,NW Missouri St.,23.0,GreiCh00,00-0006410
1999,7,245,Scott Covington,Miami (FL),23.0,CoviSc00,00-0003557
2000,1,18,Chad Pennington,Marshall,24.0,PennCh01,00-0019559
2000,3,65,Giovanni Carmazzi,Hofstra,,,
2000,3,75,Chris Redman,Louisville,23.0,RedmCh00,00-0019709
2000,5,163,Tee Martin,Tennessee,22.0,MartTe00,00-0019633
2000,6,168,Marc Bulger,West Virginia,23.0,BulgMa00,00-0019599
2000,6,183,Spergon Wynn,Texas St.,22.0,WynnSp00,00-0019553
2000,6,199,Tom Brady,Michigan,23.0,BradTo00,00-0019596
2000,6,202,Todd Husak,Stanford,22.0,HusaTo20,00-0019622
2000,6,205,JaJuan Seider,Florida A&M,,,
2000,7,212,Tim Rattay,Louisiana Tech,23.0,RattTi00,00-0019623
2000,7,214,Jarious Jackson,Notre Dame,23.0,JackJa01,00-0019682
2000,7,234,Joe Hamilton,Georgia Tech,23.0,HamiJo20,00-0019579
2001,1,1,Michael Vick,Virginia Tech,21.0,VickMi00,00-0020245
2001,2,32,Drew Brees,Purdue,22.0,BreeDr00,00-0020531
2001,2,53,Quincy Carter,Georgia,23.0,CartQu00,00-0020404
2001,2,59,Marques Tuiasosopo,Washington,22.0,TuiaMa00,00-0020405
2001,4,106,Chris Weinke,Florida St.,29.0,WeinCh00,00-0020434
2001,4,109,Sage Rosenfels,Iowa St.,23.0,RoseSa00,00-0020480
2001,4,125,Jesse Palmer,Florida,22.0,PalmJe00,00-0020483
2001,5,149,Mike McMahon,Rutgers,22.0,McMaMi00,00-0020308
2001,5,155,A.J. Feeley,Oregon,24.0,FeelA.00,00-0020305
2001,6,172,Josh Booty,LSU,,,
2001,6,177,Josh Heupel,Oklahoma,,,
2002,1,1,David Carr,Fresno St.,23.0,CarrDa00,00-0020608
2002,1,3,Joey Harrington,Oregon,23.0,HarrJo00,00-0021141
2002,1,32,Patrick Ramsey,Tulane,23.0,RamsPa00,00-0021379
2002,3,81,Josh McCown,Sam Houston St.,23.0,McCoJo01,00-0021206
2002,4,108,David Garrard,East Carolina,24.0,GarrDa00,00-0021231
2002,4,117,Rohan Davey,LSU,24.0,DaveRo01,00-0021238
2002,5,137,Randy Fasani,Stanford,23.0,FasaRa00,00-0021254
2002,5,158,Kurt Kittner,Illinois,22.0,KittKu00,00-0021271
2002,5,163,Brandon Doman,BYU,,,
2002,5,164,Craig Nall,LSU,23.0,NallCr00,00-0021277
2002,6,186,J.T. O'Sullivan,UC Davis,23.0,OSulJ.00,00-0021296
2002,6,205,Steve Bellisari,Ohio St.,,,
2002,7,216,Seth Burford,Cal Poly-San Luis Obispo,,,
2002,7,232,Jeff Kelly,Southern Miss,23.0,KellJe21,00-0021334
2002,7,236,Wes Pate,S.F. Austin,,,
2003,1,1,Carson Palmer,USC,23.0,PalmCa00,00-0021429
2003,1,7,Byron Leftwich,Marshall,23.0,LeftBy00,00-0022177
2003,1,19,Kyle Boller,California,22.0,BollKy00,00-0022164
2003,1,22,Rex Grossman,Florida,23.0,GrosRe00,00-0022121
2003,3,88,Dave Ragone,Louisville,23.0,RagoDa00,00-0022091
2003,3,97,Chris Simms,Texas,23.0,SimmCh00,00-0022005
2003,4,110,Seneca Wallace,Iowa St.,23.0,WallSe00,00-0022055
2003,5,163,Brian St. Pierre,Boston Col.,23.0,St.PBr20,00-0022101
2003,6,192,Drew Henson,Michigan,23.0,HensDr00,00-0022181
2003,6,200,Brooks Bollinger,Wisconsin,23.0,BollBr00,00-0022026
2003,6,201,Kliff Kingsbury,Texas Tech,24.0,KingKl00,00-0022027
2003,7,232,Gibran Hamdan,Indiana,22.0,HamdGi00,00-0022112
2003,7,241,Ken Dorsey,Miami (FL),22.0,DorsKe00,00-0022039
2004,1,1,Eli Manning,Mississippi,23.0,MannEl00,00-0022803
2004,1,4,Philip Rivers,North Carolina St.,22.0,RivePh00,00-0022942
2004,1,11,Ben Roethlisberger,Miami (OH),22.0,RoetBe00,00-0022924
2004,1,22,J.P. Losman,Tulane,23.0,LosmJ.00,00-0022912
2004,3,90,Matt Schaub,Virginia,23.0,SchaMa00,00-0022787
2004,4,106,Luke McCown,Louisiana Tech,23.0,McCoLu00,00-0022864
2004,5,148,Craig Krenzel,Ohio St.,23.0,KrenCr00,00-0022818
2004,6,185,Andy Hall,Delaware,23.0,HallAn00,00-0022761
2004,6,187,Josh Harris,Bowling Green,,,
2004,6,193,Jim Sorgi,Wisconsin,23.0,SorgJi00,00-0022744
2004,6,201,Jeff Smoker,Michigan St.,,,
2004,7,202,John Navarre,Michigan,23.0,NavaJo00,00-0022827
2004,7,217,Cody Pickett,Washington,24.0,PickCo00,00-0022731
2004,7,218,Casey Bramlet,Wyoming,,,
2004,7,225,Matt Mauck,LSU,25.0,MaucMa00,00-0022768
2004,7,248,B.J. Symons,Texas Tech,,,
2004,7,250,Bradlee Van Pelt,Colorado St.,24.0,VanPBr00,00-0022774
2005,1,1,Alex Smith,Utah,21.0,SmitAl03,00-0023436
2005,1,24,Aaron Rodgers,California,21.0,RodgAa00,00-0023459
2005,1,25,Jason Campbell,Auburn,23.0,CampJa00,00-0023460
2005,3,67,Charlie Frye,Akron,24.0,FryeCh00,00-0023502
2005,3,69,Andrew Walter,Arizona St.,23.0,WaltAn00,00-0023504
2005,3,85,David Greene,Georgia,,,
2005,4,106,Kyle Orton,Purdue,22.0,OrtoKy00,00-0023541
2005,4,121,Stefan Lefors,Louisville,,,
2005,5,145,Dan Orlovsky,Connecticut,22.0,OrloDa00,00-0023578
2005,5,152,Adrian McPherson,Florida St.,,,
2005,6,213,Derek Anderson,Oregon St.,22.0,AndeDe00,00-0023645
2005,7,229,James Kilian,Tulsa,,,
2005,7,230,Matt Cassel,USC,23.0,CassMa00,00-0023662
2005,7,250,Ryan Fitzpatrick,Harvard,22.0,FitzRy00,00-0023682
2006,1,3,Vince Young,Texas,23.0,YounVi00,00-0024218
2006,1,10,Matt Leinart,USC,23.0,LeinMa00,00-0024225
2006,1,11,Jay Cutler,Vanderbilt,23.0,CutlJa00,00-0024226
2006,2,49,Kellen Clemens,Oregon,23.0,ClemKe00,00-0024264
2006,2,64,Tarvaris Jackson,Alabama St.,23.0,JackTa00,00-0024279
2006,3,81,Charlie Whitehurst,Clemson,24.0,WhitCh02,00-0024296
2006,3,85,Brodie Croyle,Alabama,23.0,CroyBr00,00-0024300
2006,4,103,Brad Smith,Missouri,22.0,SmitBr01,00-0024318
2006,5,148,Ingle Martin,Furman,24.0,MartIn00,00-0024362
2006,5,164,Omar Jacobs,Bowling Green,,,
2006,6,193,Reggie McNeal,Texas A&M,22.0,McNeRe00,00-0024407
2006,6,194,Bruce Gradkowski,Toledo,23.0,GradBr00,00-0024408
2006,7,223,D.J. Shockley,Georgia,,,
2007,1,1,JaMarcus Russell,LSU,22.0,RussJa00,00-0025388
2007,1,22,Brady Quinn,Notre Dame,22.0,QuinBr00,00-0025409
2007,2,36,Kevin Kolb,Houston,23.0,KolbKe00,00-0025423
2007,2,40,John Beck,BYU,26.0,BeckJo00,00-0025427
2007,2,43,Drew Stanton,Michigan St.,23.0,StanDr00,00-0025430
2007,3,92,Trent Edwards,Stanford,23.0,EdwaTr01,00-0025479
2007,4,103,Isaiah Stanback,Washington,23.0,StanIs00,00-0025490
2007,5,151,Jeff Rowe,Nevada,23.0,RoweJe00,00-0025538
2007,5,174,Troy Smith,Ohio St.,23.0,SmitTr02,00-0025561
2007,6,205,Jordan Palmer,Texas-El Paso,23.0,PalmJo20,00-0025592
2007,7,217,Tyler Thigpen,Coastal Carolina,23.0,ThigTy00,00-0025604
2008,1,3,Matt Ryan,Boston Col.,23.0,RyanMa00,00-0026143
2008,1,18,Joe Flacco,Delaware,23.0,FlacJo00,00-0026158
2008,2,56,Brian Brohm,Louisville,22.0,BrohBr00,00-0026196
2008,2,57,Chad Henne,Michigan,23.0,HennCh01,00-0026197
2008,3,94,Kevin O'Connell,San Diego St.,23.0,OConKe00,00-0026234
2008,5,137,John David Booty,USC,,,
2008,5,156,Dennis Dixon,Oregon,23.0,DixoDe00,00-0026296
2008,5,160,Josh Johnson,San Diego,22.0,JohnJo05,00-0026300
2008,5,162,Erik Ainge,Tennessee,22.0,AingEr00,00-0026302
2008,6,186,Colt Brennan,Hawaii,25.0,BrenCo00,00-0026326
2008,6,198,Andre Woodson,Kentucky,24.0,WoodAn00,00-0026338
2008,7,209,Matt Flynn,LSU,23.0,FlynMa00,00-0026349
2008,7,223,Alex Brink,Washington St.,23.0,BrinAl00,00-0026363
2009,1,1,Matthew Stafford,Georgia,21.0,StafMa00,00-0026498
2009,1,5,Mark Sanchez,USC,22.0,SancMa00,00-0026898
2009,1,17,Josh Freeman,Kansas St.,21.0,FreeJo00,00-0026993
2009,2,44,Pat White,West Virginia,23.0,WhitPa01,00-0027020
2009,4,101,Stephen McGee,Texas A&M,23.0,McGeSt00,00-0027071
2009,5,151,Rhett Bomar,Sam Houston St.,24.0,BomaRh00,00-0026916
2009,5,171,Nate Davis,Ball St.,22.0,DaviNa00,00-0027118
2009,6,174,Tom Brandstater,Fresno St.,24.0,BranTo00,00-0027121
2009,6,178,Mike Teel,Rutgers,23.0,TeelMi00,00-0026927
