draft_year,round,pick,nfl_team,player_name,cfb_id,pfr_id,position,age,college
2020,7,224,TEN,Cole McDonald,cole-mcdonald-1,McDoCo00,QB,22.0,Hawaii
2020,7,231,DAL,Ben DiNucci,ben-dinucci-1,DiNuBe00,QB,23.0,James Madison
2020,7,240,NOR,Tommy Stevens,tommy-stevens-1,StevTo01,QB,23.0,Mississippi St.
2020,7,244,MIN,Nate Stanley,nathan-stanley-2,StanNa00,QB,23.0,Iowa
2021,1,1,JAX,Trevor Lawrence,trevor-lawrence-1,LawrTr00,QB,21.0,Clemson
2021,1,2,NYJ,Zach Wilson,zach-wilson-3,WilsZa00,QB,22.0,BYU
2021,1,3,SFO,Trey Lance,trey-lance-1,LancTr00,QB,21.0,North Dakota St.
2021,1,11,CHI,Justin Fields,justin-fields-2,FielJu00,QB,22.0,Ohio St.
2021,1,15,NWE,Mac Jones,mac-jones-1,JoneMa05,QB,23.0,Alabama
2021,2,64,TAM,Kyle Trask,kyle-trask-1,TrasKy00,QB,23.0,Florida
2021,3,66,MIN,Kellen Mond,kellen-mond-1,MondKe00,QB,22.0,Texas A&M
2021,3,67,HOU,Davis Mills,davis-mills-1,MillDa02,QB,22.0,Stanford
2021,4,133,NOR,Ian Book,ian-book-1,BookIa00,QB,23.0,Notre Dame
2021,6,218,IND,Sam Ehlinger,sam-ehlinger-1,EhliSa00,QB,22.0,Texas
2022,1,20,PIT,Kenny Pickett,kenny-pickett-1,PickKe00,QB,24.0,Pittsburgh
2022,3,74,ATL,Desmond Ridder,desmond-ridder-1,RiddDe00,QB,23.0,Cincinnati
2022,3,86,TEN,Malik Willis,malik-willis-1,WillMa12,QB,23.0,Liberty
2022,3,94,CAR,Matt Corral,matt-corral-1,CorrMa00,QB,23.0,Mississippi
2022,4,137,NWE,Bailey Zappe,bailey-zappe-1,ZappBa00,QB,23.0,Western Kentucky
2022,5,144,WAS,Sam Howell,sam-howell-1,HoweSa00,QB,21.0,North Carolina
2022,7,241,PIT,Chris Oladokun,,OladCh00,QB,25.0,South Dakota St.
2022,7,247,MIA,Skylar Thompson,skylar-thompson-1,ThomSk00,QB,25.0,Kansas St.
2022,7,262,SFO,Brock Purdy,brock-purdy-1,PurdBr00,QB,22.0,Iowa St.
2023,1,1,CAR,Bryce Young,bryce-young-1,YounBr01,QB,22.0,Alabama
2023,1,2,HOU,C.J. Stroud,cj-stroud-1,StroCJ00,QB,21.0,Ohio St.
2023,1,4,IND,Anthony Richardson,anthony-richardson-2,RichAn03,QB,21.0,Florida
2023,2,33,TEN,Will Levis,will-levis-1,LeviWi00,QB,24.0,Kentucky
2023,3,68,DET,Hendon Hooker,hendon-hooker-1,HookHe00,QB,25.0,Tennessee
2023,4,127,NOR,Jake Haener,jake-haener-1,HaenJa00,QB,24.0,Fresno St.
2023,4,128,LAR,Stetson Bennett,stetson-bennett-1,BennSt00,QB,25.0,Georgia
2023,4,135,LVR,Aidan O'Connell,aidan-oconnell-1,OConAi00,QB,25.0,Purdue
2023,5,139,ARI,Clayton Tune,clayton-tune-1,TuneCl00,QB,24.0,Houston
2023,5,140,CLE,Dorian Thompson-Robinson,dorian-thompson-robinson-1,ThomDo02,QB,23.0,UCLA
2023,5,149,GNB,Sean Clifford,sean-clifford-1,ClifSe00,QB,25.0,Penn St.
2023,5,164,MIN,Jaren Hall,jaren-hall-1,HallJa00,QB,25.0,BYU
2023,6,188,PHI,Tanner McKee,tanner-mckee-1,McKeTa01,QB,23.0,Stanford
2023,7,239,LAC,Max Duggan,max-duggan-1,DuggMa00,QB,22.0,TCU
2024,1,1,CHI,Caleb Williams,caleb-williams-3,WillCa03,QB,22.0,USC
2024,1,2,WAS,Jayden Daniels,jayden-daniels-1,DaniJa02,QB,23.0,LSU
2024,1,3,NWE,Drake Maye,drake-maye-1,MayeDr00,QB,22.0,North Carolina
2024,1,8,ATL,Michael Penix,michael-penix-jr-1,PeniMi00,QB,24.0,Washington
2024,1,10,MIN,J.J. McCarthy,jj-mccarthy-1,McCaJJ00,QB,21.0,Michigan
2024,1,12,DEN,Bo Nix,bo-nix-1,NixxBo00,QB,24.0,Oregon
2024,5,150,NOR,Spencer Rattler,spencer-rattler-1,RattSp00,QB,23.0,South Carolina
2024,5,171,NYJ,Jordan Travis,jordan-travis-1,TravJo00,QB,24.0,Florida St.
2024,6,193,NWE,Joe Milton,joe-milton-2,MiltJo00,QB,24.0,Tennessee
2024,6,218,BAL,Devin Leary,devin-leary-1,LearDe00,QB,24.0,Kentucky
2024,7,245,GNB,Michael Pratt,michael-pratt-1,PratMi00,QB,22.0,Tulane
2025,1,1,TEN,Cam Ward,,,QB,,Miami (FL)
2025,1,25,NYG,Jaxson Dart,,,QB,,Mississippi
2025,2,40,NOR,Tyler Shough,,,QB,,Louisville
2025,3,92,SEA,Jalen Milroe,,,QB,,Alabama
2025,3,94,CLE,Dillon Gabriel,,,QB,,Oregon
2025,5,144,CLE,Shedeur Sanders,,,QB,,Colorado
2025,6,181,PHI,Kyle McCord,,,QB,,Syracuse
2025,6,185,PIT,Will Howard,,,QB,,Ohio St.
2025,6,189,IND,Riley Leonard,,,QB,,Notre Dame
2025,6,197,HOU,Graham Mertz,,,QB,,Florida
2025,6,213,LVR,Tommy Mellott,,,QB,,Montana St.
2025,6,215,LVR,Cam Miller,,,QB,,North Dakota St.
2025,7,227,SFO,Kurtis Rourke,,,QB,,Indiana
2025,7,231,MIA,Quinn Ewers,,,QB,,Texas
