season,week,season_type,home_team,away_team,home_division,away_division,completed
2003,2,regular,Marshall,Hofstra,fbs,fcs,True
2003,2,regular,Auburn,USC,fbs,fbs,True
2003,2,regular,Norfolk State,Virginia St,fcs,,True
2003,2,regular,Florida,San José State,fbs,fbs,True
2003,2,regular,Gardner-Webb,Clark Atlanta,fcs,,True
2003,2,regular,James Madison,Liberty,fcs,fcs,True
2003,2,regular,NC State,Western Carolina,fbs,fcs,True
2003,2,regular,Maine,Montana,fcs,fcs,True
2003,2,regular,Eastern Illinois,PennWest California,fcs,,True
2003,2,regular,Rutgers,Buffalo,fbs,fbs,True
2003,2,regular,Texas Tech,SMU,fbs,fbs,True
2003,2,regular,Oklahoma,North Texas,fbs,fbs,True
2003,2,regular,Furman,Elon,fcs,fcs,True
2003,2,regular,Iowa State,Northern Iowa,fbs,fcs,True
2003,2,regular,Bethune-Cookman,Savannah St,fcs,fcs,True
2003,2,regular,Murray State,Valparaiso,fcs,fcs,True
2003,2,regular,Baylor,UAB,fbs,fbs,True
2003,2,regular,Bucknell,Duquesne,fcs,fcs,True
2003,2,regular,South Carolina,Louisiana,fbs,fbs,True
2003,2,regular,Northwestern State,Jackson State,fcs,fcs,True
2003,2,regular,Kansas,Northwestern,fbs,fbs,True
2003,2,regular,Minnesota,Tulsa,fbs,fbs,True
2003,2,regular,Morgan State,Towson,fcs,fcs,True
2003,2,regular,Virginia,Duke,fbs,fbs,True
2003,2,regular,St. Peter's,Sacred Heart,fcs,fcs,True
2003,2,regular,Kansas State,Troy,fbs,fbs,True
2003,2,regular,Alabama A&M,Jacksonville State,fcs,fcs,True
2003,2,regular,Alabama,South Florida,fbs,fbs,True
2003,2,regular,Colorado State,Colorado,fbs,fbs,True
2003,2,regular,Houston,Rice,fbs,fbs,True
2003,2,regular,McNeese,Henderson State,fcs,,True
2003,2,regular,LSU,UL Monroe,fbs,fbs,True
2003,2,regular,North Carolina,Florida State,fbs,fbs,True
2003,2,regular,Texas A&M,Arkansas State,fbs,fbs,True
2003,2,regular,SE Louisiana,Arkansas-Monticello,fcs,,True
2003,2,regular,Tennessee State,South Carolina State,fcs,fcs,True
2003,2,regular,Memphis,Tennessee Tech,fbs,fcs,True
2003,2,regular,New Mexico,Texas State,fbs,fcs,True
2003,2,regular,Ohio State,Washington,fbs,fbs,True
2003,2,regular,Mississippi State,Oregon,fbs,fbs,True
2003,2,regular,San Diego State,Eastern Washington,fbs,fcs,True
2003,2,regular,Arizona,UTEP,fbs,fbs,True
2003,2,regular,Nevada,Southern Utah,fbs,fcs,True
2003,2,regular,Idaho,Washington State,fbs,fbs,True
2003,2,regular,Northern Arizona,St. Mary's (CA),fcs,fcs,True
2003,2,regular,Hawai'i,App State,fbs,fcs,True
2003,2,regular,Virginia Tech,UCF,fbs,fbs,True
2003,2,regular,North Carolina A&T,North Carolina Central,fcs,fcs,True
2003,2,regular,Kentucky,Louisville,fbs,fbs,True
2003,2,regular,Texas,New Mexico State,fbs,fbs,True
2003,2,regular,Cincinnati,East Carolina,fbs,fbs,True
2003,2,regular,Tulane,TCU,fbs,fbs,True
2003,3,regular,UAB,Southern Miss,fbs,fbs,True
2003,3,regular,Eastern Michigan,Western Illinois,fbs,fcs,True
2003,3,regular,East Tennessee State,Concord University,fcs,,True
2003,3,regular,Samford,West Alabama,fcs,,True
2003,3,regular,Fresno State,Oregon State,fbs,fbs,True
2003,3,regular,Wake Forest,NC State,fbs,fbs,True
2003,3,regular,Illinois,Illinois State,fbs,fcs,True
2003,3,regular,Michigan,Houston,fbs,fbs,True
2003,3,regular,Penn State,Boston College,fbs,fbs,True
