player_name,team,conference,attempts,completions,comp_pct,yards,tds,ints,draft_year
Thomas Castellanos,Boston College,ACC,161,99,61.5,1366,18,5,2026
Michael Chandler II,Campbell,CAA,160,86,53.8,1118,12,6,2026
Joey Labas,Central Michigan,Mid-American,160,94,58.8,1114,7,7,2026
Kia'i Keone,Northern Colorado,Big Sky,160,90,56.2,796,1,7,2026
Parker Awad,New Mexico State,Conference USA,159,74,46.5,1079,7,4,2026
Xaiver Lankford,Alabama A&M,SWAC,158,82,51.9,1166,8,6,2026
JT Fayard,Northwestern State,Southland,158,76,48.1,996,5,8,2026
D.J. Uiagalelei,Florida State,ACC,156,84,53.8,1065,4,6,2026
Jack Layne,Idaho,Big Sky,154,99,64.3,1477,14,4,2026
Ayden Pereira,Merrimack,FCS Independents,154,92,59.7,1120,8,2,2026
Caron Tyler,Valparaiso,Pioneer,153,87,56.9,964,6,4,2026
Marqui Adams,Delaware State,MEAC,152,90,59.2,1028,7,3,2026
Zach Gibson,Georgia State,Sun Belt,151,102,67.5,1004,7,2,2026
