player_name,draft_year,file,college,seasons_played,total_plays,total_attempts
Seth Henigan,2026,Seth_Henigan.csv,Memphis,4,1750.0,
Seth Morgan,2026,Seth_Morgan.csv,New Hampshire,1,303.0,
Shedeur Sanders,2026,Shedeur_Sanders.csv,Colorado,2,880.0,
Simon Romfo,2026,Simon_Romfo.csv,North Dakota,3,299.0,
Skyler Locklear,2026,Skyler_Locklear.csv,UTEP,1,229.0,
Sonny Mannino,2026,Sonny_Mannino.csv,Marist,1,260.0,
Spencer Petras,2026,Spencer_Petras.csv,Utah State,1,267.0,
Taisun Phommachanh,2026,Taisun_Phommachanh.csv,Massachusetts,2,436.0,
Tak Tateoka,2026,Tak_Tateoka.csv,St. Thomas (MN),2,201.0,
Taron Dickens,2026,Taron_Dickens.csv,Western Carolina,2,159.0,
Tate Rodemaker,2026,Tate_Rodemaker.csv,Southern Miss,1,158.0,
Taylen Green,2026,Taylen_Green.csv,Arkansas,1,375.0,
Thomas Castellanos,2026,Thomas_Castellanos.csv,Boston College,2,456.0,
Tommy Mellott,2026,Tommy_Mellott.csv,Montana State,3,532.0,
Tommy Rittenhouse,2026,Tommy_Rittenhouse.csv,Illinois State,3,424.0,
Tommy Ulatowski,2026,Tommy_Ulatowski.csv,Kent State,3,262.0,
Trey Hedden,2026,Trey_Hedden.csv,Furman,1,213.0,
Tucker Gleason,2026,Tucker_Gleason.csv,Toledo,4,528.0,
Ty Pennington,2026,Ty_Pennington.csv,Northern Arizona,1,204.0,
Ty'Jarian Williams,2026,Ty'Jarian_Williams.csv,Mississippi Valley State,2,304.0,
Tyler Huff,2026,Tyler_Huff.csv,Jacksonville State,1,281.0,
Tyler Knoop,2026,Tyler_Knoop.csv,Stony Brook,1,221.0,
Tyler Shough,2026,Tyler_Shough.csv,Louisville,1,383.0,
Victor Gabalis,2026,Victor_Gabalis.csv,Tarleton State,2,510.0,
Walker Eget,2026,Walker_Eget.csv,San José State,3,329.0,
Walker Harris,2026,Walker_Harris.csv,North Carolina Central,3,254.0,
Whitt Newbauer,2026,Whitt_Newbauer.csv,Mercer,1,157.0,
Will Howard,2026,Will_Howard.csv,Ohio State,1,368.0,
Will McElvain,2026,Will_McElvain.csv,Central Arkansas,3,667.0,
Will Rogers,2026,Will_Rogers.csv,Washington,1,304.0,
Xaiver Lankford,2026,Xaiver_Lankford.csv,Alabama A&M,1,133.0,
Zach Calzada,2026,Zach_Calzada.csv,Incarnate Word,2,569.0,
Zach Gibson,2026,Zach_Gibson.csv,Georgia State,1,149.0,
Ty Simpson,2026,ty_simpson_2026.csv,Alabama,2,,45.0
Dante Moore,2026,dante_moore_2026.csv,Oregon,2,,7.0
