player_name,draft_year,file,college,seasons_played,total_plays,total_attempts
Andrew Luck,2012,Andrew_Luck_2012.csv,Stanford,3,947.0,
Brandon Weeden,2012,Brandon_Weeden_2012.csv,Oklahoma State,4,1019.0,
Brock Osweiler,2012,Brock_Osweiler_2012.csv,Arizona State,3,634.0,
Kirk Cousins,2012,Kirk_Cousins_2012.csv,Michigan State,4,1041.0,
Nick Foles,2012,Nick_Foles_2012.csv,Arizona,3,1271.0,
Robert Griffin III,2012,Robert_Griffin_III_2012.csv,Baylor,3,917.0,
Russell Wilson,2012,Russell_Wilson_2012.csv,Wisconsin,1,310.0,
Ryan Lindley,2012,Ryan_Lindley_2012.csv,San Diego State,4,1468.0,
Ryan Tannehill,2012,Ryan_Tannehill_2012.csv,Texas A&M,4,701.0,
EJ Manuel,2013,EJ_Manuel_2013.csv,Florida State,2,699.0,
Geno Smith,2013,Geno_Smith_2013.csv,West Virginia,4,1406.0,
Landry Jones,2013,Landry_Jones_2013.csv,Oklahoma,4,1963.0,
Matt Barkley,2013,Matt_Barkley_2013.csv,USC,4,1441.0,
Mike Glennon,2013,Mike_Glennon_2013.csv,NC State,4,1034.0,
Ryan Nassib,2013,Ryan_Nassib_2013.csv,Syracuse,4,1261.0,
Tyler Wilson,2013,Tyler_Wilson_2013.csv,Arkansas,5,879.0,
AJ McCarron,2014,AJ_McCarron_2014.csv,Alabama,3,938.0,
Aaron Murray,2014,Aaron_Murray_2014.csv,Georgia,4,1411.0,
Blake Bortles,2014,Blake_Bortles_2014.csv,UCF,3,870.0,
Derek Carr,2014,Derek_Carr_2014.csv,Fresno State,4,1513.0,
Jimmy Garoppolo,2014,Jimmy_Garoppolo_2014.csv,Eastern Illinois,3,144.0,
Johnny Manziel,2014,Johnny_Manziel_2014.csv,Texas A&M,2,800.0,
Logan Thomas,2014,Logan_Thomas_2014.csv,Virginia Tech,4,1153.0,
Teddy Bridgewater,2014,Teddy_Bridgewater_2014.csv,Louisville,3,1134.0,
Brett Hundley,2015,Brett_Hundley_2015.csv,UCLA,3,1224.0,
Bryce Petty,2015,Bryce_Petty_2015.csv,Baylor,4,782.0,
Jameis Winston,2015,Jameis_Winston_2015.csv,Florida St.,2,812.0,
Marcus Mariota,2015,Marcus_Mariota_2015.csv,Oregon,3,1149.0,
Sean Mannion,2015,Sean_Mannion_2015.csv,Oregon St.,4,1741.0,
Trevor Siemian,2015,Trevor_Siemian_2015.csv,Northwestern,4,877.0,
Brandon Allen,2016,Brandon_Allen_2016.csv,Arkansas,4,956.0,
Brandon Doughty,2016,Brandon_Doughty_2016.csv,Western Kentucky,5,1423.0,
Cardale Jones,2016,Cardale_Jones_2016.csv,Ohio St.,3,274.0,
Carson Wentz,2016,Carson_Wentz_2016.csv,North Dakota St.,1,29.0,
Cody Kessler,2016,Cody_Kessler_2016.csv,USC,4,1250.0,
Connor Cook,2016,Connor_Cook_2016.csv,Michigan St.,4,1073.0,
Dak Prescott,2016,Dak_Prescott_2016.csv,Mississippi St.,4,1135.0,
Jacoby Brissett,2016,Jacoby_Brissett_2016.csv,North Carolina St.,2,765.0,
Jake Rudock,2016,Jake_Rudock_2016.csv,Michigan,2,412.0,
Jared Goff,2016,Jared_Goff_2016.csv,California,3,1473.0,
Jeff Driskel,2016,Jeff_Driskel_2016.csv,Louisiana Tech,1,441.0,
Kevin Hogan,2016,Kevin_Hogan_2016.csv,Stanford,4,1079.0,
Nate Sudfeld,2016,Nate_Sudfeld_2016.csv,Indiana,4,866.0,
Paxton Lynch,2016,Paxton_Lynch_2016.csv,Memphis,3,1137.0,
C.J. Beathard,2017,C.J._Beathard_2017.csv,Iowa,4,783.0,
Davis Webb,2017,Davis_Webb_2017.csv,California,1,576.0,
DeShone Kizer,2017,DeShone_Kizer_2017.csv,Notre Dame,2,699.0,
Deshaun Watson,2017,Deshaun_Watson_2017.csv,Clemson,3,1182.0,
Joshua Dobbs,2017,Joshua_Dobbs_2017.csv,Tennessee,4,983.0,
Nathan Peterman,2017,Nathan_Peterman_2017.csv,Pittsburgh,2,617.0,
Patrick Mahomes,2017,Patrick_Mahomes_2017.csv,Texas Tech,3,1287.0,
Baker Mayfield,2018,Baker_Mayfield_2018.csv,Oklahoma,3,1174.0,
Danny Etling,2018,Danny_Etling_2018.csv,LSU,2,556.0,
Josh Allen,2018,Josh_Allen_2018.csv,Wyoming,3,619.0,
Josh Rosen,2018,Josh_Rosen_2018.csv,UCLA,3,1100.0,
Kyle Lauletta,2018,Kyle_Lauletta_2018.csv,Richmond,2,64.0,
Lamar Jackson,2018,Lamar_Jackson_2018.csv,Louisville,3,1082.0,
Logan Woodside,2018,Logan_Woodside_2018.csv,Toledo,4,1086.0,
Mike White,2018,Mike_White_2018.csv,Western Kentucky,2,937.0,
Sam Darnold,2018,Sam_Darnold_2018.csv,USC,2,765.0,
Tanner Lee,2018,Tanner_Lee_2018.csv,Nebraska,1,420.0,
Clayton Thorson,2019,Clayton_Thorson_2019.csv,Northwestern,4,1691.0,
Daniel Jones,2019,Daniel_Jones_2019.csv,Duke,3,1240.0,
Drew Lock,2019,Drew_Lock_2019.csv,Missouri,4,1455.0,
Dwayne Haskins,2019,Dwayne_Haskins_2019.csv,Ohio St.,2,579.0,
Jarrett Stidham,2019,Jarrett_Stidham_2019.csv,Auburn,2,738.0,
Kyler Murray,2019,Kyler_Murray_2019.csv,Oklahoma,2,398.0,
Ryan Finley,2019,Ryan_Finley_2019.csv,North Carolina St.,3,1303.0,
Will Grier,2019,Will_Grier_2019.csv,West Virginia,2,758.0,
Ben DiNucci,2020,Ben_DiNucci_2020.csv,James Madison,2,53.0,
Jacob Eason,2020,Jacob_Eason_2020.csv,Washington,1,398.0,
Jake Fromm,2020,Jake_Fromm_2020.csv,Georgia,3,985.0,
Jake Luton,2020,Jake_Luton_2020.csv,Oregon St.,3,714.0,
Jalen Hurts,2020,Jalen_Hurts_2020.csv,Oklahoma,2,349.0,
James Morgan,2020,James_Morgan_2020.csv,Florida International,2,663.0,
Joe Burrow,2020,Joe_Burrow_2020.csv,LSU,2,916.0,
Justin Herbert,2020,Justin_Herbert_2020.csv,Oregon,4,1282.0,
Nate Stanley,2020,Nate_Stanley_2020.csv,Iowa,2,769.0,
Tua Tagovailoa,2020,Tua_Tagovailoa_2020.csv,Alabama,3,682.0,
Davis Mills,2021,Davis_Mills_2021.csv,Stanford,3,425.0,
Ian Book,2021,Ian_Book_2021.csv,Notre Dame,4,1127.0,
Justin Fields,2021,Justin_Fields_2021.csv,Ohio St.,2,602.0,
Kellen Mond,2021,Kellen_Mond_2021.csv,Texas A&M,4,1332.0,
Kyle Trask,2021,Kyle_Trask_2021.csv,Florida,3,820.0,
Mac Jones,2021,Mac_Jones_2021.csv,Alabama,3,548.0,
Sam Ehlinger,2021,Sam_Ehlinger_2021.csv,Texas,4,1428.0,
Trevor Lawrence,2021,Trevor_Lawrence_2021.csv,Clemson,3,1106.0,
Zach Wilson,2021,Zach_Wilson_2021.csv,BYU,3,822.0,
Bailey Zappe,2022,Bailey_Zappe_2022.csv,Western Kentucky,1,588.0,
Brock Purdy,2022,Brock_Purdy_2022.csv,Iowa St.,4,1394.0,
Desmond Ridder,2022,Desmond_Ridder_2022.csv,Cincinnati,4,1306.0,
Kenny Pickett,2022,Kenny_Pickett_2022.csv,Pittsburgh,5,1584.0,
Malik Willis,2022,Malik_Willis_2022.csv,Liberty,3,620.0,
Sam Howell,2022,Sam_Howell_2022.csv,North Carolina,3,1160.0,
Skylar Thompson,2022,Skylar_Thompson_2022.csv,Kansas St.,5,899.0,
Aidan O'Connell,2023,Aidan_O'Connell_2023.csv,Purdue,3,690.0,
Anthony Richardson,2023,Anthony_Richardson_2023.csv,Florida,2,66.0,
Bryce Young,2023,Bryce_Young_2023.csv,Alabama,2,569.0,
C.J. Stroud,2023,C.J._Stroud_2023.csv,Ohio St.,1,409.0,
Clayton Tune,2023,Clayton_Tune_2023.csv,Houston,4,996.0,
Dorian Thompson-Robinson,2023,Dorian_Thompson-Robinson_2023.csv,UCLA,4,910.0,
Hendon Hooker,2023,Hendon_Hooker_2023.csv,Tennessee,1,323.0,
Jaren Hall,2023,Jaren_Hall_2023.csv,BYU,2,325.0,
Max Duggan,2023,Max_Duggan_2023.csv,TCU,3,773.0,
Sean Clifford,2023,Sean_Clifford_2023.csv,Penn St.,4,964.0,
Stetson Bennett,2023,Stetson_Bennett_2023.csv,Georgia,3,467.0,
Tanner McKee,2023,Tanner_McKee_2023.csv,Stanford,2,308.0,
Will Levis,2023,Will_Levis_2023.csv,Kentucky,1,355.0,
Bo Nix,2024,Bo_Nix_2024.csv,Oregon,1,28.0,
Caleb Williams,2024,Caleb_Williams.csv,USC,2,861.0,
Devin Leary,2024,Devin_Leary.csv,Kentucky,1,353.0,
Drake Maye,2024,Drake_Maye_2024.csv,North Carolina,1,12.0,
J.J. McCarthy,2024,J.J._McCarthy_2024.csv,Michigan,1,60.0,
Jayden Daniels,2024,Jayden_Daniels.csv,LSU,2,693.0,
Joe Milton,2024,Joe_Milton_2024.csv,Tennessee,1,64.0,
Michael Pratt,2024,Michael_Pratt_2024.csv,Tulane,2,563.0,
Spencer Rattler,2024,Spencer_Rattler.csv,South Carolina,2,766.0,
Graham Mertz,2025,Graham_Mertz.csv,Florida,2,434.0,
Jalen Milroe,2025,Jalen_Milroe_2025.csv,Alabama,1,9.0,
Adam Urena,2026,Adam_Urena.csv,Mercyhurst,1,267.0,
Aidan Armenta,2026,Aidan_Armenta.csv,UL Monroe,1,181.0,
Aidan Bouman,2026,Aidan_Bouman.csv,South Dakota,3,619.0,
Aidan Chiles,2026,Aidan_Chiles.csv,Michigan State,1,304.0,
Aidan Sayin,2026,Aidan_Sayin.csv,Pennsylvania,3,763.0,
Alan Bowman,2026,Alan_Bowman.csv,Oklahoma State,2,807.0,
Amari Odom,2026,Amari_Odom.csv,Wofford,2,201.0,
Anthony Chiccitt,2026,Anthony_Chiccitt.csv,Robert Morris,3,449.0,
Anthony Colandrea,2026,Anthony_Colandrea.csv,Virginia,2,549.0,
Ashton Daniels,2026,Ashton_Daniels.csv,Stanford,3,583.0,
Athan Kaliakmanis,2026,Athan_Kaliakmanis.csv,Rutgers,1,354.0,
Austin Smith,2026,Austin_Smith.csv,Austin Peay,1,284.0,
Avery Johnson,2026,Avery_Johnson.csv,Kansas State,2,425.0,
Ayden Pereira,2026,Ayden_Pereira.csv,Merrimack,1,107.0,
Beau Brungard,2026,Beau_Brungard.csv,Youngstown State,2,315.0,
Behren Morton,2026,Behren_Morton.csv,Texas Tech,4,902.0,
Ben Finley,2026,Ben_Finley.csv,Akron,1,344.0,
Ben Wooldridge,2026,Ben_Wooldridge.csv,Louisiana,3,580.0,
Blaine Hipa,2026,Blaine_Hipa.csv,Princeton,2,221.0,
Brady Cook,2026,Brady_Cook.csv,Missouri,5,1069.0,
Brady Meitz,2026,Brady_Meitz.csv,Stetson,3,458.0,
Brady Olson,2026,Brady_Olson.csv,Central Connecticut,1,241.0,
Braedyn Locke,2026,Braedyn_Locke.csv,Wisconsin,2,440.0,
Brayden Fowler-Nicolosi,2026,Brayden_Fowler-Nicolosi.csv,Colorado State,3,830.0,
Brayden Schager,2026,Brayden_Schager.csv,Hawai'i,4,1340.0,
Braylon Braxton,2026,Braylon_Braxton.csv,Marshall,1,193.0,
Brendan Sorsby,2026,Brendan_Sorsby.csv,Cincinnati,1,381.0,
Brendon Lewis,2026,Brendon_Lewis.csv,Nevada,2,486.0,
Brett Gabbert,2026,Brett_Gabbert.csv,Miami (OH),5,889.0,
Brock Vandagriff,2026,Brock_Vandagriff.csv,Kentucky,1,212.0,
Bryce Archie,2026,Bryce_Archie.csv,South Florida,2,300.0,
CJ Bailey,2026,CJ_Bailey.csv,NC State,1,280.0,
CJ Ogbonna,2026,CJ_Ogbonna.csv,Buffalo,1,16.0,
Cade Klubnik,2026,Cade_Klubnik.csv,Clemson,3,1027.0,
Cade McNamara,2026,Cade_McNamara.csv,Iowa,2,231.0,
Caden Veltkamp,2026,Caden_Veltkamp.csv,Western Kentucky,3,436.0,
Cam Fancher,2026,Cam_Fancher.csv,Florida Atlantic,1,197.0,
Cam Miller,2026,Cam_Miller.csv,North Dakota State,3,796.0,
Camden Coleman,2026,Camden_Coleman.csv,Richmond,2,283.0,
Caron Tyler,2026,Caron_Tyler.csv,Valparaiso,1,150.0,
Carson Beck,2026,Carson_Beck.csv,Georgia,4,902.0,
Carson Conklin,2026,Carson_Conklin.csv,Sacramento State,2,436.0,
Carter Cravens,2026,Carter_Cravens.csv,Morehead State,3,519.0,
Carter Peevy,2026,Carter_Peevy.csv,Maine,1,310.0,
Chad Mascoe II,2026,Chad_Mascoe_II.csv,Campbell,1,24.0,
Chandler Morris,2026,Chandler_Morris.csv,North Texas,1,487.0,
Chase Artopoeus,2026,Chase_Artopoeus.csv,Chattanooga,2,463.0,
Christian Veilleux,2026,Christian_Veilleux.csv,Georgia State,1,285.0,
Christopher Zellous,2026,Christopher_Zellous.csv,Hampton,2,117.0,
Cole Gonzales,2026,Cole_Gonzales.csv,Western Carolina,3,671.0,
Cole Snyder,2026,Cole_Snyder.csv,Eastern Michigan,1,364.0,
Collin Hurst,2026,Collin_Hurst.csv,Presbyterian,1,246.0,
Colton Joseph,2026,Colton_Joseph.csv,Old Dominion,1,188.0,
Connor Bazelak,2026,Connor_Bazelak.csv,Bowling Green,2,669.0,
Connor Watkins,2026,Connor_Watkins.csv,Villanova,3,741.0,
Cooper Legas,2026,Cooper_Legas.csv,Tulsa,1,156.0,
Daniel Richardson,2026,Daniel_Richardson.csv,Florida A&M,1,261.0,
Danny Lauter,2026,Danny_Lauter.csv,Georgetown,1,264.0,
Danny O'Neil,2026,Danny_O'Neil.csv,San Diego State,1,324.0,
Dante Chachere,2026,Dante_Chachere.csv,Portland State,3,653.0,
Darian Mensah,2026,Darian_Mensah.csv,Tulane,1,280.0,
Darius Perrantes,2026,Darius_Perrantes.csv,Duquesne,4,492.0,
Darius Wilson,2026,Darius_Wilson.csv,William & Mary,4,550.0,
Davin Wydner,2026,Davin_Wydner.csv,West Georgia,1,85.0,
Davis Bryson,2026,Davis_Bryson.csv,Kennesaw State,2,260.0,
Davis Warren,2026,Davis_Warren.csv,Michigan,3,220.0,
Dean DeNobile,2026,Dean_DeNobile.csv,Lafayette,2,512.0,
Derek Robertson,2026,Derek_Robertson.csv,Monmouth,1,409.0,
Deshawn Purdie,2026,Deshawn_Purdie.csv,Charlotte,1,178.0,
Devin Farrell,2026,Devin_Farrell.csv,Rhode Island,2,204.0,
Devon Dampier,2026,Devon_Dampier.csv,New Mexico,2,405.0,
Diego Pavia,2026,Diego_Pavia.csv,Vanderbilt,1,293.0,
Dillon Gabriel,2026,Dillon_Gabriel.csv,Oregon,1,440.0,
Draylen Ellis,2026,Draylen_Ellis.csv,Tennessee State,3,690.0,
Drew Allar,2026,Drew_Allar.csv,Penn State,3,793.0,
Drew VanVleet,2026,Drew_VanVleet.csv,Dayton,2,391.0,
Dylan Raiola,2026,Dylan_Raiola.csv,Nebraska,1,366.0,
E.J. Warner,2026,E.J._Warner.csv,Rice,1,426.0,
Eli Holstein,2026,Eli_Holstein.csv,Pittsburgh,1,282.0,
Eli Sawyer,2026,Eli_Sawyer.csv,SE Louisiana,3,541.0,
Elijah Owens,2026,Elijah_Owens.csv,Indiana State,2,286.0,
Emmett Brown,2026,Emmett_Brown.csv,San José State,1,202.0,
Ethan Garbers,2026,Ethan_Garbers.csv,UCLA,4,590.0,
Ethan Hampton,2026,Ethan_Hampton.csv,Northern Illinois,4,376.0,
Ethan Vasko,2026,Ethan_Vasko.csv,Coastal Carolina,2,380.0,
Evan Bullock,2026,Evan_Bullock.csv,Louisiana Tech,2,301.0,
Evan Simon,2026,Evan_Simon.csv,Temple,1,285.0,
Evan Svoboda,2026,Evan_Svoboda.csv,Wyoming,2,258.0,
Fernando Mendoza,2026,Fernando_Mendoza.csv,California,2,568.0,
Garrett Greene,2026,Garrett_Greene.csv,West Virginia,5,653.0,
Garrett Nussmeier,2026,Garrett_Nussmeier.csv,LSU,4,731.0,
Gevani McCoy,2026,Gevani_McCoy.csv,Oregon State,1,200.0,
Grant Jordan,2026,Grant_Jordan.csv,Yale,1,175.0,
Grant Sergent,2026,Grant_Sergent.csv,San Diego,3,374.0,
Grayson James,2026,Grayson_James.csv,Boston College,1,169.0,
Hajj-Malik Williams,2026,Hajj-Malik_Williams.csv,UNLV,1,246.0,
Hank Bachmeier,2026,Hank_Bachmeier.csv,Wake Forest,1,345.0,
Hayden Johnson,2026,Hayden_Johnson.csv,Lehigh,1,123.0,
Hayden Wolff,2026,Hayden_Wolff.csv,Western Michigan,2,489.0,
Haynes King,2026,Haynes_King.csv,Georgia Tech,2,546.0,
Hudson Card,2026,Hudson_Card.csv,Purdue,2,580.0,
Hunter Helms,2026,Hunter_Helms.csv,Rhode Island,1,127.0,
Hunter Watson,2026,Hunter_Watson.csv,Sam Houston,1,252.0,
Isaac Wilson,2026,Isaac_Wilson.csv,Utah,1,211.0,
JC French,2026,JC_French.csv,Georgia Southern,2,413.0,
JT Fayard,2026,JT_Fayard.csv,Northwestern State,2,144.0,
Ja'Shawn Scroggins,2026,Ja'Shawn_Scroggins.csv,Howard,3,187.0,
JaCobian Morgan,2026,JaCobian_Morgan.csv,Jackson State,2,260.0,
Jack Capaldi,2026,Jack_Capaldi.csv,Fordham,2,172.0,
Jack Lausch,2026,Jack_Lausch.csv,Northwestern,3,293.0,
Jack Layne,2026,Jack_Layne.csv,Idaho,2,113.0,
Jack Wagner,2026,Jack_Wagner.csv,Idaho,2,154.0,
Jackson Arnold,2026,Jackson_Arnold.csv,Oklahoma,2,270.0,
Jackson Berry,2026,Jackson_Berry.csv,Southern Utah,2,155.0,
Jackson Proctor,2026,Jackson_Proctor.csv,Dartmouth,3,238.0,
Jacob Clark,2026,Jacob_Clark.csv,Missouri State,3,459.0,
Jacolby Criswell,2026,Jacolby_Criswell.csv,North Carolina,4,345.0,
Jaden Craig,2026,Jaden_Craig.csv,Harvard,2,251.0,
Jaden Johnson,2026,Jaden_Johnson.csv,Prairie View A&M,1,154.0,
Jake Garcia,2026,Jake_Garcia.csv,East Carolina,1,178.0,
Jake Retzlaff,2026,Jake_Retzlaff.csv,BYU,2,477.0,
Jake Stearney,2026,Jake_Stearney.csv,Colgate,2,296.0,
Jake Willcox,2026,Jake_Willcox.csv,Brown,3,290.0,
Jalen Kitna,2026,Jalen_Kitna.csv,UAB,1,322.0,
Jalen Milroe,2026,Jalen_Milroe.csv,Alabama,4,644.0,
Jalon Daniels,2026,Jalon_Daniels.csv,Kansas,5,839.0,
Jameson Wang,2026,Jameson_Wang.csv,Cornell,3,627.0,
Jarrett Guest,2026,Jarrett_Guest.csv,Bryant,1,177.0,
Jaxson Dart,2026,Jaxson_Dart.csv,Ole Miss,3,1075.0,
Jayden Maiava,2026,Jayden_Maiava.csv,USC,1,158.0,
Jaylen King,2026,Jaylen_King.csv,East Tennessee State,1,192.0,
Jaylen Raynor,2026,Jaylen_Raynor.csv,Arkansas State,2,684.0,
Joe Fagnano,2026,Joe_Fagnano.csv,UConn,1,185.0,
Joe Pesansky,2026,Joe_Pesansky.csv,Holy Cross,3,287.0,
Joey Aguilar,2026,Joey_Aguilar.csv,App State,2,822.0,
John Mateer,2026,John_Mateer.csv,Washington State,3,317.0,
John Michalski,2026,John_Michalski.csv,Sacred Heart,1,179.0,
Johnathan Bennett,2026,Johnathan_Bennett.csv,The Citadel,1,151.0,
Jordan McCloud,2026,Jordan_McCloud.csv,Texas State,1,275.0,
Jordyn Potts,2026,Jordyn_Potts.csv,Tennessee Tech,2,316.0,
Josh Hoover,2026,Josh_Hoover.csv,TCU,3,677.0,
Justin Fomby,2026,Justin_Fomby.csv,North Carolina A&T,1,211.0,
Kadin Semonza,2026,Kadin_Semonza.csv,Ball State,2,488.0,
Kaidon Salter,2026,Kaidon_Salter.csv,Liberty,4,678.0,
Katin Houser,2026,Katin_Houser.csv,East Carolina,1,237.0,
Keali'i Ah Yat,2026,Keali'i_Ah_Yat.csv,Montana,2,218.0,
Kekoa Visperas,2026,Kekoa_Visperas.csv,Eastern Washington,3,526.0,
Kevin Jennings,2026,Kevin_Jennings.csv,SMU,3,500.0,
Keyone Jenkins,2026,Keyone_Jenkins.csv,Florida International,2,606.0,
Kia'i Keone,2026,Kia'i_Keone.csv,Northern Colorado,1,136.0,
