attempts,epa_per_play_raw,success_rate,big_play_rate,third_down_epa,red_zone_epa,high_leverage_epa,scoring_play_rate,avg_opp_def,sos_percentile,fcs_games,epa_per_play_adj,success_rate_adj,has_sos,is_fcs_team,player_name,draft_year,college,seasons_played
365.3333333333333,0.35769375889732863,0.5289142339434081,0.21679344347455032,,0.5227659834020328,0.5227659834020328,0.07628206912118934,22.844444444444445,81.44376394625648,0.0,0.39158423982254376,0.5437232863062108,1.0,0.0,Brady Quinn,2007,Notre Dame,3
256.6666666666667,0.22504019481765672,0.5027112872147463,0.20960496600531534,,0.11042227126933911,0.11042227126933911,0.050336870404564686,25.26464646464646,58.4247258225324,0.0,0.23615210157408603,0.5075668338022871,1.0,0.0,Drew Stanton,2007,Michigan State,3
131.0,0.05712348196225108,0.41163124495211717,0.20388554286373597,,-0.502597099258438,-0.502597099258438,0.05426145148263528,24.542676767676767,69.60072164459005,0.6666666666666666,0.07503045795371362,0.41945601869027077,1.0,0.0,Isaiah Stanback,2007,Washington,3
242.66666666666666,0.20690509656649128,0.4988618205081508,0.22471294908373762,,0.5279770822654216,0.5279770822654216,0.0683851586200885,22.361965811965813,86.23890234059725,0.3333333333333333,0.24533659316851,0.515655150966224,1.0,0.0,JaMarcus Russell,2007,LSU,3
289.6666666666667,0.3638251101856251,0.535456017015952,0.2058334005487337,,0.5736031304221805,0.5736031304221805,0.06635077562304409,26.327389277389276,51.38156957698334,0.3333333333333333,0.3649346428508263,0.5359408471773611,1.0,0.0,John Beck,2007,BYU,3
281.3333333333333,0.0923932214985163,0.4620082704706065,0.21502245474816797,,-0.1097981646898939,-0.1097981646898939,0.04467854622116482,30.554401154401152,24.73769168684423,0.6666666666666666,0.053718759790877264,0.44510877205996247,1.0,0.0,Kevin Kolb,2007,Houston,3
203.0,0.05970178145102017,0.4795834470127172,0.1592796216750102,,0.09351878943725411,0.09351878943725411,0.05071422377601672,24.799747474747473,66.6619190048901,0.6666666666666666,0.07518924695585666,0.48635097232858193,1.0,0.0,Trent Edwards,2007,Stanford,3
214.66666666666666,0.27422651968701844,0.507496097655526,0.2120662104169526,,-0.1380726032786899,-0.1380726032786899,0.08357588291617978,23.20705128205128,77.48896168636946,0.0,0.30470420007922416,0.5208138657279502,1.0,0.0,Troy Smith,2007,Ohio State,3
277.75,0.3449676450990466,0.5335536728826036,0.20584163976537148,,0.2859232586877042,0.2859232586877042,0.06498290372875248,25.77147435897436,61.53417723021413,0.25,0.3527087274517712,0.5369362774009412,1.0,0.0,Brian Brohm,2008,Louisville,4
312.5,0.2364051532639635,0.5160062363866615,0.17163866896534782,,0.1891110494449025,0.1891110494449025,0.06580855444972412,24.415705128205126,68.72442197217872,0.25,0.25690652989007967,0.5249646799282462,1.0,0.0,Chad Henne,2008,Michigan,4
157.0,0.1003592666495328,0.4917048849975679,0.18553065046967487,,0.01615080234925702,0.01615080234925702,0.047787324464153735,23.890151515151516,74.17467834591464,0.5,0.12580707413335723,0.5028247600556432,1.0,0.0,Dennis Dixon,2008,Oregon,4
40.0,0.5095569372177124,0.6,0.325,,0.037211338678995766,0.037211338678995766,0.1,,,,0.5095569372177124,0.6,0.0,0.0,Joe Flacco,2008,Delaware,1
313.0,0.204982770077367,0.5010117733627668,0.19557885700269806,,0.048571570818778595,0.048571570818778595,0.07191766822009647,21.496153846153845,84.77415966386555,0.0,0.2386785861475676,0.5157357634321935,1.0,0.0,John David Booty,2008,USC,2
307.75,0.07847090676684737,0.4789756940986676,0.15794113496996695,,-0.0013413020034334575,-0.0013413020034334575,0.044783647157910236,24.916918498168496,65.29290105872857,0.75,0.09425493920979294,0.48587280964741286,1.0,0.0,Matt Ryan,2008,Boston College,4
