player_name,draft_year,nfl_team,l1_team_pass_epa_prev,l2_hc_new,l3_qb_churn3
Sam Darnold,2018,NYJ,-0.03530293760110828,0.0,2.0
Tanner Lee,2018,JAX,0.06605396342220375,0.0,1.0
Clayton Thorson,2019,PHI,0.08821785557221255,0.0,1.0
Daniel Jones,2019,NYG,0.05079505299215325,0.0,1.0
Drew Lock,2019,DEN,-0.02408173026153199,1.0,2.0
Dwayne Haskins,2019,WAS,-0.094791997853948,0.0,2.0
Jarrett Stidham,2019,NE,0.16091266361079887,0.0,1.0
Kyler Murray,2019,ARI,-0.3102258710692172,1.0,2.0
Ryan Finley,2019,CIN,0.01911634523736329,1.0,1.0
Will Grier,2019,CAR,0.05864243624616729,0.0,1.0
Ben DiNucci,2020,DAL,0.20002771545119355,1.0,1.0
Jacob Eason,2020,IND,-0.02840502277563664,0.0,2.0
Jake Fromm,2020,BUF,-0.029791504232223976,0.0,2.0
Jake Luton,2020,JAX,-0.04113306074634155,0.0,2.0
Jalen Hurts,2020,PHI,0.04641834233185902,0.0,1.0
James Morgan,2020,NYJ,-0.13518397647162986,0.0,2.0
Joe Burrow,2020,CIN,-0.10040380074097657,0.0,1.0
Justin Herbert,2020,LAC,0.1158277817929981,0.0,1.0
Nate Stanley,2020,MIN,0.13431359441086982,0.0,2.0
Tua Tagovailoa,2020,MIA,-0.04277466127295922,0.0,3.0
Davis Mills,2021,HOU,0.21622500820144946,1.0,1.0
Ian Book,2021,NO,0.1072806701175602,0.0,1.0
Justin Fields,2021,CHI,-0.013793539942683886,0.0,1.0
Kellen Mond,2021,MIN,0.16677610666139936,0.0,1.0
Kyle Trask,2021,TB,0.21871492574806564,0.0,2.0
Mac Jones,2021,NE,-0.04840554568965287,0.0,2.0
Sam Ehlinger,2021,IND,0.17813605011589048,0.0,3.0
Trevor Lawrence,2021,JAX,-0.06330802347340225,1.0,2.0
Zach Wilson,2021,NYJ,-0.15716402738934915,1.0,1.0
Bailey Zappe,2022,NE,0.13431061446891343,0.0,3.0
Brock Purdy,2022,SF,0.167751845605828,0.0,2.0
Desmond Ridder,2022,ATL,-0.02716826476325049,0.0,1.0
