aggregation_method,outcome,outcome_type,feature_combo,n_features,features,n_samples,r,r_squared,cv_r2,rmse,auc,accuracy
final_season,Bust,classification,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",110,0.21668979439497957,,,,0.6239809782608695,0.6545454545454545
final_season,Bust,classification,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",110,0.23523313533866483,,,,0.6531929347826086,0.6181818181818182
final_season,Elite Peak,classification,solo_epa_per_play,1,epa_per_play,110,0.25268138889814046,,,,0.6480388753904894,0.7
final_season,Elite Peak,classification,solo_attempts,1,attempts,110,0.23088471818776676,,,,0.6402290871225269,0.6545454545454545
final_season,Elite Peak,classification,solo_big_play_rate,1,big_play_rate,110,0.19519937474980562,,,,0.6022214508851094,0.6636363636363637
final_season,Elite Peak,classification,solo_red_zone_epa,1,red_zone_epa,110,0.0790315880100635,,,,0.5452967719541826,0.6181818181818182
final_season,Elite Peak,classification,solo_high_leverage_epa,1,high_leverage_epa,110,0.0790315880100635,,,,0.5452967719541826,0.6181818181818182
final_season,Elite Peak,classification,solo_success_rate,1,success_rate,110,0.27162447311295346,,,,0.6605345366192295,0.6636363636363637
final_season,Elite Peak,classification,pair_epa_volume,2,"epa_per_play, attempts",110,0.326830955873132,,,,0.7053106560222144,0.6818181818181818
final_season,Elite Peak,classification,pair_epa_bigplay,2,"epa_per_play, big_play_rate",110,0.2564221608989563,,,,0.6483859770912876,0.6818181818181818
final_season,Elite Peak,classification,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",110,0.2571055592477089,,,,0.6341548073585561,0.6909090909090909
final_season,Elite Peak,classification,pair_volume_bigplay,2,"attempts, big_play_rate",110,0.3090891025973001,,,,0.6860465116279071,0.6636363636363637
final_season,Elite Peak,classification,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",110,0.33700567162296513,,,,0.7070461645262061,0.6636363636363637
final_season,Elite Peak,classification,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",110,0.2784600205286661,,,,0.6473446719888928,0.6818181818181818
final_season,Elite Peak,classification,five_no_situational,5,"epa_per_play, attempts, big_play_rate, high_leverage_epa, success_rate",110,0.34467790383182684,,,,0.7160708087469629,0.6909090909090909
final_season,Sustained Starter,classification,solo_epa_per_play,1,epa_per_play,110,0.22287200609599966,,,,0.628948281846581,0.6818181818181818
final_season,Sustained Starter,classification,solo_attempts,1,attempts,110,0.05361004193804841,,,,0.534363068379035,0.6090909090909091
final_season,Sustained Starter,classification,solo_big_play_rate,1,big_play_rate,110,0.23261655620618135,,,,0.604998264491496,0.6909090909090909
final_season,Sustained Starter,classification,solo_red_zone_epa,1,red_zone_epa,110,0.023202114899579365,,,,0.5168344324887192,0.6090909090909091
final_season,Sustained Starter,classification,solo_high_leverage_epa,1,high_leverage_epa,110,0.023202114899579365,,,,0.5168344324887192,0.6090909090909091
final_season,Sustained Starter,classification,solo_success_rate,1,success_rate,110,0.27905054186253664,,,,0.6692120791391879,0.6545454545454545
final_season,Sustained Starter,classification,pair_epa_volume,2,"epa_per_play, attempts",110,0.22378475758865768,,,,0.6282540784449844,0.6818181818181818
final_season,Sustained Starter,classification,pair_epa_bigplay,2,"epa_per_play, big_play_rate",110,0.25254772151970134,,,,0.619576535925026,0.6909090909090909
final_season,Sustained Starter,classification,pair_epa_leverage,2,"epa_per_play, high_leverage_epa",110,0.24656329608134472,,,,0.6254772648385978,0.6545454545454545
final_season,Sustained Starter,classification,pair_volume_bigplay,2,"attempts, big_play_rate",110,0.24300341053984653,,,,0.6138493578618536,0.6727272727272727
final_season,Sustained Starter,classification,triple_epa_vol_bp,3,"epa_per_play, attempts, big_play_rate",110,0.2572451653222759,,,,0.6306837903505728,0.6909090909090909
final_season,Sustained Starter,classification,triple_epa_lev_sr,3,"epa_per_play, high_leverage_epa, success_rate",110,0.3048341970941349,,,,0.6782367233599444,0.6818181818181818
