player_name,draft_year,nfl_name_used,rookie_leaf,reached_85_starts,is_bust,is_elite,is_sustained_starter,total_starts,max_rolling_epa,min_rolling_epa
Derek Carr,2014,D.Carr,-0.12077862717938603,1.0,0.0,1.0,1.0,177,0.2580295377971238,-0.12060007715617733
Jimmy Garoppolo,2014,J.Garoppolo,-0.2133476577787925,0.0,0.0,1.0,1.0,70,0.3700241726544246,-0.3676703406028026
Logan Thomas,2014,L.Thomas,-0.2476255912333727,0.0,1.0,0.0,0.0,1,,
Aaron Murray,2014,,,,,,,0,,
AJ McCarron,2014,A.McCarron,,0.0,1.0,0.0,0.0,6,-0.23147806477581848,-0.7941134353911823
Jameis Winston,2015,J.Winston,0.06530093218395845,1.0,0.0,1.0,1.0,95,0.8124464340114415,-0.32263510413308444
Marcus Mariota,2015,M.Mariota,-0.019780404973619853,1.0,0.0,1.0,1.0,89,0.24984442347095728,-0.20321347285835428
Sean Mannion,2015,S.Mannion,-0.18380292064310716,0.0,1.0,0.0,0.0,3,,
Jared Goff,2016,J.Goff,-0.4155682155346258,1.0,0.0,1.0,1.0,161,0.38149244735150667,-0.17844312192686068
Carson Wentz,2016,C.Wentz,0.013899053843745197,1.0,0.0,1.0,1.0,100,0.27917900541002516,-0.23476515546572418
Paxton Lynch,2016,P.Lynch,-0.05196309661917839,0.0,1.0,0.0,0.0,5,,
Jacoby Brissett,2016,J.Brissett,-0.14593132744467097,0.0,0.0,1.0,0.0,69,0.3174889145359825,-0.5831693342576483
Cody Kessler,2016,C.Kessler,0.09766787202366617,0.0,1.0,0.0,0.0,13,0.049306115836388026,-0.4547231252986066
Connor Cook,2016,C.Cook,-0.4959258018799203,0.0,1.0,0.0,0.0,2,,
Dak Prescott,2016,D.Prescott,0.21206306514298293,1.0,0.0,1.0,1.0,145,0.3882355106614024,-0.20450651112579815
Cardale Jones,2016,C.Jones,-0.6700491405499633,0.0,1.0,0.0,0.0,1,,
Kevin Hogan,2016,K.Hogan,-0.2659235512609095,0.0,1.0,0.0,0.0,4,,
Mitchell Trubisky,2017,M.Trubisky,-0.14275625883705156,0.0,0.0,1.0,1.0,64,0.7432448858576916,-0.13941332548731142
Patrick Mahomes,2017,P.Mahomes,0.21321290481391164,1.0,0.0,1.0,1.0,147,0.42270752495819375,-0.04110852436907
Deshaun Watson,2017,D.Watson,0.11057810487725156,0.0,0.0,1.0,1.0,75,0.2854206927755051,-0.2799803454264376
DeShone Kizer,2017,D.Kizer,-0.26261481723376495,0.0,1.0,0.0,0.0,16,-0.23721847346765798,-0.3280462210346266
C.J. Beathard,2017,C.Beathard,-0.22222265432758326,0.0,1.0,0.0,0.0,18,0.014576050314277634,-0.19283271196526983
Nathan Peterman,2017,N.Peterman,-0.6270115495951591,0.0,1.0,0.0,0.0,7,-0.49634272523968404,-0.6968968500824104
Baker Mayfield,2018,B.Mayfield,0.03744498899743273,1.0,0.0,1.0,1.0,128,0.339379114493968,-0.18960402742012944
Sam Darnold,2018,S.Darnold,-0.06915990218360747,1.0,0.0,1.0,1.0,93,0.3441549072153962,-0.4343793116613995
Josh Allen,2018,J.Allen,-0.13028061343978725,1.0,0.0,1.0,1.0,134,0.3184748774894352,-0.1357482965278595
Josh Rosen,2018,J.Rosen,-0.35190145455404054,0.0,1.0,0.0,0.0,17,-0.25314748001111825,-0.9450622548774017
Lamar Jackson,2018,L.Jackson,-0.05438284126008666,1.0,0.0,1.0,1.0,113,0.5253557078512957,-0.16146156631702027
Kyle Lauletta,2018,K.Lauletta,-1.3410848918138072,0.0,1.0,0.0,0.0,0,,
Kyler Murray,2019,K.Murray,-0.01592807923311608,1.0,0.0,1.0,1.0,87,0.2646639273369857,-0.11656766678249705
Daniel Jones,2019,D.Jones,-0.09157134482605161,0.0,0.0,1.0,1.0,83,0.20579230588662095,-0.3237914350924563
Dwayne Haskins,2019,D.Haskins,-0.22162499620526807,0.0,1.0,0.0,0.0,15,-0.05544050388541684,-0.2731255927127586
Drew Lock,2019,D.Lock,0.08524799652882223,0.0,1.0,0.0,0.0,29,-0.04749141184182397,-0.276353598539525
Will Grier,2019,W.Grier,-0.48585053076751444,0.0,1.0,0.0,0.0,1,,
Ryan Finley,2019,R.Finley,-0.6049393792184671,0.0,1.0,0.0,0.0,5,,
