player_name,leaf_name,draft_year,college,nfl_team,round,pick,rookie_games,rookie_attempts,rookie_leaf_mean,rookie_leaf_final,rookie_leaf_std,rookie_leaf_min,rookie_leaf_max,rookie_epa_mean,rookie_cpoe_mean
Jameis Winston,J.Winston,2015,Florida St.,TAM,1,1,16,0.0,-0.01162854589224319,0.051797122694383,0.0742443535778879,-0.1495537869123131,0.0711684582746312,,
Marcus Mariota,M.Mariota,2015,Oregon,TEN,1,2,12,0.0,0.14606874974181508,-0.1210482025371737,0.2321330128928809,-0.1210482025371737,0.7227518201400923,,
Sean Mannion,S.Mannion,2015,Oregon St.,STL,3,89,1,0.0,-0.2030038375684063,-0.2030038375684063,,-0.2030038375684063,-0.2030038375684063,,
Jared Goff,J.Goff,2016,California,LAR,1,1,7,0.0,-0.349221070892647,-0.4166481213427109,0.04268979738525682,-0.4166481213427109,-0.2956947894589649,,
Carson Wentz,C.Wentz,2016,North Dakota St.,PHI,1,2,16,0.0,0.0035298668547335856,-0.1027187517532201,0.08921595089105426,-0.1027187517532201,0.1772849619698203,,
Paxton Lynch,P.Lynch,2016,Memphis,DEN,1,26,3,0.0,0.062343312562061735,-0.1180947771756119,0.16837277646270296,-0.1180947771756119,0.2152597551649654,,
Jacoby Brissett,J.Brissett,2016,North Carolina St.,NWE,3,91,3,0.0,-0.11339309135471994,-0.1178587307236281,0.03638188818153413,-0.1473360278672522,-0.0749845154732795,,
Cody Kessler,C.Kessler,2016,USC,CLE,3,93,9,0.0,0.026995644721694415,-0.0226229105930739,0.056523882006013104,-0.0650652152528146,0.1029734395053259,,
Connor Cook,C.Cook,2016,Michigan St.,OAK,4,100,2,0.0,-0.4177917797697064,-0.3835223208363981,0.04846433359867241,-0.4520612387030147,-0.3835223208363981,,
Dak Prescott,D.Prescott,2016,Mississippi St.,DAL,4,135,17,0.0,0.1465490259269362,0.1355817368327831,0.06949818902485426,-0.0439418212548599,0.237641058765541,,
Cardale Jones,C.Jones,2016,Ohio St.,BUF,4,139,1,0.0,-0.7074195124284335,-0.7074195124284335,,-0.7074195124284335,-0.7074195124284335,,
Kevin Hogan,K.Hogan,2016,Stanford,KAN,5,162,2,0.0,-0.4857403031757431,-0.4928174177030167,0.010008551346937953,-0.4928174177030167,-0.4786631886484695,,
Mitchell Trubisky,M.Trubisky,2017,North Carolina,CHI,1,2,12,0.0,-0.18423781691932292,-0.1375972803816052,0.06492403803488198,-0.28675546907035,-0.1096368938430264,,
Patrick Mahomes,P.Mahomes,2017,Texas Tech,KAN,1,10,1,0.0,0.1709549461816212,0.1709549461816212,,0.1709549461816212,0.1709549461816212,,
Deshaun Watson,D.Watson,2017,Clemson,HOU,1,12,7,0.0,-0.2608106912645114,-0.0377194517988557,0.22030375075782188,-0.5577790634694866,-0.0377194517988557,,
DeShone Kizer,D.Kizer,2017,Notre Dame,CLE,2,52,15,0.0,-0.3139972880677403,-0.266158252781785,0.07446269426559929,-0.3904062420357641,-0.0871561129209942,,
C.J. Beathard,C.Beathard,2017,Iowa,SFO,3,104,6,0.0,-0.17073947290897482,-0.1421995180177211,0.09257814436038884,-0.2710037087241078,-0.0353267278726682,,
Nathan Peterman,N.Peterman,2017,Pittsburgh,BUF,5,171,5,0.0,-0.23603638463210314,-0.4349038702671576,0.3904219733205055,-0.4851653544901579,0.4541608110838406,,
Baker Mayfield,B.Mayfield,2018,Oklahoma,CLE,1,1,14,0.0,0.016410836498254262,0.0835732515220013,0.10670685182900075,-0.1271251622549421,0.2181074211181653,,
Sam Darnold,S.Darnold,2018,USC,NYJ,1,3,13,0.0,-0.014569929897951663,-0.0116952271717492,0.07105053284059337,-0.0923932098160991,0.193145238944397,,
