weighting,correlation,r_squared,p_value,n
uniform,0.5775457979241596,0.3335591486998539,0.0005378103771325193,32
linear_2x,0.5646317252276127,0.3188089851335104,0.0007613478140946484,32
linear_3x,0.5582183504508863,0.3116077267801085,0.0009000911553973534,32
exponential,0.5372224331018516,0.28860794262787326,0.0015218716507887642,32
back_half,0.5339305910942083,0.2850818761062104,0.0016474726044224397,32
final_third,0.508078889728558,0.258144158187804,0.0029897997907284424,32
