passer_player_id,passer_player_name,games_10att,games_any,attempts,season
00-0021277,C.Nall,1,1,16,2007
00-0021296,J.O'Sullivan,1,2,28,2007
00-0021306,A.Peterson,0,1,1,2007
00-0021314,C.Taylor,0,1,1,2007
00-0021337,R.Curry,0,1,1,2007
00-0021379,P.Ramsey,1,2,50,2007
00-0021429,C.Palmer,16,16,590,2007
00-0021508,G.Lewis,0,1,1,2007
00-0021678,T.Romo,17,17,583,2007
00-0021976,L.Johnson,0,1,1,2007
00-0022017,M.Scifres,0,1,1,2007
00-0022026,B.Bollinger,3,4,56,2007
00-0022055,S.Wallace,1,4,31,2007
00-0022084,A.Boldin,0,1,1,2007
00-0022121,R.Grossman,7,8,246,2007
00-0022164,K.Boller,10,12,296,2007
00-0022177,B.Leftwich,2,3,64,2007
00-0022217,M.Moore,0,1,1,2007
00-0022250,W.Parker,0,1,1,2007
00-0022590,J.Lorenzen,0,2,9,2007
00-0022736,S.Jackson,0,1,1,2007
00-0022744,J.Sorgi,1,4,38,2007
00-0022787,M.Schaub,10,11,301,2007
00-0022803,E.Manning,20,20,681,2007
00-0022864,L.McCown,4,5,155,2007
00-0022912,J.Losman,6,8,188,2007
00-0022924,B.Roethlisberger,16,16,499,2007
00-0022942,P.Rivers,19,19,570,2007
00-0023060,C.Kluwe,0,1,1,2007
00-0023158,B.Berlin,1,1,28,2007
00-0023176,J.Cribbs,0,1,1,2007
00-0023252,R.Gould,0,1,1,2007
00-0023436,A.Smith,6,7,208,2007
00-0023457,M.Clayton,0,1,1,2007
00-0023459,A.Rodgers,1,2,30,2007
00-0023460,J.Campbell,13,13,436,2007
00-0023502,C.Frye,1,1,15,2007
00-0023504,A.Walter,0,1,8,2007
00-0023541,K.Orton,3,3,82,2007
00-0023645,D.Anderson,16,16,536,2007
00-0023662,M.Cassel,0,3,7,2007
00-0024218,V.Young,16,16,437,2007
00-0024225,M.Leinart,5,5,116,2007
00-0024226,J.Cutler,15,16,492,2007
00-0024264,K.Clemens,9,10,274,2007
00-0024272,D.Hester,0,1,1,2007
00-0024279,T.Jackson,12,12,306,2007
00-0024300,B.Croyle,8,9,239,2007
00-0024318,B.Smith,0,1,1,2007
00-0024332,L.Washington,0,1,1,2007
00-0024334,B.Marshall,0,2,2,2007
00-0024408,B.Gradkowski,1,3,25,2007
00-0024824,M.Gutierrez,0,1,1,2007
00-0025388,J.Russell,2,4,73,2007
00-0025399,M.Lynch,0,1,1,2007
00-0025409,B.Quinn,0,1,8,2007
00-0025423,K.Kolb,0,1,2,2007
00-0025427,J.Beck,4,5,116,2007
00-0025431,S.Rice,0,1,2,2007
00-0025479,T.Edwards,10,10,279,2007
00-0025499,D.Sepulveda,0,1,1,2007
00-0025561,T.Smith,3,4,80,2007
00-0025604,T.Thigpen,0,1,7,2007
00-0025708,M.Moore,5,8,117,2007
00-0002099,I.Bruce,0,1,1,2008
00-0003292,K.Collins,15,17,468,2008
00-0003739,D.Culpepper,5,5,127,2008
00-0004161,J.Delhomme,17,17,470,2008
00-0005091,K.Faulk,0,1,1,2008
00-0005106,B.Favre,16,16,553,2008
00-0005589,G.Frerotte,11,11,329,2008
00-0005755,J.Garcia,12,12,399,2008
00-0006355,T.Green,3,3,78,2008
00-0006423,B.Griese,5,5,192,2008
00-0007091,M.Hasselbeck,7,7,229,2008
00-0007835,D.Huard,4,5,89,2008
00-0008442,B.Johnson,3,3,86,2008
00-0008484,D.Johnson,0,2,2,2008
00-0009311,J.Kitna,4,4,134,2008
00-0010346,P.Manning,16,17,611,2008
00-0010609,B.Maynard,0,1,1,2008
00-0011022,D.McNabb,19,19,716,2008
00-0011626,B.Moorman,0,1,1,2008
00-0016689,M.Turk,0,1,1,2008
00-0017200,K.Warner,20,20,765,2008
00-0019242,D.Looker,0,4,4,2008
00-0019539,D.Hall,0,1,1,2008
00-0019559,C.Pennington,17,17,539,2008
00-0019596,T.Brady,1,1,11,2008
00-0019599,M.Bulger,14,15,480,2008
00-0020405,M.Tuiasosopo,0,2,5,2008
00-0020480,S.Rosenfels,6,6,181,2008
00-0020531,D.Brees,16,16,643,2008
00-0020565,C.Lemon,0,1,2,2008
00-0020608,D.Carr,1,2,13,2008
00-0020613,Q.Gray,0,1,8,2008
00-0020679,S.Hill,9,9,308,2008
00-0021190,A.Randle El,0,4,4,2008
00-0021231,D.Garrard,16,16,576,2008
00-0021296,J.O'Sullivan,8,9,252,2008
00-0021314,C.Taylor,0,1,1,2008
00-0021379,P.Ramsey,0,1,4,2008
00-0021429,C.Palmer,4,4,140,2008
00-0021647,J.Urban,0,1,1,2008
00-0021678,T.Romo,13,13,471,2008
00-0021755,E.Graham,0,1,1,2008
00-0021976,L.Johnson,0,1,1,2008
00-0022005,C.Simms,0,1,3,2008
00-0022026,B.Bollinger,1,2,20,2008
00-0022039,K.Dorsey,3,4,96,2008
00-0022055,S.Wallace,8,9,255,2008
00-0022121,R.Grossman,2,3,65,2008
00-0022127,J.Witten,0,1,1,2008
00-0022177,B.Leftwich,2,6,39,2008
00-0022181,D.Henson,0,2,5,2008
00-0022684,D.Jones,0,1,1,2008
00-0022744,J.Sorgi,1,1,30,2008
00-0022766,P.Crayton,0,1,1,2008
00-0022787,M.Schaub,11,11,399,2008
00-0022803,E.Manning,17,17,536,2008
00-0022912,J.Losman,4,4,116,2008
00-0022924,B.Roethlisberger,19,19,610,2008
00-0022942,P.Rivers,18,18,586,2008
00-0023158,B.Berlin,0,1,2,2008
00-0023158,B.Berlin (3rd QB),0,1,1,2008
00-0023176,J.Cribbs,0,3,4,2008
00-0023310,L.Moore,0,1,1,2008
00-0023437,R.Brown,0,4,4,2008
00-0023457,M.Clayton,0,1,1,2008
00-0023459,A.Rodgers,16,16,567,2008
00-0023460,J.Campbell,16,16,543,2008
00-0023474,M.Bradley,0,1,1,2008
00-0023479,J.Arrington,0,1,1,2008
00-0023502,C.Frye,1,1,26,2008
00-0023504,A.Walter,2,2,53,2008
00-0023534,D.Colquitt,0,1,1,2008
00-0023541,K.Orton,15,15,492,2008
00-0023578,D.Orlovsky,8,10,270,2008
00-0023645,D.Anderson,10,10,300,2008
00-0023662,M.Cassel,15,16,561,2008
00-0023682,R.Fitzpatrick,11,12,409,2008
00-0024218,V.Young,2,3,39,2008
00-0024225,M.Leinart,1,4,31,2008
00-0024226,J.Cutler,16,16,624,2008
00-0024264,K.Clemens,0,1,5,2008
00-0024279,T.Jackson,7,8,199,2008
00-0024300,B.Croyle,2,2,30,2008
00-0024318,B.Smith,0,2,2,2008
00-0024358,M.Hagans,0,1,2,2008
00-0024408,B.Gradkowski,1,2,25,2008
00-0025388,J.Russell,15,15,397,2008
00-0025409,B.Quinn,3,3,90,2008
00-0025423,K.Kolb,1,4,34,2008
00-0025430,D.Stanton,1,3,23,2008
00-0025431,S.Rice,0,1,1,2008
00-0025479,T.Edwards,13,14,397,2008
00-0025487,M.Bush,0,2,3,2008
00-0025561,T.Smith,0,3,5,2008
00-0025592,J.Palmer,0,3,14,2008
00-0025604,T.Thigpen,14,14,445,2008
00-0026143,M.Ryan,17,17,493,2008
00-0026144,D.McFadden,0,1,1,2008
00-0026158,J.Flacco,19,19,539,2008
00-0026182,E.Royal,0,1,1,2008
00-0026189,D.Jackson,0,1,1,2008
00-0026197,C.Henne,1,1,12,2008
00-0026234,K.O'Connell,0,2,7,2008
00-0026296,D.Dixon,0,1,1,2008
00-0026349,M.Flynn,0,1,5,2008
00-0000865,C.Batch,0,1,2,2009
00-0002110,M.Brunell,1,3,31,2009
00-0003292,K.Collins,7,7,222,2009
00-0003315,T.Collins,1,3,25,2009
00-0003739,D.Culpepper,7,8,171,2009
00-0004091,P.Dawson,0,1,1,2009
00-0004161,J.Delhomme,11,11,340,2009
00-0005106,B.Favre,18,18,636,2009
00-0005113,J.Feagles,0,1,1,2009
00-0007091,M.Hasselbeck,14,14,521,2009
00-0008484,D.Johnson,0,1,1,2009
00-0010346,P.Manning,19,19,714,2009
00-0010609,B.Maynard,0,1,1,2009
00-0011022,D.McNabb,15,15,520,2009
00-0011626,B.Moorman,0,2,2,2009
00-0015194,H.Smith,0,2,2,2009
00-0017200,K.Warner,16,17,592,2009
00-0017915,R.Williams,0,1,1,2009
00-0019041,B.Volek,1,2,32,2009
00-0019559,C.Pennington,3,3,78,2009
00-0019596,T.Brady,17,17,629,2009
00-0019599,M.Bulger,7,9,261,2009
00-0019709,C.Redman,3,3,125,2009
00-0020245,M.Vick,0,9,15,2009
00-0020498,R.Wayne,0,1,1,2009
00-0020531,D.Brees,18,18,638,2009
00-0020536,L.Tomlinson,0,1,1,2009
00-0020608,D.Carr,1,6,34,2009
00-0020679,S.Hill,6,6,173,2009
00-0021179,C.Portis,0,1,1,2009
00-0021190,A.Randle El,0,1,1,2009
00-0021206,J.McCown,0,1,7,2009
00-0021216,B.Westbrook,0,1,1,2009
00-0021231,D.Garrard,16,16,555,2009
00-0021296,J.O'Sullivan,1,2,14,2009
00-0021429,C.Palmer,17,17,529,2009
00-0021678,T.Romo,18,18,660,2009
00-0021940,Josh.Brown,0,1,1,2009
00-0022005,C.Simms,1,2,22,2009
00-0022055,S.Wallace,3,9,129,2009
00-0022092,C.Brown,0,1,1,2009
00-0022101,B.St. Pierre,0,1,3,2009
00-0022101,B.St. Pierre (3rd QB),0,1,1,2009
00-0022121,R.Grossman,0,1,9,2009
00-0022164,K.Boller,6,7,192,2009
00-0022177,B.Leftwich,3,3,110,2009
00-0022217,M.Moore,0,1,1,2009
00-0022725,M.Clayton,0,1,1,2009
00-0022787,M.Schaub,16,16,606,2009
00-0022803,E.Manning,16,16,537,2009
00-0022864,L.McCown,0,2,5,2009
00-0022912,J.Losman,0,1,1,2009
00-0022924,B.Roethlisberger,15,15,555,2009
00-0022942,P.Rivers,17,17,550,2009
00-0023176,J.Cribbs,0,3,4,2009
00-0023436,A.Smith,11,11,393,2009
00-0023437,R.Brown,0,4,7,2009
00-0023438,B.Edwards,0,1,1,2009
00-0023457,M.Clayton,0,1,1,2009
00-0023459,A.Rodgers,17,17,639,2009
00-0023460,J.Campbell,16,16,547,2009
00-0023474,M.Bradley,0,1,1,2009
00-0023502,C.Frye,3,3,92,2009
00-0023541,K.Orton,16,16,570,2009
00-0023645,D.Anderson,8,8,192,2009
00-0023662,M.Cassel,15,15,533,2009
00-0023682,R.Fitzpatrick,9,10,248,2009
00-0023742,J.Ryan,0,2,2,2009
00-0023968,M.Spurlock,0,1,1,2009
00-0024110,S.Weatherford,0,1,1,2009
00-0024204,F.Jackson,0,1,1,2009
00-0024218,V.Young,9,12,267,2009
00-0024225,M.Leinart,3,8,88,2009
00-0024226,J.Cutler,16,16,586,2009
00-0024240,S.Holmes,0,1,1,2009
00-0024245,J.Addai,0,1,1,2009
00-0024264,K.Clemens,1,3,29,2009
00-0024279,T.Jackson,0,6,21,2009
00-0024300,B.Croyle,2,3,43,2009
00-0024318,B.Smith,0,2,2,2009
00-0024408,B.Gradkowski,5,7,158,2009
00-0024824,M.Gutierrez,0,1,1,2009
00-0025388,J.Russell,12,12,278,2009
00-0025409,B.Quinn,8,10,275,2009
00-0025423,K.Kolb,3,3,100,2009
00-0025430,D.Stanton,3,3,56,2009
00-0025431,S.Rice,0,1,1,2009
00-0025479,T.Edwards,6,8,205,2009
00-0025487,M.Bush,0,1,1,2009
00-0025559,L.Naanee,0,1,1,2009
00-0025561,T.Smith,0,3,9,2009
00-0025604,T.Thigpen,0,1,8,2009
00-0025672,T.Castille,0,1,1,2009
00-0025708,M.Moore,6,7,148,2009
00-0025970,C.Hanie,0,2,7,2009
