player_name,season,college,plays,raw_epa_per_play,adjusted_epa_per_play,college_leaf_raw,college_leaf_adjusted,team_sp_plus_offense,draft_year,draft_round,draft_pick,rookie_leaf_mean,rookie_games
Jameis Winston,2014,Florida State,469,0.48619038633562,0.5161271865642014,0.97238077267124,1.0322543731284028,45.0,2015,1,1,-0.0116285458922431,16
Marcus Mariota,2014,Oregon,398,0.6858091137905253,0.7001934080095441,1.3716182275810507,1.4003868160190882,48.1,2015,1,2,0.146068749741815,12
Sean Mannion,2014,Oregon State,469,0.289511396635925,0.35477544918090487,0.57902279327185,0.7095508983618097,30.3,2015,3,89,-0.2030038375684063,1
Jared Goff,2015,California,510,0.4811605169334867,0.5412479683979593,0.9623210338669734,1.0824959367959186,41.3,2016,1,1,-0.349221070892647,7
