attempts,completion_rate,epa_per_play,epa_std,success_rate,big_play_rate,explosive_rate,turnover_worthy_rate,sack_rate,high_leverage_epa,red_zone_epa,third_down_epa,opp_adj_epa,opp_adj_success_rate,opp_adj_big_play_rate,avg_opp_defense_sp,opp_sp_coverage,avg_team_offense_sp,team_adj_epa,full_adj_epa,player_name,rookie_leaf_mean,draft_pick
605,0.9206611570247933,0.36650327971158936,1.6991030929016386,0.5636363636363636,0.1933884297520661,0.09752066115702479,0.04628099173553719,0.07933884297520662,0.0,0.22583154125033683,0.0,0.6193218957657946,0.5635673624288425,0.34724857685009486,28.74933586337761,0.8710743801652893,40.5,0.1438525372867988,0.4138525614990398,Bailey Zappe,-0.1165663874797361,137
436,0.9128440366972477,0.4927529505018247,1.720356414612276,0.5986238532110092,0.26376146788990823,0.10779816513761468,0.04357798165137615,0.0871559633027523,0.0,0.38434042563805215,0.0,0.8963250016590257,0.5986238532110092,0.41284403669724773,25.349311926605502,1.0,49.8,0.12466649647696171,0.5282385476341626,Baker Mayfield,0.0164108364982542,1
24,0.75,-0.45424160609642666,1.6890176418078258,0.375,0.125,0.0,0.08333333333333333,0.25,0.0,-1.1858314275741577,0.0,-0.8507945282186071,0.375,0.20833333333333334,29.100000000000005,1.0,0.0,-0.45424160609642666,-0.45424160609642666,Ben DiNucci,-0.4729410404618955,231
387,0.9147286821705426,0.14617088726584532,1.664916766371401,0.5167958656330749,0.16020671834625322,0.06459948320413436,0.05167958656330749,0.08527131782945736,0.0,0.4063522745581234,0.0,0.29068661861555073,0.5207756232686981,0.29085872576177285,22.806094182825486,0.9328165374677002,33.800000000000004,0.07206224742206176,0.21285230467020388,Brock Purdy,0.0760626250159369,262
315,0.7904761904761904,-0.3718265764297001,1.876519042900957,0.35873015873015873,0.1619047619047619,0.06031746031746032,0.13968253968253969,0.20952380952380953,0.0,-0.12791832288106278,0.0,-0.704250649109789,0.3527397260273973,0.21232876712328766,23.17431506849315,0.926984126984127,29.0,-0.21008201568278054,-0.5236892444268889,C.J. Beathard,-0.1707394729089748,104
286,0.9685314685314685,0.3090732727947973,1.435435682087678,0.5174825174825175,0.1888111888111888,0.1048951048951049,0.024475524475524476,0.03146853146853147,0.3919187457564253,0.4480595240171817,0.47179249831473113,0.5598104716936523,0.5174825174825175,0.3181818181818182,27.026573426573428,1.0,41.30000000000001,0.11760238029842036,0.3683395791972753,Cardale Jones,-0.7074195124284335,139
428,0.9789719626168224,0.49933354076988795,1.4100278105461683,0.5560747663551402,0.20327102803738317,0.09345794392523364,0.009345794392523364,0.02102803738317757,0.7393622168929506,0.6637873041815834,0.8044877715201327,0.9225056056249505,0.5560747663551402,0.34345794392523366,27.36238317757009,1.0,0.0,0.49933354076988795,0.49933354076988795,Cody Kessler,0.0269956447216944,93
399,0.9799498746867168,0.44872955892916644,1.4901675820598144,0.47869674185463656,0.2506265664160401,0.14786967418546365,0.015037593984962405,0.020050125313283207,0.9904058414014068,0.5893171481004713,0.8148113349948236,0.8322705603603495,0.47869674185463656,0.3558897243107769,27.359398496240598,1.0,35.69999999999999,0.20843488012259775,0.5919758815537809,Connor Cook,-0.4177917797697064,100
455,0.9912087912087912,0.4430213750205148,1.3416442512631783,0.5428571428571428,0.1912087912087912,0.10329670329670329,0.004395604395604396,0.008791208791208791,0.8029522106636713,0.8033452774024998,0.8477546564314062,0.7019411762411246,0.5413533834586466,0.2907268170426065,21.094736842105267,0.8769230769230769,40.19999999999999,0.1758794858831444,0.4542074342940704,Dak Prescott,0.1465490259269362,135
462,0.8809523809523809,0.00419266046190159,1.758548853849141,0.4393939393939394,0.170995670995671,0.06926406926406926,0.049783549783549784,0.11904761904761904,0.0,0.1623216234907812,0.0,0.015182229456371795,0.44028103044496486,0.2810304449648712,25.1887587822014,0.9242424242424242,30.5,0.002274518300581618,0.014597868161289083,Daniel Jones,-0.1519505766608283,6
212,0.9056603773584906,0.2557992704985839,1.690944030953029,0.5518867924528302,0.22169811320754718,0.08490566037735849,0.05188679245283019,0.09433962264150944,0.0,0.7480006217956543,0.0,0.4573637260123033,0.5518867924528302,0.33962264150943394,27.099999999999994,1.0,30.0,0.14068959877422116,0.34225405428794053,Davis Mills,-0.1852126131639208,67
390,0.8564102564102564,-0.00043305034433902716,1.8628594631825655,0.441025641025641,0.2,0.09487179487179487,0.07435897435897436,0.14358974358974358,0.0,-0.1315929542888295,0.0,-0.06362937409188661,0.4358974358974359,0.28774928774928776,25.68774928774928,0.9,39.39999999999999,-0.00017711759083466425,-0.04728351778571979,DeShone Kizer,-0.3139972880677403,52
