player_name,draft_year,draft_pick,total_plays,total_games,leaf_uniform,leaf_linear_2x,leaf_linear_3x,leaf_exponential,leaf_back_half,leaf_final_third
Jameis Winston,2015,1,595,17,0.10351636434558763,0.1216672724232932,0.1305853486464433,0.1436645582814106,0.16038924883664063,0.16246811749848183
Marcus Mariota,2015,2,582,17,-0.0058163814968950804,-0.019117293251250566,-0.02583848330207314,-0.0341847052841238,-0.07456237066908793,-0.07902548363252218
Jared Goff,2016,1,561,17,-0.035077772261092516,0.011405386202825912,0.0345592613622117,0.08748893293234142,0.18588745047264688,0.12423944425146684
Carson Wentz,2016,2,683,17,0.027000937227894043,0.016160217744312567,0.010869605806273165,0.011471963666506905,-0.0238214084936837,-0.00032802989073884897
Jacoby Brissett,2016,91,519,17,-0.11029685340910983,-0.11102816325869982,-0.11137769687162694,-0.11363833555115256,-0.1140785706961514,-0.09118676615336299
Cody Kessler,2016,93,399,17,-0.08498114788181872,-0.13010896295290658,-0.1531345361157762,-0.20733120943668315,-0.30944777036561333,-0.2723110747558803
Dak Prescott,2016,135,523,17,0.24228769821934112,0.2265246076085586,0.21845699034672203,0.19548368464411017,0.16085503141241453,0.011592990292338269
Mitchell Trubisky,2017,2,534,17,-0.03476787975086094,-0.006164317483762288,0.007647643407505412,0.05366529161236329,0.052522525266121764,0.040074703357160076
Patrick Mahomes,2017,10,643,17,0.3583318644060638,0.35080811739522544,0.34708066342009763,0.3405073691855457,0.33121154387420404,0.2968416941091679
Deshaun Watson,2017,12,562,17,0.10021375695917321,0.10764389005993015,0.11138810418467829,0.11279070908457656,0.13328253280328214,0.05617074778830184
DeShone Kizer,2017,52,558,17,-0.24886914820249312,-0.24941178915122805,-0.24968721259581617,-0.25694265641885256,-0.2598762908246364,-0.23105592243897474
C.J. Beathard,2017,104,544,17,-0.10621232878318143,-0.0891793136235252,-0.07991682680922758,-0.04262208452793581,-0.04371317112220758,0.08206311061895853
Baker Mayfield,2018,1,634,17,0.02092268912563757,0.026366865641071033,0.02910379331341501,0.01980926896730334,0.08017331405682727,-0.004008525920772568
Sam Darnold,2018,3,596,17,-0.08440281623403353,-0.09655147693212421,-0.1025397757234502,-0.1294733520753588,-0.0957248848633155,-0.1162926555430616
Josh Allen,2018,7,523,17,-0.11496353335753631,-0.1111418163579271,-0.10929068601220296,-0.11172996084316988,-0.09056148104631137,-0.07113398509165528
Josh Rosen,2018,10,505,17,-0.3469046861800525,-0.3623637526429572,-0.3700846858250729,-0.382608076328701,-0.41541015335444537,-0.49990718898382713
Lamar Jackson,2018,32,365,17,0.06815946105202783,0.08183520515765572,0.08764113315830029,0.10095970258038145,0.1477885459760566,0.15683160711801433
Kyler Murray,2019,1,630,17,0.0038364454466468206,0.004176392119240769,0.004352371086976333,0.003165263990447647,-0.01149936328676046,-0.08391949854534562
Daniel Jones,2019,6,662,17,-0.09840416755250343,-0.09927490004829392,-0.09969549465771622,-0.10421000761618572,-0.056100981871951734,-0.032418662442864704
Drew Lock,2019,42,581,17,-0.045594728696173994,-0.05231972963061371,-0.05558937443639571,-0.05629696860515788,-0.07016975336661213,-0.059642603928916
Joe Burrow,2020,1,661,17,0.15560042403363666,0.17419614722345347,0.1838985827663988,0.2154522195876981,0.16198565685050342,0.2512482966443144
Tua Tagovailoa,2020,5,522,17,0.01977823290839285,0.03072258592074383,0.035998921429815374,0.06662401971452175,0.01218462003181844,0.13085103598981207
Justin Herbert,2020,6,718,17,0.14532387687532522,0.1471694873586238,0.148084487066553,0.1562691870901331,0.14012480250710377,0.2528153603377248
Jalen Hurts,2020,53,433,17,0.013057882787768274,0.01054569153256719,0.009425713346207272,0.008124948567495219,-0.005254277015117851,-0.010183190703438818
Trevor Lawrence,2021,1,636,17,-0.093204697034444,-0.08892091900785419,-0.08675174478419884,-0.08051285875604537,-0.09475894925990135,-0.11220615929169021
Zach Wilson,2021,2,538,17,-0.20077596359665012,-0.18938906074658324,-0.18348219924644008,-0.1787246525710985,-0.18196323721688468,-0.12257227935954283
Justin Fields,2021,11,411,17,-0.19158914484383413,-0.17573342219000804,-0.1680474991344603,-0.14604179736479334,-0.12554011267871,-0.11427138244091961
Mac Jones,2021,15,550,17,0.09635157768144154,0.10846196199912342,0.1147316044273856,0.12742889782205125,0.15532002493100253,0.16412930061069247
Davis Mills,2021,67,577,17,-0.13267376120923663,-0.12835461532571713,-0.1262559650732618,-0.12968420178874995,-0.060709119048686096,-0.16848298874231027
Kenny Pickett,2022,20,554,17,-0.07936165091463768,-0.08273877649881227,-0.08444427109647201,-0.09955153614052621,-0.053852537937849644,-0.10625011057547477
Desmond Ridder,2022,74,510,17,-0.06180272891223528,-0.06310295863439433,-0.06376882248106294,-0.059080155967725465,-0.002849900600117433,-0.10853700487880602
Sam Howell,2022,144,670,17,-0.1555139227429564,-0.17047360551516003,-0.17807469563356101,-0.2226552510458626,-0.17001129679766067,-0.39386569306860636
Brock Purdy,2022,262,452,17,0.27299106681740826,0.2819616284767028,0.2863809133486387,0.28781198676997305,0.26913869945839697,0.3448579294925303
C.J. Stroud,2023,2,589,17,0.12083665386300099,0.1208595255871718,0.120871359513195,0.11690747777812399,0.0673100127500519,0.058078253465209985
