player_name,season,college,plays,raw_epa_per_play,context_adjusted_epa_per_play,college_leaf_raw,college_leaf_adjusted,team_sp_plus,draft_year,draft_round,draft_pick,rookie_leaf_mean,rookie_games
Jameis Winston,2014,Florida State,469,0.48619038633562,0.5230702689178973,0.97238077267124,1.0461405378357946,28.5,2015,1,1,-0.0116285458922431,16
Marcus Mariota,2014,Oregon,398,0.6858091137905253,0.6985202194945593,1.3716182275810507,1.3970404389891187,24.7,2015,1,2,0.146068749741815,12
Sean Mannion,2014,Oregon State,469,0.289511396635925,0.3176636973084713,0.57902279327185,0.6353273946169427,3.2,2015,3,89,-0.2030038375684063,1
Jared Goff,2015,California,510,0.4811605169334867,0.5236402662910269,0.9623210338669734,1.0472805325820538,12.1,2016,1,1,-0.349221070892647,7
Paxton Lynch,2015,Memphis,425,0.5267784707697204,0.562863151638148,1.0535569415394408,1.125726303276296,8.0,2016,1,26,0.0623433125620617,3
Jacoby Brissett,2015,NC State,379,0.29492004760203977,0.33691317990079545,0.5898400952040795,0.6738263598015909,9.6,2016,3,91,-0.1133930913547199,3
Cody Kessler,2015,USC,428,0.49933354076988795,0.5277954040544631,0.9986670815397759,1.0555908081089262,16.8,2016,3,93,0.0269956447216944,9
Connor Cook,2015,Michigan State,399,0.44872955892916644,0.518980732200428,0.8974591178583329,1.037961464400856,15.6,2016,4,100,-0.4177917797697064,2
Dak Prescott,2015,Mississippi State,455,0.4430213750205148,0.47602185902170424,0.8860427500410296,0.9520437180434085,15.1,2016,4,135,0.1465490259269362,17
Cardale Jones,2015,Ohio State,286,0.3090732727947973,0.32553224328588826,0.6181465455895946,0.6510644865717765,29.5,2016,4,139,-0.7074195124284335,1
Kevin Hogan,2015,Stanford,294,0.6127578584097395,0.675326074291935,1.225515716819479,1.35065214858387,22.8,2016,5,162,-0.4857403031757431,2
Mitchell Trubisky,2016,North Carolina,453,0.09120316759870278,0.11529335309979537,0.18240633519740557,0.23058670619959074,15.9,2017,1,2,-0.1842378169193229,12
Patrick Mahomes,2016,Texas Tech,638,0.12426022917972322,0.1275757890542368,0.24852045835944644,0.2551515781084736,3.7,2017,1,10,0.1709549461816212,1
Deshaun Watson,2016,Clemson,613,-0.03980757805350165,-0.05013214574674022,-0.0796151561070033,-0.10026429149348044,28.7,2017,1,12,-0.2608106912645114,7
