player_name,season,college,plays,raw_epa_per_play,context_adjusted_epa_per_play,college_leaf_raw,college_leaf_adjusted,team_sp_plus,draft_year,draft_round,draft_pick,rookie_leaf_mean,rookie_games
DeShone Kizer,2016,Notre Dame,390,-0.00043305034433902716,-0.008796366245251314,-0.0008661006886780543,-0.017592732490502628,15.7,2017,2,52,-0.3139972880677403,15
C.J. Beathard,2016,Iowa,315,-0.3718265764297001,-0.38307677792745926,-0.7436531528594001,-0.7661535558549185,10.3,2017,3,104,-0.1707394729089748,6
Nathan Peterman,2016,Pittsburgh,317,0.16198229192747302,0.164931768510808,0.32396458385494603,0.329863537021616,13.1,2017,5,171,-0.2360363846321031,5
Baker Mayfield,2017,Oklahoma,436,0.4927529505018247,0.4958253184241166,0.9855059010036494,0.9916506368482332,25.5,2018,1,1,0.0164108364982542,14
Sam Darnold,2017,USC,474,0.20437158012314688,0.213176904135867,0.40874316024629376,0.426353808271734,17.9,2018,1,3,-0.0145699298979516,13
Josh Allen,2017,Wyoming,339,-0.023514671399530063,-0.030856219429885413,-0.047029342799060125,-0.061712438859770825,-2.5,2018,1,7,-0.1207762878778059,12
Josh Rosen,2017,UCLA,513,0.22398920923645732,0.237000808769267,0.44797841847291464,0.474001617538534,4.9,2018,1,10,-0.2298309272198516,14
Lamar Jackson,2017,Louisville,457,0.1854272624824188,0.18051959065561482,0.3708545249648376,0.36103918131122964,19.2,2018,1,32,-0.144389732611673,13
Kyler Murray,2018,Oklahoma,401,0.5438263336860777,0.5613073725862768,1.0876526673721554,1.1226147451725537,24.9,2019,1,1,-0.0663593879443622,16
Daniel Jones,2018,Duke,462,0.00419266046190159,0.0031237292650974167,0.00838532092380318,0.006247458530194833,5.0,2019,1,6,-0.1519505766608283,13
Dwayne Haskins,2018,Ohio State,551,0.36360341342953717,0.37955431485024643,0.7272068268590743,0.7591086297004929,24.1,2019,1,15,-0.575462035980848,9
Drew Lock,2018,Missouri,425,0.21472708709099714,0.21706884613633154,0.4294541741819943,0.4341376922726631,20.8,2019,2,42,0.116720299850732,5
Will Grier,2018,West Virginia,434,0.31789650774908507,0.32929223254735024,0.6357930154981701,0.6585844650947005,13.2,2019,3,100,-0.625739677371351,2
Ryan Finley,2018,NC State,480,0.28820229254973434,0.2968995385502155,0.5764045850994687,0.593799077100431,9.4,2019,4,104,-0.5851547409654109,3
Jarrett Stidham,2018,Auburn,368,0.1113639192291252,0.12012438646598678,0.2227278384582504,0.24024877293197355,23.6,2019,4,133,-1.2896721074958306,2
Gardner Minshew II,2018,Washington St.,657,0.18518779130831156,0.19629637633012312,0.3703755826166231,0.39259275266024624,,2019,6,178,-0.0479133845616439,8
Joe Burrow,2019,LSU,575,0.4049402197806731,0.40986093810693086,0.8098804395613463,0.8197218762138617,33.1,2020,1,1,0.0169876301729278,10
Tua Tagovailoa,2019,Alabama,397,0.4893625762961073,0.4963415757707444,0.9787251525922146,0.9926831515414888,32.4,2020,1,5,-0.0473925558279531,10
Justin Herbert,2019,Oregon,452,0.17565206738304248,0.18570411485710508,0.35130413476608496,0.37140822971421017,19.0,2020,1,6,0.0573627447931921,15
Jalen Hurts,2019,Oklahoma,389,0.40275084014723417,0.40433102702343676,0.8055016802944683,0.8086620540468735,22.9,2020,2,53,0.1890527294635663,9
Jake Luton,2019,Oregon State,423,0.1516174176624199,0.14621757332103472,0.3032348353248398,0.29243514664206943,-0.7,2020,6,189,-0.0634226464190384,3
Ben DiNucci,2019,James Madison,24,-0.45424160609642666,-0.5471745265523593,-0.9084832121928533,-1.0943490531047186,,2020,7,231,-0.4729410404618955,2
Trevor Lawrence,2020,Clemson,484,0.26268163191016053,0.2741412553111138,0.5253632638203211,0.5482825106222275,26.1,2021,1,1,-0.1398522563381176,17
Zach Wilson,2020,BYU,375,0.36222192001342773,0.36444511687517167,0.7244438400268555,0.7288902337503433,19.2,2021,1,2,-0.2679621700216059,13
Justin Fields,2020,Ohio State,237,0.19085215478506773,0.1893313366627391,0.38170430957013546,0.3786626733254782,28.4,2021,1,11,-0.2433074226759889,12
Mac Jones,2020,Alabama,426,0.4645395794524833,0.48099667184089834,0.9290791589049666,0.9619933436817967,28.3,2021,1,15,-0.011478853988985,18
Kellen Mond,2020,Texas A&M,295,0.23395932892621574,0.24702931404517875,0.4679186578524315,0.4940586280903575,16.2,2021,3,66,-0.5457317529980913,1
Davis Mills,2020,Stanford,212,0.2557992704985839,0.2757513445074547,0.5115985409971678,0.5515026890149094,1.6,2021,3,67,-0.1852126131639208,13
Ian Book,2020,Notre Dame,368,0.16278019438133293,0.17739220702210848,0.32556038876266585,0.35478441404421696,21.0,2021,4,133,-1.16121555476473,1
Kenny Pickett,2021,Pittsburgh,467,0.26542017135043217,0.2689456951037464,0.5308403427008643,0.5378913902074928,17.6,2022,1,20,-0.1545109651395489,13
Desmond Ridder,2021,Cincinnati,397,0.10267648468690195,0.1071243240040556,0.2053529693738039,0.2142486480081112,21.2,2022,3,74,-0.107405704133691,4
Malik Willis,2021,Liberty,383,0.11597192338996083,0.10231518498522184,0.23194384677992166,0.20463036997044368,8.4,2022,3,86,-0.4194787990680296,6
Bailey Zappe,2021,Western Kentucky,605,0.36650327971158936,0.3742461003685786,0.7330065594231787,0.7484922007371572,13.3,2022,4,137,-0.1165663874797361,4
Sam Howell,2021,North Carolina,397,0.10872525988282725,0.09964139347769302,0.2174505197656545,0.19928278695538604,6.4,2022,5,144,-0.4578595961141502,1
Skylar Thompson,2021,Kansas St.,315,0.19051826716297202,0.19251609256709853,0.38103653432594403,0.38503218513419707,,2022,7,247,-0.3596309354903609,8
Brock Purdy,2021,Iowa State,387,0.14617088726584532,0.14797344455909398,0.29234177453169063,0.29594688911818795,14.3,2022,7,262,0.0760626250159369,10
