season,team,conference,overall_rating,offense_rating,defense_rating,special_teams_rating
2005,Texas,SEC,35.3,47.6,12.2,
2005,USC,Big Ten,34.7,51.6,16.9,
2005,Ohio State,Big Ten,31.2,42.1,10.9,
2005,Penn State,Big Ten,29.3,38.2,9.0,
2005,Miami,ACC,26.0,33.0,7.0,
2005,Virginia Tech,ACC,25.5,35.6,10.1,
2005,Texas Tech,Big 12,25.4,40.8,15.4,
2005,Georgia,SEC,22.3,36.1,13.8,
2005,Notre Dame,FBS Independents,21.8,41.3,19.5,
2005,Iowa,Big Ten,20.9,38.5,17.6,
2005,Auburn,SEC,20.7,35.4,14.7,
2005,LSU,SEC,20.3,32.0,11.7,
2005,Louisville,ACC,20.3,41.5,21.2,
2005,Alabama,SEC,19.8,28.1,8.3,
2005,Boston College,ACC,19.2,30.4,11.2,
2005,Oklahoma,SEC,19.0,30.9,11.9,
2005,California,ACC,18.4,35.8,17.5,
2005,Oregon,Big Ten,18.1,35.0,16.9,
2005,Michigan,Big Ten,18.1,33.9,15.8,
2005,Minnesota,Big Ten,15.9,40.7,24.7,
2005,West Virginia,Big 12,15.8,33.3,17.6,
2005,Washington State,Pac-12,13.0,39.6,26.6,
2005,Iowa State,Big 12,13.0,27.7,14.7,
2005,Michigan State,Big Ten,12.9,40.1,27.2,
2005,Clemson,ACC,12.9,31.1,18.2,
2005,Arizona State,Big 12,12.5,42.4,29.9,
2005,Tennessee,SEC,12.3,23.7,11.4,
2005,Purdue,Big Ten,11.8,37.1,25.3,
2005,Colorado,Big 12,11.7,27.8,16.1,
2005,Wisconsin,Big Ten,11.1,35.3,24.2,
2005,Fresno State,Mountain West,10.6,36.4,25.8,
2005,Arkansas,SEC,10.6,29.0,18.4,
2005,TCU,Big 12,10.5,28.3,17.7,
2005,Nebraska,Big Ten,10.3,24.2,13.8,
2005,NC State,ACC,9.4,22.1,12.7,
2005,Maryland,Big Ten,9.0,30.3,21.4,
2005,UCLA,Big Ten,8.7,39.2,30.5,
2005,Kansas,Big 12,8.5,22.5,14.0,
2005,Northwestern,Big Ten,8.0,38.8,30.9,
2005,Toledo,Mid-American,7.6,32.7,25.1,
2005,Texas A&M,SEC,7.3,36.9,29.6,
2005,Utah,Big 12,7.2,33.6,26.4,
2005,Georgia Tech,ACC,6.9,22.7,15.8,
2005,Pittsburgh,ACC,6.8,23.9,17.1,
2005,Florida,SEC,6.7,26.3,19.6,
2005,South Carolina,SEC,6.3,26.3,20.0,
2005,Kansas State,Big 12,6.1,25.9,19.8,
2005,Northern Illinois,Mid-American,5.9,34.4,28.5,
2005,Missouri,SEC,5.7,28.9,23.2,
2005,Virginia,ACC,5.6,29.2,23.6,
2005,Florida State,ACC,5.4,23.7,18.2,
2005,Boise State,Mountain West,4.5,29.5,24.9,
2005,Rutgers,Big Ten,4.0,29.5,25.5,
2005,BYU,Big 12,2.8,35.3,32.5,
2005,UTEP,Conference USA,2.4,31.1,28.7,
2005,South Florida,American Athletic,2.3,22.4,20.1,
2005,UAB,American Athletic,2.3,33.3,31.0,
2005,Washington,Big Ten,1.9,29.3,27.5,
2005,Oregon State,Pac-12,1.5,26.6,25.2,
2005,Tulsa,American Athletic,1.5,27.8,26.4,
2005,Arizona,Big 12,1.5,26.9,25.4,
2005,UConn,FBS Independents,1.4,18.8,17.4,
2005,Baylor,Big 12,1.2,20.2,19.0,
2005,Oklahoma State,Big 12,1.1,25.4,24.3,
2005,Southern Miss,Sun Belt,1.1,27.9,26.8,
2005,Stanford,ACC,0.6,26.4,25.7,
2005,Miami (OH),Mid-American,0.3,27.6,27.3,
2005,New Mexico,Mountain West,0.2,28.0,27.8,
2005,Bowling Green,Mid-American,-0.9,28.8,29.8,
2005,Houston,Big 12,-1.0,28.6,29.6,
2005,Navy,American Athletic,-2.1,32.4,34.5,
2005,San Diego State,Mountain West,-2.4,26.7,29.1,
2005,Hawai'i,Mountain West,-2.9,34.2,37.1,
2005,Colorado State,Mountain West,-2.9,31.4,34.3,
2005,Air Force,Mountain West,-3.4,32.1,35.5,
2005,Memphis,American Athletic,-3.4,27.5,31.0,
2005,North Carolina,ACC,-3.5,19.9,23.4,
2005,Vanderbilt,SEC,-3.8,28.6,32.4,
2005,Wake Forest,ACC,-3.9,23.3,27.1,
2005,Wyoming,Mountain West,-4.0,23.3,27.3,
2005,Ole Miss,SEC,-4.2,15.7,20.0,
2005,East Carolina,American Athletic,-4.6,27.3,31.9,
2005,Indiana,Big Ten,-4.7,26.2,30.9,
2005,Akron,Mid-American,-5.8,19.9,25.7,
2005,Louisiana Tech,Conference USA,-6.0,23.4,29.4,
2005,Nevada,Mountain West,-6.5,28.4,34.9,
2005,Mississippi State,SEC,-7.0,16.7,23.7,
2005,Central Michigan,Mid-American,-8.1,22.1,30.1,
2005,Illinois,Big Ten,-8.8,25.6,34.3,
2005,Marshall,Sun Belt,-9.4,18.6,27.9,
2005,Cincinnati,Big 12,-9.9,18.4,28.2,
2005,Syracuse,ACC,-10.7,12.6,23.4,
2005,UCF,Big 12,-11.7,25.8,37.5,
2005,Kentucky,SEC,-12.5,21.4,33.9,
2005,SMU,ACC,-13.0,16.0,29.0,
2005,Western Michigan,Mid-American,-13.9,22.9,36.9,
2005,San José State,Mountain West,-14.7,18.6,33.3,
2005,Middle Tennessee,Conference USA,-15.3,14.6,29.9,
2005,UNLV,Mountain West,-15.3,19.8,35.1,
2005,Arkansas State,Sun Belt,-15.6,18.5,34.1,
2005,Army,American Athletic,-16.3,14.7,31.0,
2005,Tulane,American Athletic,-17.1,14.8,31.9,
2005,Troy,Sun Belt,-17.2,8.7,26.0,
2005,Louisiana,Sun Belt,-17.7,20.8,38.5,
2005,Eastern Michigan,Mid-American,-18.5,19.0,37.5,
2005,Ball State,Mid-American,-18.5,16.3,34.8,
2005,Kent State,Mid-American,-19.0,11.4,30.3,
