season,team,conference,overall_rating,offense_rating,defense_rating,special_teams_rating
2021,Georgia,SEC,32.0,41.4,10.3,
2021,Ohio State,Big Ten,29.3,47.2,20.6,
2021,Alabama,SEC,26.0,40.9,15.6,
2021,Michigan,Big Ten,23.4,36.5,15.8,
2021,Cincinnati,Big 12,21.2,37.5,15.9,
2021,Texas A&M,SEC,21.1,33.6,14.9,
2021,Wisconsin,Big Ten,20.1,29.8,10.8,
2021,Clemson,ACC,18.7,28.3,11.6,
2021,Pittsburgh,ACC,17.6,38.2,21.4,
2021,Tennessee,SEC,17.5,39.4,23.8,
2021,Notre Dame,FBS Independents,17.4,36.2,18.9,
2021,Oklahoma State,Big 12,17.2,30.6,14.3,
2021,Oklahoma,SEC,16.8,41.1,25.6,
2021,NC State,ACC,16.1,33.1,17.7,
2021,Baylor,Big 12,15.6,33.1,17.1,
2021,Utah,Big 12,15.2,37.2,20.7,
2021,Ole Miss,SEC,14.8,36.8,22.4,
2021,Minnesota,Big Ten,14.4,29.3,15.4,
2021,Iowa State,Big 12,14.3,33.8,20.2,
2021,Penn State,Big Ten,14.3,28.0,14.6,
2021,Kansas State,Big 12,14.2,33.5,19.0,
2021,Arkansas,SEC,13.8,34.3,21.3,
2021,Kentucky,SEC,13.4,35.1,22.3,
2021,Western Kentucky,Conference USA,13.3,40.5,28.8,
2021,Coastal Carolina,Sun Belt,13.2,39.5,26.1,
2021,Arizona State,Big 12,11.8,33.5,20.9,
2021,Iowa,Big Ten,11.4,23.6,14.4,
2021,Michigan State,Big Ten,11.2,34.3,21.7,
2021,Florida,SEC,11.0,35.0,23.2,
2021,Auburn,SEC,11.0,30.2,19.8,
2021,Houston,Big 12,10.9,31.5,20.0,
2021,Miami,ACC,10.8,34.8,25.0,
2021,Fresno State,Mountain West,10.8,34.7,24.2,
2021,Mississippi State,SEC,10.5,34.6,22.0,
2021,App State,Sun Belt,10.3,32.0,23.5,
2021,Nebraska,Big Ten,10.3,34.1,21.3,
2021,Purdue,Big Ten,10.3,32.6,21.1,
2021,Oregon,Big Ten,10.2,35.0,26.0,
2021,Wake Forest,ACC,10.1,38.0,29.2,
2021,Texas Tech,Big 12,9.8,34.6,27.1,
2021,UCLA,Big Ten,9.4,37.7,27.8,
2021,Boise State,Mountain West,9.4,28.4,20.8,
2021,UAB,American Athletic,9.1,32.1,21.7,
2021,Oregon State,Pac-12,8.9,36.9,28.5,
2021,SMU,ACC,8.9,36.7,27.1,
2021,BYU,Big 12,8.9,37.2,27.9,
2021,Louisiana,Sun Belt,8.7,30.3,21.2,
2021,Texas,SEC,8.5,34.6,28.4,
2021,Liberty,Conference USA,8.4,32.1,23.1,
2021,San Diego State,Mountain West,8.3,23.7,17.1,
2021,Marshall,Sun Belt,8.0,32.8,23.5,
2021,Louisville,ACC,7.8,34.9,26.6,
2021,Florida State,ACC,7.6,29.8,23.0,
2021,Air Force,Mountain West,7.4,30.0,22.0,
2021,Virginia,ACC,7.2,39.3,31.5,
2021,Toledo,Mid-American,6.9,29.0,20.7,
2021,Washington State,Pac-12,6.7,32.0,26.0,
2021,UTSA,American Athletic,6.5,33.0,27.8,
2021,North Carolina,ACC,6.4,37.8,31.7,
2021,Maryland,Big Ten,6.2,34.8,27.4,
2021,Tulsa,American Athletic,5.8,28.7,24.0,
2021,UCF,Big 12,4.8,29.6,23.4,
2021,Army,American Athletic,4.7,28.8,23.5,
2021,Illinois,Big Ten,4.3,23.2,21.8,
2021,LSU,SEC,4.1,28.0,25.6,
2021,South Carolina,SEC,3.9,26.0,24.2,
2021,Nevada,Mountain West,3.6,30.3,26.9,
2021,California,ACC,3.4,27.5,25.0,
2021,Missouri,SEC,3.1,31.1,29.9,
2021,Virginia Tech,ACC,2.4,26.7,25.2,
2021,Georgia State,Sun Belt,1.8,27.5,26.7,
2021,West Virginia,Big 12,1.8,27.7,25.0,
2021,Miami (OH),Mid-American,1.5,29.3,26.8,
2021,Memphis,American Athletic,1.0,29.6,27.9,
2021,Boston College,ACC,0.9,27.0,26.5,
2021,Wyoming,Mountain West,0.6,26.0,23.5,
2021,Western Michigan,Mid-American,0.6,33.1,29.0,
2021,East Carolina,American Athletic,0.5,27.4,28.3,
2021,Syracuse,ACC,0.3,27.1,25.2,
2021,Utah State,Mountain West,0.1,28.4,27.9,
2021,USC,Big Ten,-0.6,32.3,33.4,
2021,TCU,Big 12,-0.6,33.2,33.9,
2021,Washington,Big Ten,-0.7,22.8,23.6,
2021,Central Michigan,Mid-American,-1.0,28.5,29.3,
2021,San José State,Mountain West,-1.9,22.6,25.2,
2021,Hawai'i,Mountain West,-2.3,27.1,30.1,
2021,Colorado State,Mountain West,-2.4,23.3,25.9,
2021,Rutgers,Big Ten,-3.0,20.8,23.7,
2021,Tulane,American Athletic,-3.9,27.9,30.4,
