game_id,season,week,posteam,targets,receptions,receiver_corps_epa,receiver_corps_catch_rate,receiver_corps_yards_per_target,receiver_corps_success_rate,receiver_corps_air_epa,receiver_corps_yac_epa
2023_01_ARI_WAS,2023,1,ARI,30.0,21.0,-0.015600528035845076,0.6714285782405308,5.221428547586713,0.3690476247242519,0.38359206914901733,-0.39919258866991314
2023_01_ARI_WAS,2023,1,WAS,29.0,19.0,0.21231962447719915,0.6734693901879447,7.377040863037109,0.5494898004191262,0.1468362691146987,0.06548335935388293
2023_01_BUF_NYJ,2023,1,BUF,39.0,29.0,0.17888173274695873,0.7419871836900711,5.772435873746872,0.6073717977851629,0.28617298416793346,-0.1072912123054266
2023_01_BUF_NYJ,2023,1,NYJ,18.0,14.0,-0.3927368777138846,0.7142857142857143,6.4238095964704245,0.3238095300538199,-0.2654675160135542,-0.12726939682449614
2023_01_CAR_ATL,2023,1,ATL,18.0,15.0,-0.199025214339296,0.7361111144224802,4.541666746139526,0.3333333383003871,-0.3237260952591896,0.12470084941014647
2023_01_CAR_ATL,2023,1,CAR,31.0,20.0,-0.04583325004205108,0.7642857208848,4.740476220846176,0.32559524290263653,-0.19389378651976585,0.14806048944592476
2023_01_CIN_CLE,2023,1,CIN,31.0,14.0,-0.593340610464414,0.5703703860441843,2.244444489479065,0.1592592646678289,-0.3105271557966868,-0.2828134323159854
2023_01_CIN_CLE,2023,1,CLE,29.0,16.0,-0.017738414307435352,0.5582010613547431,5.019841247134739,0.4312169353167216,0.5677120288213094,-0.5854504677570529
2023_01_DAL_NYG,2023,1,DAL,25.0,13.0,-0.15784022957086563,0.4523809589445591,4.873511910438538,0.31994047947227955,0.8014443870633841,-0.9592845998704433
2023_01_DAL_NYG,2023,1,NYG,29.0,17.0,-0.5535847219553861,0.5939393991773779,2.8363636190241035,0.19090909307653253,0.19223511760885065,-0.7458198482848026
2023_01_DET_KC,2023,1,DET,32.0,22.0,0.4521155245602131,0.7959183752536774,9.421542014394488,0.6467120264257703,0.04273612105420658,0.4093794141496931
2023_01_DET_KC,2023,1,KC,37.0,21.0,0.04023530955115954,0.6305555614332358,6.683333333581686,0.5597222248713175,0.47849582275375724,-0.4382605307425062
2023_01_GB_CHI,2023,1,CHI,37.0,24.0,-0.19780819283591378,0.5640211767620511,4.917460309134589,0.3698412775993347,-0.29122703274091083,0.15720254762305153
2023_01_GB_CHI,2023,1,GB,27.0,15.0,0.49663512222468853,0.4729166738688946,7.558333337306976,0.3437500074505806,0.7979179322719574,-0.3012828417122364
2023_01_HOU_BAL,2023,1,BAL,21.0,17.0,0.2903241415818532,0.7055555582046509,6.800000031789144,0.5833333432674408,0.030530548344055813,0.25979357833663624
2023_01_HOU_BAL,2023,1,HOU,43.0,28.0,0.012078502029180527,0.7562121272087097,5.497272729873657,0.4363636374473572,-0.22626455798745154,0.23834309000521897
