game_id,season,week,receiver_player_id,receiver_player_name,posteam,defteam,targets,receptions,touchdowns,catch_rate,epa_per_target,total_epa,success_rate,air_epa_per_target,total_air_epa,yac_epa_per_target,total_yac_epa,yards,yards_per_reception,air_yards,yac,racr,yards_per_target,first_downs,interceptions,team_targets,target_share
2023_01_ARI_WAS,2023,1,00-0030061,Z.Ertz,ARI,WAS,10.0,6.0,0.0,0.6000000238418579,-0.33606022596359253,-3.360602378845215,0.20000000298023224,0.26718929409980774,2.6718928813934326,-0.6032496094703674,-6.032495975494385,21.0,3.5,2.5,1.0,0.4000000059604645,2.0999999046325684,1.0,0.0,30.0,0.3333333333333333
2023_01_ARI_WAS,2023,1,00-0031260,L.Thomas,WAS,ARI,8.0,4.0,0.0,0.5,-0.11959165334701538,-0.956733226776123,0.375,-0.12297885864973068,-0.9838308691978455,0.0033872276544570923,0.02709782123565674,43.0,10.75,7.75,3.0,0.3870967626571655,5.375,1.0,0.0,29.0,0.27586206896551724
2023_01_ARI_WAS,2023,1,00-0033251,Z.Pascal,ARI,WAS,1.0,0.0,0.0,0.0,-0.5793663859367371,-0.5793663859367371,0.0,0.7037978768348694,0.7037978768348694,-1.2831642627716064,-1.2831642627716064,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,30.0,0.03333333333333333
2023_01_ARI_WAS,2023,1,00-0033282,C.Samuel,WAS,ARI,5.0,5.0,0.0,1.0,-0.00840303860604763,-0.0420151948928833,0.4000000059604645,-0.36489877104759216,-1.8244938850402832,0.35649576783180237,1.7824788093566895,54.0,10.800000190734863,5.400000095367432,5.400000095367432,1.0,10.800000190734863,2.0,0.0,29.0,0.1724137931034483
2023_01_ARI_WAS,2023,1,00-0033553,J.Conner,ARI,WAS,5.0,5.0,0.0,1.0,-0.4936841130256653,-2.4684205055236816,0.20000000298023224,-1.0571926832199097,-5.285963535308838,0.5635086297988892,2.8175430297851562,8.0,1.600000023841858,-3.200000047683716,4.800000190734863,,1.600000023841858,1.0,0.0,30.0,0.16666666666666666
2023_01_ARI_WAS,2023,1,00-0035659,T.McLaurin,WAS,ARI,4.0,2.0,0.0,0.5,0.356976181268692,1.427904725074768,0.5,0.7175071239471436,2.870028495788574,-0.3605309724807739,-1.4421238899230957,31.0,15.5,10.0,5.5,0.550000011920929,7.75,2.0,0.0,29.0,0.13793103448275862
2023_01_ARI_WAS,2023,1,00-0035662,M.Brown,ARI,WAS,5.0,3.0,0.0,0.6000000238418579,0.5131932497024536,2.5659661293029785,0.6000000238418579,1.3528398275375366,6.764199256896973,-0.8396465182304382,-4.198232650756836,28.0,9.333333015441895,9.333333015441895,0.0,0.0,5.599999904632568,3.0,0.0,30.0,0.16666666666666666
2023_01_ARI_WAS,2023,1,00-0036328,A.Gibson,WAS,ARI,1.0,1.0,0.0,1.0,0.38347411155700684,0.38347411155700684,1.0,-1.0709292888641357,-1.0709292888641357,1.4544034004211426,1.4544034004211426,10.0,10.0,-4.0,14.0,,10.0,0.0,0.0,29.0,0.034482758620689655
2023_01_ARI_WAS,2023,1,00-0036936,R.Moore,ARI,WAS,3.0,3.0,0.0,1.0,0.5058167576789856,1.517450213432312,0.3333333432674408,-0.0791502594947815,-0.23745077848434448,0.5849670171737671,1.7549010515213013,33.0,11.0,2.6666667461395264,8.333333015441895,3.125,11.0,1.0,0.0,30.0,0.1
2023_01_ARI_WAS,2023,1,00-0037078,C.Turner,WAS,ARI,2.0,1.0,0.0,0.5,0.6135066747665405,1.227013349533081,0.5,1.0159242153167725,2.031848430633545,-0.40241754055023193,-0.8048350811004639,17.0,17.0,16.0,1.0,0.0625,8.5,1.0,0.0,29.0,0.06896551724137931
2023_01_ARI_WAS,2023,1,00-0037741,J.Dotson,WAS,ARI,7.0,5.0,0.0,0.7142857313156128,-0.23008421063423157,-1.6105895042419434,0.5714285969734192,0.5973359942436218,4.181352138519287,-0.8274202346801758,-5.7919416427612305,40.0,8.0,7.400000095367432,0.6000000238418579,0.0810810774564743,5.714285850524902,3.0,1.0,29.0,0.2413793103448276
