epa_weight,cpoe_weight,success_weight,situational_weight,correlation,rmse,mae,n_qbs
0.35,0.2833333333333333,0.16666666666666669,0.19999999999999996,0.8633938522890159,0.09621427596193534,0.07681482055147093,72
0.35,0.2833333333333333,0.2,0.16666666666666674,0.868221890530348,0.09408610402334269,0.07505650418566658,72
0.35,0.35,0.13333333333333333,0.16666666666666674,0.8393388650401323,0.09807329158909846,0.07874966393742806,72
0.35,0.35,0.16666666666666669,0.1333333333333333,0.8458390380150975,0.09607643516686004,0.07699134757162368,72
0.35,0.35,0.2,0.10000000000000009,0.85156323302495,0.09425481816311361,0.07552164936398231,72
0.45,0.15,0.2,0.19999999999999996,0.9031690286559005,0.09137348991791472,0.06957663104864924,72
0.45,0.21666666666666667,0.13333333333333333,0.19999999999999996,0.8859011410146344,0.09403657096137194,0.07323106321149145,72
0.45,0.21666666666666667,0.16666666666666669,0.16666666666666652,0.8891646461811293,0.09187221052213179,0.07152589678435672,72
0.45,0.21666666666666667,0.2,0.1333333333333333,0.8919434088304868,0.08988385803697398,0.07005983892343139,72
0.45,0.2833333333333333,0.1,0.16666666666666663,0.8661415646675986,0.09519291575225924,0.07516538856626206,72
0.45,0.2833333333333333,0.13333333333333333,0.1333333333333333,0.8709135878242354,0.09314837839332582,0.07347516252006424,72
0.45,0.2833333333333333,0.16666666666666669,0.09999999999999987,0.8750592958400052,0.09128268218306203,0.07200910465913889,72
0.45,0.2833333333333333,0.2,0.06666666666666665,0.8786731271791758,0.08960699870601534,0.07082923271533965,72
0.45,0.35,0.1,0.09999999999999998,0.8498427302971554,0.09517072371811182,0.07576993728099428,72
0.45,0.35,0.13333333333333333,0.06666666666666665,0.8553908412367697,0.09343809245750147,0.07471238225897471,72
0.45,0.35,0.16666666666666669,0.033333333333333215,0.8602964160760447,0.09189595242720017,0.0736682137776481,72
0.45,0.35,0.2,0.0,0.8646458587294151,0.09055403637743652,0.0726442991027806,72
0.55,0.15,0.1,0.19999999999999996,0.8987605273797963,0.09287263544689336,0.06991807660512588,72
0.55,0.15,0.13333333333333333,0.16666666666666663,0.9011801872300765,0.09069493436537278,0.06844714918103874,72
0.55,0.15,0.16666666666666669,0.1333333333333333,0.9032003546102343,0.08869495084594847,0.06701026055072229,72
0.55,0.15,0.2,0.09999999999999987,0.9048907807553178,0.08688495826625788,0.06557337192040584,72
0.55,0.21666666666666667,0.1,0.1333333333333333,0.8885923706460591,0.09121030291378975,0.07019153746624361,72
0.55,0.21666666666666667,0.13333333333333333,0.09999999999999998,0.8916100898589425,0.08931878494186393,0.06872547960531825,72
0.55,0.21666666666666667,0.16666666666666669,0.06666666666666665,0.8942002331296343,0.0876204873913334,0.0672594217443929,72
0.55,0.21666666666666667,0.2,0.033333333333333215,0.8964297383170533,0.08612684110796652,0.066136816066697,72
0.55,0.2833333333333333,0.1,0.06666666666666665,0.8760279200487824,0.09073932612740918,0.0710775206323516,72
0.55,0.2833333333333333,0.13333333333333333,0.033333333333333326,0.8797144383272678,0.08916519821712907,0.07001996561033207,72
0.55,0.2833333333333333,0.16666666666666669,0.0,0.8829448919285771,0.08779645961815163,0.06897242060709616,72
0.55,0.35,0.1,0.0,0.8624718987935606,0.0914781080922899,0.07299486522459586,72
0.65,0.15,0.1,0.09999999999999998,0.9001429111099692,0.08843032612080932,0.06589328114529129,72
0.65,0.15,0.13333333333333333,0.06666666666666665,0.9022708462240135,0.08672972594027102,0.06445639251497486,72
0.65,0.15,0.16666666666666669,0.033333333333333215,0.9040786680358793,0.08523582947830431,0.0630195038846584,72
0.65,0.15,0.2,0.0,0.9056170279572531,0.08395967111281964,0.06198333370367474,72
0.65,0.21666666666666667,0.1,0.033333333333333326,0.8926853859894037,0.08748004933173234,0.06655521909173234,72
0.65,0.21666666666666667,0.13333333333333333,0.0,0.8951840855759217,0.08609972761920963,0.06552683330032168,72
