metric,projection,lower_ci,upper_ci,std,uncertainty,sample_size,passer_player_id,player_name,age,total_attempts,rank
epa_per_play,0.252784557061341,0.2420061921658952,0.2635629219567868,0.005499266813300748,low,544.0,00-0034796,L.Jackson,27.0,544.0,1
epa_per_play,0.21174802184190356,0.20139892185854996,0.22209712182525715,0.005280250078565722,low,607.0,00-0033106,J.Goff,29.0,607.0,2
epa_per_play,0.1931873863985673,0.18270094638030987,0.20367382641682474,0.005350322812548163,low,586.0,00-0034857,J.Allen,28.0,586.0,3
epa_per_play,0.16743609063890064,0.15723753104017152,0.17763465023762975,0.005203442348519702,low,631.0,00-0034855,B.Mayfield,29.0,631.0,4
epa_per_play,0.1427845732485116,0.13098697643369972,0.15458217006332348,0.00601929265428846,low,421.0,00-0036212,T.Tagovailoa,26.0,421.0,5
epa_per_play,0.12673827314570604,0.11694389303465041,0.13653265325676167,0.0049972245348957715,low,701.0,00-0036442,J.Burrow,27.0,701.0,6
epa_per_play,0.11569331694834886,0.10443568197214254,0.1269509519245552,0.005743796858006127,low,482.0,00-0037834,B.Purdy,24.0,482.0,7
epa_per_play,0.10689354586916298,0.09580532961133345,0.11798176212699252,0.0056573571480353566,low,503.0,00-0036389,J.Hurts,26.0,503.0,8
epa_per_play,0.10396832752083864,0.09387251158700582,0.11406414345467145,0.0051510211480758385,low,648.0,00-0039910,J.Daniels,23.0,648.0,9
epa_per_play,0.09369798358984414,0.08041666146903212,0.10697930571065617,0.006776309271789384,low,290.0,00-0031280,D.Carr,33.0,290.0,10
epa_per_play,0.0841061596957984,0.07280702942602976,0.09540528996556705,0.005764968315180659,low,477.0,00-0036264,J.Love,25.0,477.0,11
epa_per_play,0.08381790785831703,0.07322307798307987,0.09441273773355419,0.005405624776173353,low,570.0,00-0035228,K.Murray,27.0,570.0,12
epa_per_play,0.07872038641929861,0.06899590944779084,0.08844486339080639,0.004961559012417169,low,714.0,00-0033873,P.Mahomes,28.0,714.0,13
epa_per_play,0.0639555809569712,0.05343562714276499,0.07447553477117741,0.005367422002233849,low,581.0,00-0036355,J.Herbert,26.0,581.0,14
epa_per_play,0.05886048492513428,0.048618697813747266,0.06910227203652129,0.005225497607187132,low,624.0,00-0026498,M.Stafford,36.0,624.0,15
epa_per_play,0.0500893355257343,0.03979115393238529,0.060387517119083314,0.005254270830780441,low,615.0,00-0039732,B.Nix,24.0,615.0,16
epa_per_play,0.04529256963661805,0.028567801318543758,0.06201733795469234,0.008533201859828613,medium,109.0,00-0039917,M.Penix,24.0,109.0,17
epa_per_play,0.026779398335464753,0.016568543904545152,0.03699025276638435,0.005209715337353909,low,629.0,00-0030565,G.Smith,33.0,629.0,18
epa_per_play,0.023317549897351807,0.01202675539431701,0.034608344400386605,0.005760715294819264,low,478.0,00-0029604,K.Cousins,36.0,478.0,19
epa_per_play,0.01638692778365712,0.0012654773526781186,0.031508378214636125,0.007715167498104595,medium,178.0,00-0036945,J.Fields,25.0,178.0,20
