metric,projection,lower_ci,upper_ci,std,uncertainty,sample_size,passer_player_id,player_name,age,total_attempts
epa_per_play,0.01135521596234269,0.0011320221257957955,0.021578409798889586,0.005216011068155407,low,627.0,00-0023459,A.Rodgers,40.0,627.0
cpoe,-1.995483913975239,-2.199947790706177,-1.791020037244301,0.10432022136310815,low,627.0,00-0023459,A.Rodgers,40.0,627.0
success_rate,0.45055188678152136,0.4437364242238234,0.4573673493392193,0.003477340712103605,low,627.0,00-0023459,A.Rodgers,40.0,627.0
epa_per_play,0.00043251484125187366,-0.013171932682691529,0.014036962365195277,0.0069411722007412125,low,267.0,00-0026158,J.Flacco,39.0,267.0
cpoe,0.44913166266694093,0.17704271218807288,0.721220613145809,0.13882344401482424,low,267.0,00-0026158,J.Flacco,39.0,267.0
success_rate,0.4797954390625996,0.47072580737997066,0.4888650707452285,0.004627448133827476,low,267.0,00-0026158,J.Flacco,39.0,267.0
epa_per_play,0.05886048492513428,0.048618697813747266,0.06910227203652129,0.005225497607187132,low,624.0,00-0026498,M.Stafford,36.0,624.0
cpoe,-0.8617228507989662,-1.0665585930267063,-0.656887108571226,0.10450995214374265,low,624.0,00-0026498,M.Stafford,36.0,624.0
success_rate,0.48354894891847644,0.47672109084421843,0.49037680699273445,0.0034836650714580885,low,624.0,00-0026498,M.Stafford,36.0,624.0
epa_per_play,-0.057027608376490575,-0.07235313619434078,-0.041702080558640366,0.007819290527140303,medium,168.0,00-0027973,A.Dalton,36.0,168.0
cpoe,-0.45216314871105767,-0.7586737050680619,-0.14565259235405348,0.15638581054280606,medium,168.0,00-0027973,A.Dalton,36.0,168.0
success_rate,0.45889954015906786,0.4486825216138344,0.46911655870430136,0.005212860351426869,medium,168.0,00-0027973,A.Dalton,36.0,168.0
epa_per_play,0.0033411672612944864,-0.00865112251530308,0.015333457037892054,0.006118627623360031,low,401.0,00-0029263,R.Wilson,35.0,401.0
cpoe,3.571812917128308,3.3319671215963567,3.8116587126602592,0.12237255246720063,low,401.0,00-0029263,R.Wilson,35.0,401.0
success_rate,0.44195778990076073,0.43396293004969566,0.4499526497518258,0.004079085082240021,low,401.0,00-0029263,R.Wilson,35.0,401.0
epa_per_play,0.023317549897351807,0.01202675539431701,0.034608344400386605,0.005760715294819264,low,478.0,00-0029604,K.Cousins,36.0,478.0
cpoe,0.47032796492935697,0.244512074868661,0.6961438549900529,0.11521430589638529,low,478.0,00-0029604,K.Cousins,36.0,478.0
success_rate,0.48693141525432326,0.47940421891896673,0.4944586115896798,0.003840476863212843,low,478.0,00-0029604,K.Cousins,36.0,478.0
epa_per_play,0.026779398335464753,0.016568543904545152,0.03699025276638435,0.005209715337353909,low,629.0,00-0030565,G.Smith,33.0,629.0
cpoe,4.650700842425557,4.446483753807166,4.854917931043949,0.10419430674707818,low,629.0,00-0030565,G.Smith,33.0,629.0
success_rate,0.4717863607925234,0.46497912450524365,0.47859359707980315,0.00347314355823594,low,629.0,00-0030565,G.Smith,33.0,629.0
epa_per_play,0.09369798358984414,0.08041666146903212,0.10697930571065617,0.006776309271789384,low,290.0,00-0031280,D.Carr,33.0,290.0
cpoe,1.6844456523704014,1.4188192099541608,1.9500720947866421,0.1355261854357877,low,290.0,00-0031280,D.Carr,33.0,290.0
success_rate,0.4635947941545053,0.45474057940729723,0.4724490089017133,0.004517539514526257,low,290.0,00-0031280,D.Carr,33.0,290.0
epa_per_play,-0.05486534151356294,-0.06768411513505143,-0.04204656789207445,0.00654031080295421,low,326.0,00-0031503,J.Winston,30.0,326.0
cpoe,-1.0951562535966712,-1.3515317260264412,-0.8387807811669014,0.1308062160590842,low,326.0,00-0031503,J.Winston,30.0,326.0
success_rate,0.4477091222772592,0.43916327319626686,0.4562549713582515,0.004360207201969474,low,326.0,00-0031503,J.Winston,30.0,326.0
epa_per_play,-0.019461353097016524,-0.032518111567126196,-0.006404594626906851,0.006661733875264912,low,307.0,00-0033077,D.Prescott,31.0,307.0
cpoe,-0.4307219537890113,-0.6918571231912047,-0.16958678438681785,0.13323467750529824,low,307.0,00-0033077,D.Prescott,31.0,307.0
success_rate,0.44754218719488487,0.43883768154814506,0.45624669284162467,0.004441155916843275,low,307.0,00-0033077,D.Prescott,31.0,307.0
epa_per_play,0.21174802184190356,0.20139892185854996,0.22209712182525715,0.005280250078565722,low,607.0,00-0033106,J.Goff,29.0,607.0
cpoe,3.7474503229072624,3.5404683232401903,3.9544323225743345,0.10560500157131443,low,607.0,00-0033106,J.Goff,29.0,607.0
success_rate,0.5358949656329218,0.5289955656440194,0.5427943656218243,0.003520166719043815,low,607.0,00-0033106,J.Goff,29.0,607.0
epa_per_play,-0.09839989096508897,-0.11350137907656493,-0.08329840285361301,0.007704982454062712,medium,179.0,00-0033119,J.Brissett,31.0,179.0
cpoe,-1.395348360686243,-1.697378122915762,-1.0933185984567237,0.15409964908125423,medium,179.0,00-0033119,J.Brissett,31.0,179.0
success_rate,0.4473862437187667,0.4373185849777827,0.45745390245975065,0.005136654969375142,medium,179.0,00-0033119,J.Brissett,31.0,179.0
epa_per_play,-0.13390403879923712,-0.1477630770427339,-0.12004500055574034,0.007071067811865475,low,250.0,00-0033537,D.Watson,28.0,250.0
cpoe,-1.2833005875120929,-1.5604813523820285,-1.0061198226421573,0.1414213562373095,low,250.0,00-0033537,D.Watson,28.0,250.0
