metric,projection,lower_ci,upper_ci,std,uncertainty,sample_size,passer_player_id,player_name,age,total_attempts,rank
success_rate,0.5358949656329218,0.5289955656440194,0.5427943656218243,0.003520166719043815,low,607.0,00-0033106,J.Goff,29.0,607.0,1
success_rate,0.5226205273989982,0.5147554628557903,0.5304855919422061,0.004012861769525641,low,421.0,00-0036212,T.Tagovailoa,26.0,421.0,2
success_rate,0.5168189233058955,0.5100198835734094,0.5236179630383816,0.0034689615656798016,low,631.0,00-0034855,B.Mayfield,29.0,631.0,3
success_rate,0.5110977048747499,0.5045681181340461,0.5176272916154537,0.003331483023263848,low,701.0,00-0036442,J.Burrow,27.0,701.0,4
success_rate,0.5085974110651161,0.5014118344681523,0.51578298766208,0.0036661778755338326,low,544.0,00-0034796,L.Jackson,27.0,544.0,5
success_rate,0.5004358753407017,0.49337265542387687,0.5074990952575265,0.003603749850782236,low,570.0,00-0035228,K.Murray,27.0,570.0,6
success_rate,0.49908650716311787,0.4915814171789803,0.5065915971472554,0.003829197905337418,low,482.0,00-0037834,B.Purdy,24.0,482.0,7
success_rate,0.49488138089542466,0.4837315353500418,0.5060312264408076,0.0056888012398857435,medium,109.0,00-0039917,M.Penix,24.0,109.0,8
success_rate,0.4891094072588378,0.48211844724666614,0.4961003672710094,0.003566881875032109,low,586.0,00-0034857,J.Allen,28.0,586.0,9
success_rate,0.48879366129390317,0.47941788206380764,0.4981694405239987,0.004783648732349399,low,237.0,00-0034771,M.Rudolph,29.0,237.0,10
success_rate,0.48693141525432326,0.47940421891896673,0.4944586115896798,0.003840476863212843,low,478.0,00-0029604,K.Cousins,36.0,478.0,11
success_rate,0.4858154210084049,0.4793324363607331,0.49229840565607674,0.0033077060082781127,low,714.0,00-0033873,P.Mahomes,28.0,714.0,12
success_rate,0.48409187824808125,0.47669973407619487,0.49148402241996764,0.0037715714320235715,low,503.0,00-0036389,J.Hurts,26.0,503.0,13
success_rate,0.48354894891847644,0.47672109084421843,0.49037680699273445,0.0034836650714580885,low,624.0,00-0026498,M.Stafford,36.0,624.0,14
success_rate,0.48006701984534367,0.47331654530405753,0.4868174943866298,0.0034441829515914537,low,643.0,00-0034869,S.Darnold,27.0,643.0,15
success_rate,0.47981701715825026,0.47228426364507115,0.48734977067142937,0.00384331221012044,low,477.0,00-0036264,J.Love,25.0,477.0,16
success_rate,0.4797954390625996,0.47072580737997066,0.4888650707452285,0.004627448133827476,low,267.0,00-0026158,J.Flacco,39.0,267.0,17
success_rate,0.47375732569475365,0.46557659408330815,0.48193805730619915,0.004173919355648412,low,374.0,00-0039851,D.Maye,22.0,374.0,18
success_rate,0.4717863607925234,0.46497912450524365,0.47859359707980315,0.00347314355823594,low,629.0,00-0030565,G.Smith,33.0,629.0,19
success_rate,0.46823292872507843,0.4615023847691899,0.47496347268096695,0.0034340140987172262,low,648.0,00-0039910,J.Daniels,23.0,648.0,20
success_rate,0.4669162530682548,0.4584267066647742,0.4754057994717354,0.0043314808182421,low,333.0,00-0035289,G.Minshew,28.0,333.0,21
success_rate,0.4666671782932223,0.45746861153465795,0.47586574505178664,0.004693232544639321,low,254.0,00-0038579,A.O'Connell,25.0,254.0,22
success_rate,0.4635947941545053,0.45474057940729723,0.4724490089017133,0.004517539514526257,low,290.0,00-0031280,D.Carr,33.0,290.0,23
success_rate,0.4607680359169674,0.4508813254537463,0.4706547463801885,0.005044332723053184,medium,193.0,00-0035704,D.Lock,27.0,193.0,24
success_rate,0.45963314277733747,0.45261984023453333,0.4666464453201416,0.0035782813348225664,low,581.0,00-0036355,J.Herbert,26.0,581.0,25
success_rate,0.45889954015906786,0.4486825216138344,0.46911655870430136,0.005212860351426869,medium,168.0,00-0027973,A.Dalton,36.0,168.0,26
success_rate,0.45733785098774915,0.44861612572843873,0.46605957624705957,0.004449941594899848,low,305.0,00-0036971,T.Lawrence,24.0,305.0,27
success_rate,0.45664651139487483,0.4465655444408888,0.46672747834886086,0.005143444998736397,medium,178.0,00-0036945,J.Fields,25.0,178.0,28
success_rate,0.4533506445869295,0.44285919791285167,0.4638420912610073,0.005352877275721893,medium,149.0,00-0035993,T.Huntley,26.0,149.0,29
success_rate,0.45153428232347476,0.44257897829956644,0.4604895863473831,0.004569116623849539,low,279.0,00-0036972,M.Jones,25.0,279.0,30
success_rate,0.45100639884127214,0.44280420484503485,0.4592085928375094,0.004184869753186873,low,371.0,00-0035710,D.Jones,27.0,371.0,31
success_rate,0.45055188678152136,0.4437364242238234,0.4573673493392193,0.003477340712103605,low,627.0,00-0023459,A.Rodgers,40.0,627.0,32
success_rate,0.4477091222772592,0.43916327319626686,0.4562549713582515,0.004360207201969474,low,326.0,00-0031503,J.Winston,30.0,326.0,33
success_rate,0.44754218719488487,0.43883768154814506,0.45624669284162467,0.004441155916843275,low,307.0,00-0033077,D.Prescott,31.0,307.0,34
success_rate,0.4473862437187667,0.4373185849777827,0.45745390245975065,0.005136654969375142,medium,179.0,00-0033119,J.Brissett,31.0,179.0,35
success_rate,0.44729816640674613,0.4387114082883098,0.4558849245251825,0.0043810795433832355,low,321.0,00-0033662,C.Rush,30.0,321.0,36
success_rate,0.4468629918823717,0.4399975374868057,0.45372844627793774,0.003502847220520294,low,615.0,00-0039732,B.Nix,24.0,615.0,37
success_rate,0.44195778990076073,0.43396293004969566,0.4499526497518258,0.004079085082240021,low,401.0,00-0029263,R.Wilson,35.0,401.0,38
success_rate,0.43595041206400253,0.4292474766673203,0.44265334746068474,0.0034199278402838474,low,655.0,00-0039163,C.Stroud,22.0,655.0,39
success_rate,0.43099357889982903,0.42308380798613815,0.4389033498135199,0.004035671561356309,low,414.0,00-0039150,B.Young,23.0,414.0,40
success_rate,0.42207501349511484,0.412835654666117,0.4313143723241127,0.0047140452079103175,low,250.0,00-0039376,S.Rattler,23.0,250.0,41
success_rate,0.4148931560393404,0.4040379195083388,0.425748392570342,0.005538487756217114,medium,126.0,00-0038583,D.Thompson-Robinson,24.0,126.0,42
success_rate,0.4134439205521064,0.4066652433682917,0.4202225977359211,0.0034585723193303734,low,636.0,00-0039918,C.Williams,22.0,636.0,43
success_rate,0.41269947619126357,0.4037254175834122,0.42167353479911496,0.004578685464956302,low,277.0,00-0039164,A.Richardson,22.0,277.0,44
success_rate,0.4105478177616259,0.40214454150465356,0.41895109401859826,0.004287464628562721,low,344.0,00-0039152,W.Levis,25.0,344.0,45
success_rate,0.4103537733433604,0.4011144145143625,0.4195931321723582,0.0047140452079103175,low,250.0,00-0033537,D.Watson,28.0,250.0,46
