method,correlation,rmse,mae,n_qbs
Kalman+Opp-Adj,0.8855172866989456,0.08696658214071994,0.056950976239445304,72
Kalman+Opp-Adj+Receiver,0.8855073459005465,0.09250677617928654,0.06219220368361405,72
