method,correlation,rmse,mae,n_qbs
Kalman+Opp-Adj (Baseline),0.8855172866989456,0.08696658214071994,0.056950976239445304,72
C1: Iterative QB-WR,0.8251859156728469,0.13807908462162144,0.11705677140049969,72
