metric,correlation,rmse,mae,n_qbs,category
opp_adj_epa_kalman,0.8859685613387747,0.08711045333887808,0.057079408364665914,72,Kalman-Filtered
opp_adj_success_rate_kalman,0.8787615121395355,0.11793608106448199,0.09814439426973716,72,Kalman-Filtered
epa_per_play_kalman,0.8756555043520149,0.08890023853785065,0.05643023312177631,72,Kalman-Filtered
success_mean_kalman,0.8617210846233733,0.45608479297463067,0.44017864710334903,72,Kalman-Filtered
cpoe_mean_kalman,0.5735887963896443,1.3920485657145973,1.118672572673723,69,Kalman-Filtered
opp_adj_cpoe_kalman,0.5653546973437783,1.3659870278506052,1.1158058316313184,69,Kalman-Filtered
opp_adj_success_rate,0.4402251864456476,0.1431307423396314,0.11399020466911337,72,Opponent-Adjusted
success_mean,0.4324783453167894,0.48118260502815247,0.4597093164920807,72,Raw
completion_pct,0.41434566487648444,0.6208740472793579,0.6039265990257263,72,Raw
yards_per_attempt,0.3931478034511319,6.424711227416992,6.37691068649292,72,Raw
success_mean_ctx_adj,0.3915088534984975,0.14518420646849564,0.11700386314935754,72,Context-Adjusted
opp_adj_epa,0.3603409625713092,0.17462108681196647,0.13632059685883638,72,Opponent-Adjusted
epa_per_play,0.33141413183999274,0.178103506565094,0.13583427667617798,72,Raw
opp_adj_cpoe,0.3294744417342281,3.408402415791742,2.5983473602011005,72,Opponent-Adjusted
td_rate,0.3290781755840383,0.15755824744701385,0.12346264719963074,72,Raw
cpoe_mean_ctx_adj,0.32395922820339373,3.2862210805202805,2.5695716363072765,72,Context-Adjusted
cpoe_mean,0.31804809226512276,3.342798948287964,2.6488921642303467,72,Raw
epa_per_play_ctx_adj,0.2987499661128683,0.1660274302841228,0.12717313523316168,72,Context-Adjusted
int_rate,-0.033172551719349436,0.15749810636043549,0.12714587152004242,72,Raw
sack_rate,-0.386650643122034,0.17798829078674316,0.1354723572731018,72,Raw
