passer_player_id,player_name,situation_type,situation,attempts,qb_epa,qb_epa_vs_avg,cpoe,cpoe_vs_avg,success,success_vs_avg
00-0034857,J.Allen,script,trailing_big,28,0.31762388,0.41406858,-8.108454704284668,-6.405465126037598,0.2857143,-0.11915296
00-0034857,J.Allen,time,normal,384,0.26207402,0.21741934,3.940934419631958,2.356072425842285,0.49739584,0.04121697
00-0034857,J.Allen,time,two_minute,78,0.24811885,0.17840755,-0.7955352663993835,0.11208897829055786,0.46153846,0.028831512
00-0034857,J.Allen,time,4th_quarter,124,0.25636527,0.24523492,-2.0773355960845947,-2.1302223205566406,0.46774194,0.031535953
00-0034857,J.Allen,depth,short,432,0.2269282,0.09617105,2.3593225479125977,1.0201424360275269,0.5277778,0.029997945
00-0034857,J.Allen,depth,deep,132,0.62810147,0.2436561,0.867684006690979,1.4773435592651367,0.4090909,-0.0071854293
00-0034857,J.Allen,air_depth,medium,101,0.4698265,0.059496194,-3.542933940887451,-3.405937910079956,0.4950495,-0.05275616
00-0034857,J.Allen,air_depth,short,272,0.17824367,0.28339228,4.847347736358643,2.08691668510437,0.54044116,0.08247095
00-0034857,J.Allen,air_depth,behind_los,123,-0.005389109,0.11495483,-0.38280847668647766,1.3109543323516846,0.4390244,0.07072809
00-0034857,J.Allen,air_depth,deep,90,0.6278566,0.27678034,3.3197481632232666,3.8761467933654785,0.37777779,0.024119258
00-0034857,J.Allen,pressure,clean_pocket,426,0.38122216,0.13338013,3.4298646450042725,1.1690354347229004,0.556338,0.036369562
00-0034857,J.Allen,pressure,under_pressure,160,-0.066385254,0.37355793,-2.918109178543091,0.4820420742034912,0.3,0.014639378
00-0034857,J.Allen,play_action,standard_dropback,586,0.25900853,0.21946853,2.008676290512085,1.0329546928405762,0.48634812,0.03743279
00-0034796,L.Jackson,down,2_down,182,0.5111511,0.43150538,11.497138023376465,10.35644817352295,0.5989011,0.13454768
00-0034796,L.Jackson,down,3rd_long,77,0.15650275,0.25885883,1.326314091682434,0.621718168258667,0.35064936,0.044373214
00-0034796,L.Jackson,down,1_down,212,0.2780694,0.18592444,0.25625312328338623,-0.7585576772689819,0.5,0.019777924
00-0034796,L.Jackson,down,3rd_medium,52,0.45834512,0.45844716,8.439383506774902,6.733925819396973,0.5576923,0.12941152
00-0034796,L.Jackson,down,3rd_short,10,1.3772507,1.5349548,17.845197677612305,19.422916412353516,0.8,0.29949445
00-0034796,L.Jackson,field,midfield,410,0.2903855,0.25014254,2.6741433143615723,1.7249031066894531,0.51707315,0.060248643
00-0034796,L.Jackson,field,own_territory,52,0.39111933,0.31339294,6.006760120391846,5.876150131225586,0.5,0.043899655
00-0034796,L.Jackson,field,red_zone,42,0.8066009,0.7481504,26.590057373046875,24.164104461669922,0.54761904,0.14360568
00-0034796,L.Jackson,field,inside_10,24,0.37436423,0.38000238,2.291118621826172,1.538604497909546,0.45833334,0.09340444
00-0034796,L.Jackson,field,goal_line,16,0.3043455,0.37762094,21.06802749633789,20.258533477783203,0.5,0.07205239
00-0034796,L.Jackson,script,close_game,367,0.25445178,0.20717846,4.854121685028076,3.6748130321502686,0.5013624,0.05015543
00-0034796,L.Jackson,script,trailing_small,71,0.5776073,0.549712,10.056384086608887,8.685853958129883,0.5492958,0.094655156
00-0034796,L.Jackson,script,leading_small,71,0.54578334,0.39965254,4.312061309814453,0.6917610168457031,0.5633803,0.08458057
00-0034796,L.Jackson,script,leading_big,35,0.39952078,0.24820423,-1.3189096450805664,0.14389824867248535,0.4857143,0.02504012
00-0034796,L.Jackson,time,normal,333,0.26218888,0.2175342,4.699253082275391,3.114391326904297,0.4894895,0.033310622
00-0034796,L.Jackson,time,two_minute,75,0.53269804,0.46298674,3.0910520553588867,3.998676300048828,0.6,0.16729307
00-0034796,L.Jackson,time,4th_quarter,134,0.43625256,0.4251222,7.629967212677002,7.577080726623535,0.5298507,0.09364474
00-0034796,L.Jackson,depth,short,401,0.39384457,0.26308742,5.424370765686035,4.085190773010254,0.57107234,0.073292494
00-0034796,L.Jackson,depth,deep,113,0.7386016,0.35415626,3.8943748474121094,4.504034519195557,0.45132744,0.035051107
00-0034796,L.Jackson,air_depth,behind_los,94,-0.014758565,0.105585374,-3.101778745651245,-1.4080159664154053,0.43617022,0.067873925
00-0034796,L.Jackson,air_depth,short,249,0.092558734,0.19770736,5.364864826202393,2.60443377494812,0.51004016,0.052069962
00-0034796,L.Jackson,air_depth,medium,125,1.0247872,0.6144569,14.498127937316895,14.635124206542969,0.68,0.13219434
00-0034796,L.Jackson,air_depth,deep,76,0.4917045,0.14062822,-0.6189936399459839,-0.06259489059448242,0.35526314,0.0016046166
00-0034796,L.Jackson,pressure,under_pressure,164,-0.06495994,0.37498322,-5.621058464050293,-2.220907211303711,0.3597561,0.07439548
00-0034796,L.Jackson,pressure,clean_pocket,380,0.5204768,0.2726348,8.594391822814941,6.333562850952148,0.58157897,0.06161052
00-0034796,L.Jackson,play_action,standard_dropback,544,0.34398484,0.30444485,5.083346843719482,4.1076250076293945,0.5147059,0.065790564
00-0033873,P.Mahomes,down,1_down,260,0.084855124,-0.007289842,-0.6292988061904907,-1.6441096067428589,0.49615383,0.015931755
00-0033873,P.Mahomes,down,3rd_medium,63,0.9081318,0.9082338,19.76951789855957,18.06406021118164,0.6666667,0.23838592
00-0033873,P.Mahomes,down,2_down,259,0.06203717,-0.01760853,3.027787685394287,1.8870974779129028,0.48262548,0.018272072
00-0033873,P.Mahomes,down,3rd_long,78,-0.2603086,-0.15795252,1.9018086194992065,1.1972126960754395,0.30769232,0.0014161766
00-0033873,P.Mahomes,down,3rd_short,44,-0.07886796,0.07883617,-7.2549824714660645,-5.677263259887695,0.5,-0.0005055666
00-0033873,P.Mahomes,field,midfield,526,0.11061521,0.07037223,2.0465965270996094,1.0973563194274902,0.48859316,0.03176865
00-0033873,P.Mahomes,field,own_territory,55,0.1041342,0.0264078,3.886291980743408,3.7556819915771484,0.54545456,0.08935422
00-0033873,P.Mahomes,field,red_zone,73,0.10117385,0.042723335,3.1314032077789307,0.7054510116577148,0.46575344,0.06174007
00-0033873,P.Mahomes,field,inside_10,32,0.23773998,0.24337813,3.9790186882019043,3.2265045642852783,0.40625,0.0413211
00-0033873,P.Mahomes,field,goal_line,28,-0.24089062,-0.16761518,-1.044858694076538,-1.8543522357940674,0.42857143,0.0006238222
00-0033873,P.Mahomes,script,close_game,577,0.16107085,0.11379753,3.176379442214966,1.9970707893371582,0.49393415,0.042727202
00-0033873,P.Mahomes,script,leading_small,67,-0.22178374,-0.36791453,-6.894859790802002,-10.515159606933594,0.40298507,-0.075814664
00-0033873,P.Mahomes,script,trailing_small,33,-0.04613238,-0.07402766,7.199286937713623,5.828756809234619,0.5151515,0.060510874
00-0033873,P.Mahomes,script,trailing_big,28,-0.026804583,0.0696401,5.176248550415039,6.879238128662109,0.5,0.09513274
00-0033873,P.Mahomes,time,normal,483,0.04807615,0.0034214705,1.234018325805664,-0.35084354877471924,0.48861283,0.032433957
00-0033873,P.Mahomes,time,two_minute,71,0.1081319,0.03842061,2.3546531200408936,3.262277364730835,0.4084507,-0.02425626
00-0033873,P.Mahomes,time,4th_quarter,155,0.23945734,0.22832699,4.813088417053223,4.760201930999756,0.4903226,0.054116607
00-0033873,P.Mahomes,depth,short,577,0.22039467,0.08963752,3.304727077484131,1.96554696559906,0.5441941,0.046414256
00-0033873,P.Mahomes,depth,deep,85,0.21516657,-0.1692788,-4.385413646697998,-3.775753974914551,0.3529412,-0.06333515
00-0033873,P.Mahomes,air_depth,short,389,0.050182357,0.15533097,3.2157363891601562,0.4553053379058838,0.50899744,0.05102724
00-0033873,P.Mahomes,air_depth,behind_los,151,-0.115863495,0.004480444,-0.8884930610656738,0.805269718170166,0.397351,0.029054701
00-0033873,P.Mahomes,air_depth,medium,118,0.42855182,0.018221527,5.755274772644043,5.892271041870117,0.60169494,0.053889275
00-0033873,P.Mahomes,air_depth,deep,56,0.34937075,-0.0017055273,-2.0521161556243896,-1.4957174062728882,0.30357143,-0.050087094
00-0033873,P.Mahomes,pressure,clean_pocket,468,0.2759412,0.028099164,2.167699098587036,-0.09313011169433594,0.5555556,0.035587132
00-0033873,P.Mahomes,pressure,under_pressure,246,-0.23163028,0.20831288,2.6478981971740723,6.048049449920654,0.3495935,0.064232856
00-0033873,P.Mahomes,play_action,standard_dropback,714,0.10106361,0.06152361,2.297974109649658,1.3222525119781494,0.48459384,0.035678506
00-0031280,D.Carr,down,1_down,103,0.13524806,0.0431031,-1.4019421339035034,-2.416752815246582,0.4368932,-0.04332888
00-0031280,D.Carr,down,2_down,99,0.17410465,0.094458945,7.834695816040039,6.694005489349365,0.46464646,0.00029304624
00-0031280,D.Carr,down,3rd_medium,34,0.49085644,0.49095848,8.624361991882324,6.9189043045043945,0.47058824,0.042307466
00-0031280,D.Carr,down,3rd_long,32,-0.19450533,-0.09214925,-5.965362071990967,-6.669958114624023,0.3125,0.0062238574
00-0031280,D.Carr,down,3rd_short,14,1.035119,1.1928232,21.74761390686035,23.325332641601562,0.64285713,0.14235157
00-0031280,D.Carr,field,midfield,234,0.18409556,0.14385259,4.505614280700684,3.5563740730285645,0.45726496,0.00044044852
00-0031280,D.Carr,field,red_zone,26,0.17590038,0.11744987,6.277459144592285,3.8515069484710693,0.30769232,-0.09632105
00-0031280,D.Carr,field,own_territory,20,0.10128373,0.023557328,-15.841001510620117,-15.971611976623535,0.4,-0.05610034
00-0031280,D.Carr,script,close_game,225,0.11183312,0.06455979,1.2979154586791992,0.1186068058013916,0.41777778,-0.033429176
00-0031280,D.Carr,script,leading_small,20,0.39145854,0.24532776,-0.4667154848575592,-4.087015628814697,0.45,-0.028799742
00-0031280,D.Carr,script,leading_big,24,0.07578138,-0.07553517,7.843918323516846,9.306726455688477,0.5,0.039325833
00-0031280,D.Carr,script,trailing_small,21,0.6075714,0.57967615,23.859445571899414,22.488914489746094,0.61904764,0.16440701
00-0031280,D.Carr,time,normal,194,0.23251319,0.1878585,5.351186752319336,3.766324996948242,0.45360824,-0.0025706291
00-0031280,D.Carr,time,two_minute,29,0.12765011,0.05793882,-5.225846290588379,-4.3182220458984375,0.41379312,-0.018913835
00-0031280,D.Carr,time,4th_quarter,67,-0.018507946,-0.029638298,1.2271218299865723,1.1742351055145264,0.41791046,-0.018295527
00-0031280,D.Carr,depth,short,219,0.13159534,0.0008381903,4.316486358642578,2.977306365966797,0.4611872,-0.036592633
00-0031280,D.Carr,depth,deep,60,0.5002445,0.11579913,-0.3819517493247986,0.22770780324935913,0.43333334,0.017057002
00-0031280,D.Carr,air_depth,short,145,0.07311659,0.17826521,6.329549312591553,3.5691182613372803,0.4827586,0.02478841
00-0031280,D.Carr,air_depth,behind_los,60,-0.21138437,-0.09104043,-0.7065155506134033,0.9872472286224365,0.26666668,-0.101629615
00-0031280,D.Carr,air_depth,deep,40,0.31609225,-0.034984022,-8.017213821411133,-7.460814952850342,0.3,-0.053658515
00-0031280,D.Carr,air_depth,medium,45,0.8223741,0.4120438,9.825981140136719,9.962977409362793,0.6666667,0.11886102
00-0031280,D.Carr,pressure,clean_pocket,202,0.23965353,-0.008188501,5.241954803466797,2.981125593185425,0.4950495,-0.024918944
00-0031280,D.Carr,pressure,under_pressure,88,-0.009552717,0.43039045,-2.3313117027282715,1.0688395500183105,0.3181818,0.03282118
00-0031280,D.Carr,play_action,standard_dropback,290,0.16403233,0.124492325,3.276374340057373,2.3006527423858643,0.4413793,-0.007536024
00-0039150,B.Young,down,1_down,136,0.068720356,-0.02342461,1.8077623844146729,0.7929515838623047,0.43382353,-0.04639855
00-0039150,B.Young,down,3rd_medium,47,-0.3407928,-0.34069076,-1.2699313163757324,-2.975389003753662,0.31914893,-0.10913184
00-0039150,B.Young,down,2_down,137,-0.023134768,-0.10278047,1.226868987083435,0.08617877960205078,0.3941606,-0.070192814
00-0039150,B.Young,down,3rd_long,54,-0.02469479,0.07766129,3.333099365234375,2.6285033226013184,0.35185185,0.04557571
00-0039150,B.Young,down,3rd_short,21,-0.44637063,-0.2886665,-13.499323844909668,-11.92160415649414,0.33333334,-0.16717222
00-0039150,B.Young,down,4th_down,18,-0.24286345,-0.24873848,1.0454148054122925,-0.5517343282699585,0.44444445,-0.01867032
00-0039150,B.Young,field,midfield,307,-0.09043357,-0.13067654,0.27977681159973145,-0.6694633364677429,0.40065145,-0.056173056
00-0039150,B.Young,field,own_territory,43,0.07209905,-0.005627349,4.763594627380371,4.632984638214111,0.3488372,-0.10726315
00-0039150,B.Young,field,goal_line,13,0.054798283,0.12807372,-6.357423782348633,-7.166917324066162,0.3846154,-0.04333222
00-0039150,B.Young,field,red_zone,42,-0.09899114,-0.15744165,0.5187391042709351,-1.9072130918502808,0.3809524,-0.023060977
00-0039150,B.Young,script,close_game,235,0.046634804,-0.0006385222,3.111309289932251,1.9320006370544434,0.42978725,-0.021419704
00-0039150,B.Young,script,trailing_small,45,0.0036964708,-0.024198812,2.9103846549987793,1.5398545265197754,0.4,-0.05464062
00-0039150,B.Young,script,trailing_big,119,-0.27232367,-0.17587899,-3.2261078357696533,-1.523118495941162,0.33613446,-0.0687328
00-0039150,B.Young,script,leading_small,15,-0.30570683,-0.4518376,-17.54924774169922,-21.16954803466797,0.2,-0.2787997
00-0039150,B.Young,time,normal,222,-0.0666821,-0.11133678,0.9282962083816528,-0.6565656661987305,0.3918919,-0.06428698
00-0039150,B.Young,time,two_minute,47,0.16832668,0.098615386,2.453366756439209,3.3609910011291504,0.44680852,0.014101565
00-0039150,B.Young,time,4th_quarter,136,-0.17146142,-0.18259177,-2.1816458702087402,-2.234532594680786,0.3529412,-0.0832648
00-0039150,B.Young,depth,deep,83,0.19574279,-0.18870258,-5.048018455505371,-4.438358783721924,0.36144578,-0.05483055
00-0039150,B.Young,depth,short,301,0.049850523,-0.08090663,2.3036749362945557,0.9644948244094849,0.4385382,-0.059241652
00-0039150,B.Young,air_depth,deep,48,0.33799958,-0.013076693,-0.7959630489349365,-0.23956429958343506,0.35416666,0.0005081296
00-0039150,B.Young,air_depth,short,202,-0.20581335,-0.100664735,3.7125399112701416,0.9521088600158691,0.4009901,-0.056980103
00-0039150,B.Young,air_depth,medium,106,0.2454251,-0.16490519,-3.746826171875,-3.609830141067505,0.4716981,-0.07610756
00-0039150,B.Young,air_depth,behind_los,58,-0.4574369,-0.33709294,0.749478280544281,2.4432411193847656,0.2413793,-0.12691699
00-0039150,B.Young,pressure,clean_pocket,287,0.093542226,-0.1542998,2.0419819355010986,-0.21884727478027344,0.44599304,-0.073975414
00-0039150,B.Young,pressure,under_pressure,127,-0.41506466,0.024878502,-4.213559150695801,-0.8134078979492188,0.26771653,-0.017644107
00-0039150,B.Young,play_action,standard_dropback,414,-0.062479705,-0.102019705,0.6654145121574402,-0.3103070855140686,0.39130434,-0.05761099
00-0038998,J.Haener,down,2_down,14,-0.067401186,-0.1470469,-6.805327892303467,-7.946018218994141,0.2857143,-0.17863911
00-0038998,J.Haener,down,1_down,16,-0.39126468,-0.48340964,-21.95845603942871,-22.9732666015625,0.25,-0.23022208
00-0038998,J.Haener,field,midfield,38,-0.3171544,-0.35739738,-18.134281158447266,-19.083520889282227,0.28947368,-0.16735083
00-0038998,J.Haener,script,trailing_small,25,-0.36223862,-0.3901339,-23.074298858642578,-24.444828033447266,0.24,-0.21464063
00-0038998,J.Haener,script,trailing_big,13,0.14197932,0.238424,2.796424627304077,4.499413967132568,0.46153846,0.056671202
00-0038998,J.Haener,time,4th_quarter,30,-0.14133215,-0.1524625,-13.436529159545898,-13.489416122436523,0.33333334,-0.10287264
00-0038998,J.Haener,depth,short,33,-0.054643326,-0.18540049,-15.770620346069336,-17.109800338745117,0.36363637,-0.13414347
00-0038998,J.Haener,air_depth,short,28,-0.5534926,-0.448344,-25.929332733154297,-28.68976402282715,0.2857143,-0.1722559
00-0038998,J.Haener,pressure,under_pressure,18,-0.6927551,-0.25281194,-23.81777572631836,-20.417625427246094,0.16666667,-0.11869396
00-0038998,J.Haener,pressure,clean_pocket,27,-0.091810636,-0.33965266,-14.9112548828125,-17.17208480834961,0.37037036,-0.14959809
00-0038998,J.Haener,play_action,standard_dropback,45,-0.33218843,-0.37172842,-17.318424224853516,-18.294145584106445,0.2888889,-0.16002643
00-0027973,A.Dalton,down,3rd_medium,15,-0.06617801,-0.066075966,7.306972026824951,5.6015143394470215,0.4,-0.028280765
00-0027973,A.Dalton,down,1_down,61,-0.055659648,-0.14780462,-5.05486536026001,-6.069676399230957,0.39344263,-0.086779445
00-0027973,A.Dalton,down,2_down,58,0.066843905,-0.012801796,3.1034581661224365,1.9627679586410522,0.46551725,0.0011638403
00-0027973,A.Dalton,down,3rd_long,21,-0.5796002,-0.47724414,3.200611114501953,2.4960150718688965,0.33333334,0.0270572
00-0027973,A.Dalton,field,own_territory,17,-0.23473692,-0.3124633,-20.982500076293945,-21.113109588623047,0.29411766,-0.16198269
00-0027973,A.Dalton,field,midfield,127,-0.15296064,-0.19320363,1.232710599899292,0.2834704518318176,0.44094488,-0.015879631
00-0027973,A.Dalton,field,inside_10,11,0.52762973,0.5332679,12.09030818939209,11.337794303894043,0.45454547,0.08961657
00-0027973,A.Dalton,script,trailing_big,36,-0.24034664,-0.14390196,4.068988800048828,5.771978378295898,0.41666666,0.011799395
00-0027973,A.Dalton,script,close_game,80,-0.048789334,-0.09606266,0.08262166380882263,-1.0966869592666626,0.375,-0.07620695
00-0027973,A.Dalton,script,leading_big,12,0.05190128,-0.09941527,-3.447474718093872,-1.9846668243408203,0.5833333,0.12265915
00-0027973,A.Dalton,script,trailing_small,36,-0.21860385,-0.24649914,-7.366619110107422,-8.737149238586426,0.41666666,-0.03797397
