attempts,epa_per_play_raw,total_epa_raw,success_rate_raw,epa_per_play_adj,avg_opponent_sp_defense,sos_percentile,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
588.0,0.3812355458432314,224.16650095582008,0.5731292517006803,0.3812355458432314,26.674615384615382,50.0,0.2125850340136054,,0.0,0.3030049442087562,103.0,0.3030049442087562,0.1751700680272108,0.1020408163265306,Bailey Zappe,2022,Western Kentucky,1
576.0,-0.0803123048196236,-46.25988757610321,0.4375,-0.0803123048196236,28.057812500000004,50.0,0.1684027777777778,,0.0,0.0984770485333034,70.0,0.0984770485333034,0.1215277777777777,0.0677083333333333,Davis Webb,2017,California,1
575.0,0.5117622599387236,294.2632994647661,0.568695652173913,0.5117622599387236,,,0.2034782608695652,0.9362544705390052,134.0,,0.0,0.8338171660118331,0.2626086956521739,0.0539130434782608,Kyle McCord,2026,Syracuse,1
491.0,0.2755410972372841,135.74915341536203,0.5183389222460876,0.2755410972372841,27.616666666666664,50.0,0.178330476727704,,0.0,0.3461684695548481,60.0,0.3461684695548481,0.1209890002603488,0.0635267960455899,Jared Goff,2016,California,3
490.75,0.2882569971107565,145.0658156555146,0.5375818522810385,0.2882569971107565,26.648716397849466,50.0,0.1862557173536919,,0.0,0.322084818177925,68.0,0.322084818177925,0.1378493977719942,0.0632473006018872,Landry Jones,2013,Oklahoma,4
487.0,0.3281671279338123,159.8173913037666,0.486652977412731,0.3281671279338123,,,0.1786447638603696,0.3655655344644843,101.0,,0.0,0.4090427503038883,0.2648870636550308,0.0533880903490759,Chandler Morris,2026,North Texas,1
468.5,0.1279779188407185,56.418857101250886,0.5099192121994359,0.1279779188407185,27.646484375000004,50.0,0.2059491371480472,,0.0,-0.1216908190130942,54.5,-0.1216908190130942,0.1184186624599646,0.0655265548066351,Mike White,2018,Western Kentucky,2
458.0,0.2310505341975499,120.27722330763936,0.5244402985074627,0.2310505341975499,27.76987083861888,50.0,0.2216025137470542,,0.0,-0.0527602868775526,59.5,-0.0527602868775526,0.125942655145326,0.0783385703063629,Joe Burrow,2020,LSU,2
441.0,0.2466109851025665,108.75544443023183,0.5124716553287982,0.2466109851025665,27.5265625,50.0,0.2607709750566893,,0.0,0.3411210016770796,44.0,0.3411210016770796,0.0997732426303854,0.0612244897959183,Jeff Driskel,2016,Louisiana Tech,1
440.0,0.4484902681949175,196.22548526492145,0.531378764694516,0.4484902681949175,26.47218045112782,50.0,0.1730577160925072,0.8347675421320346,98.5,,0.0,0.8697590566940984,0.2421534990348739,0.0579153276512505,Shedeur Sanders,2026,Colorado,2
440.0,0.5212741883012988,229.36064285257143,0.5613636363636364,0.5212741883012988,,,0.2022727272727272,1.011481087309385,111.0,,0.0,0.9440800111768332,0.2772727272727273,0.0636363636363636,Dillon Gabriel,2026,Oregon,1
437.5,0.4289327186304935,186.95157826335145,0.5046636774744656,0.4289327186304935,26.70211260682534,50.0,0.1882543718158814,0.8610059016278442,103.0,,0.0,0.8746793719534999,0.2655793290303056,0.0515684622347467,Seth Henigan,2026,Memphis,4
435.25,0.1632643043778137,72.80492609064095,0.4845755003794824,0.1632643043778137,27.423950772849462,50.0,0.1786424753145275,,0.0,-0.1339732881293073,61.75,-0.1339732881293073,0.1408754367494733,0.047104926159997,Sean Mannion,2015,Oregon St.,4
434.3333333333333,0.1438701097498389,67.44298463314772,0.4927636964061439,0.1438701097498389,27.733297275641025,50.0,0.1928096992786082,,0.0,-0.2908242410218924,51.333333333333336,-0.2908242410218924,0.1168922068387477,0.0465340724243657,Ryan Finley,2019,North Carolina St.,3
430.5,0.5477674432854824,236.2794490995651,0.5587766778375518,0.5477674432854824,26.715861217930325,50.0,0.205675654819649,0.9819307946215928,89.5,,0.0,1.0320409210511805,0.2304380897786401,0.0596282740982449,Caleb Williams,2024,USC,2
429.0,0.1853692998519049,66.3677290532117,0.4947718675745334,0.1853692998519049,27.6359375,50.0,0.2122863707840805,,0.0,0.0390915504220028,49.333333333333336,0.0390915504220028,0.1054638561004864,0.0809520717973967,Patrick Mahomes,2017,Texas Tech,3
426.0,0.1678850434041881,71.51902849018416,0.431924882629108,0.1678850434041881,,,0.1408450704225352,0.4584352023948333,106.0,,0.0,0.2321577925021322,0.284037558685446,0.0305164319248826,E.J. Warner,2026,Rice,1
424.5,0.4474487146522299,193.51565883664688,0.5879785242166528,0.4474487146522299,26.715861217930325,50.0,0.227199597787833,0.755121505994922,81.0,,0.0,0.6214792625642435,0.2168174962292609,0.0546003016591251,Bo Nix,2024,Oregon,2
423.6666666666667,0.2883394882097118,129.17440612303713,0.5511417805759559,0.2883394882097118,26.346944444444443,50.0,0.1569465498537508,,0.0,0.129225143793112,52.0,0.129225143793112,0.1247432135913392,0.0501077211674079,Nick Foles,2012,Arizona,3
422.75,-0.1242409200850421,-49.328531160932606,0.4252100053031242,-0.1242409200850421,27.68161358173077,50.0,0.1460438421812781,,0.0,-0.1258545173775582,34.5,-0.1258545173775582,0.0806415119468888,0.0382011452235996,Clayton Thorson,2019,Northwestern,4
420.0,0.0936379105917045,39.32792244851589,0.4404761904761904,0.0936379105917045,27.235156250000003,50.0,0.2023809523809523,,0.0,-0.4492926368346581,52.0,-0.4492926368346581,0.1238095238095238,0.0642857142857142,Tanner Lee,2018,Nebraska,1
413.3333333333333,-0.1258938145066863,-53.86477441407983,0.4320785788391569,-0.1258938145066863,27.733297275641025,50.0,0.145949557459753,,0.0,-0.2000863765088948,36.66666666666666,-0.2000863765088948,0.0884506051725562,0.0440683540716052,Daniel Jones,2019,Duke,3
411.0,0.4244585339650515,176.41268150988924,0.4905487223493516,0.4244585339650515,26.47218045112782,50.0,0.1979523401826484,0.7776925188577711,98.0,,0.0,0.807223743526581,0.2668557363013698,0.0604487728310502,Joey Aguilar,2026,App State,2
409.0,0.5749813503163118,234.5923909290552,0.5686274509803921,0.5749813503163118,,,0.2224938875305623,0.8877035514084473,86.0,,0.0,0.964254534028732,0.2665036674816626,0.0660146699266503,Derek Robertson,2026,Monmouth,1
409.0,0.61552826776044,251.75106151402,0.6332518337408313,0.61552826776044,26.674615384615382,50.0,0.2738386308068459,,0.0,0.4394964415293473,52.0,0.4394964415293473,0.1271393643031785,0.1075794621026894,C.J. Stroud,2023,Ohio St.,1
408.0,0.2485858354293396,96.2199460628132,0.5171069387933954,0.2485858354293396,27.62582325268817,50.0,0.1757409860379403,,0.0,0.2970280181308757,48.66666666666666,0.2970280181308757,0.1185337266067871,0.0591991420041548,Brett Hundley,2015,UCLA,3
406.0,0.4364963130218185,163.6994392760098,0.6002743942006414,0.4364963130218185,27.66171875,50.0,0.2630507196667717,,0.0,0.4817959524237591,48.0,0.4817959524237591,0.121116611355223,0.084095024442096,Jameis Winston,2015,Florida St.,2
403.5,0.2815963683307919,116.0033922287878,0.4819361200758157,0.2815963683307919,26.47218045112782,50.0,0.1594095116501755,0.4836322208952311,97.5,,0.0,0.5266219193418875,0.2712416214490903,0.0206415576125119,Alan Bowman,2026,Oklahoma State,2
401.0,0.3623159600127732,144.9263840051093,0.47,0.3623159600127732,,,0.1596009975062344,0.3582453339199976,113.0,,0.0,0.3158505926421443,0.2992518703241895,0.054862842892768,Maalik Murphy,2026,Duke,1
401.0,0.3185051178127286,127.7205522429042,0.5062344139650873,0.3185051178127286,,,0.1870324189526184,0.5376241429651021,83.0,,0.0,0.4602413763473488,0.2369077306733167,0.0448877805486284,Kobe Tracy,2026,Idaho State,1
400.0,0.4472139072128646,174.85382102802396,0.5703252338323428,0.4472139072128646,27.777016129032265,50.0,0.2391860377642368,,0.0,0.4792695146141243,49.0,0.4792695146141243,0.1224579352541437,0.0797474861455904,Johnny Manziel,2014,Texas A&M,2
399.75,0.2703948608931957,108.63385776709764,0.5191283120688666,0.2703948608931957,25.269817927170863,50.0,0.177984664505529,,0.0,0.4545497306593533,46.25,0.4545497306593533,0.1166304535584988,0.0702804901152754,Colt McCoy,2010,Texas,4
398.0,0.1148628403793028,45.71541047096253,0.4773869346733668,0.1148628403793028,27.632818600314675,50.0,0.1934673366834171,,0.0,0.1874321355658062,59.0,0.1874321355658062,0.1482412060301507,0.0603015075376884,Jacob Eason,2020,Washington,1
395.0,0.326796039204469,129.08443548576523,0.5189873417721519,0.326796039204469,,,0.1417721518987341,0.6809101312120333,97.0,,0.0,0.71770060522447,0.2607594936708861,0.0455696202531645,Riley Leonard,2026,Notre Dame,1
394.0,0.1765327817266721,40.26504864543677,0.5160006317337636,0.1765327817266721,27.6359375,50.0,0.231159495088616,,0.0,0.2126498981738377,48.0,0.2126498981738377,0.1152384483201015,0.0823642565851456,Deshaun Watson,2017,Clemson,3
391.3333333333333,0.3695821432119914,143.10094573600432,0.5600744346798866,0.3695821432119914,27.60651041666667,50.0,0.2544000744861577,,0.0,0.3251944854822484,52.0,0.3251944854822484,0.1317753796950353,0.0999661869102328,Baker Mayfield,2018,Oklahoma,3
390.25,0.227615804648187,86.87375496234745,0.518907790367165,0.227615804648187,25.269817927170863,50.0,0.1512882271901139,,0.0,0.2651761991911084,51.0,0.2651761991911084,0.1297962101234581,0.0597872591006761,Dan LeFevour,2010,Central Michigan,4
