attempts,epa_per_play,total_epa,success_rate,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
436,0.2755065240444393,120.12084448337555,0.5298165137614679,0.1720183486238532,,0,0.5251400896481105,56,0.5251400896481105,0.12844036697247707,0.08486238532110092,Brady Quinn,2007,Notre Dame,3
269,0.1143338700763355,30.75581105053425,0.45353159851301117,0.17100371747211895,,0,0.3735180854797363,30,0.3735180854797363,0.11152416356877323,0.04460966542750929,Drew Stanton,2007,Michigan State,3
125,0.1582994210422039,19.787427630275488,0.472,0.184,,0,0.35867059230804443,10,0.35867059230804443,0.08,0.056,Isaiah Stanback,2007,Washington,3
325,0.3610581658436702,117.34390389919281,0.5661538461538461,0.2246153846153846,,0,0.6876913751874651,35,0.6876913751874651,0.1076923076923077,0.08307692307692308,JaMarcus Russell,2007,LSU,3
386,0.42367300020598375,163.53777807950974,0.5880829015544041,0.24611398963730569,,0,0.3342739878029659,58,0.3342739878029659,0.15025906735751296,0.07253886010362694,John Beck,2007,BYU,3
424,0.27696194747498015,117.43186572939157,0.5,0.2169811320754717,,0,0.07381176013572543,51,0.07381176013572543,0.12028301886792453,0.06839622641509434,Kevin Kolb,2007,Houston,3
136,-0.02311457649749868,-3.1435824036598206,0.4632352941176471,0.1323529411764706,,0,0.43745053898204456,11,0.43745053898204456,0.08088235294117647,0.04411764705882353,Trent Edwards,2007,Stanford,3
306,0.33033455070716883,101.08237251639366,0.545751633986928,0.1895424836601307,,0,0.7760599454243978,45,0.7760599454243978,0.14705882352941177,0.09803921568627451,Troy Smith,2007,Ohio State,3
459,0.3126083936599085,143.487252689898,0.5337690631808278,0.19825708061002179,,0,0.2001957967877388,64,0.2001957967877388,0.1394335511982571,0.06535947712418301,Brian Brohm,2008,Louisville,4
258,0.2835736736770748,73.1620078086853,0.5348837209302325,0.17829457364341086,,0,0.39607627732413153,35,0.39607627732413153,0.13565891472868216,0.06589147286821706,Chad Henne,2008,Michigan,4
246,0.16060128020561806,39.50791493058205,0.508130081300813,0.17886178861788618,,0,0.026010780623464874,33,0.026010780623464874,0.13414634146341464,0.08130081300813008,Dennis Dixon,2008,Oregon,4
40,0.5095569372177124,20.382277488708496,0.6,0.325,,0,0.037211338678995766,6,0.037211338678995766,0.15,0.1,Joe Flacco,2008,Delaware,1
324,0.07768910240243983,25.171269178390503,0.4722222222222222,0.17592592592592593,,0,0.030675545982692547,69,0.030675545982692547,0.21296296296296297,0.07098765432098765,John David Booty,2008,USC,2
592,0.20167005059586182,119.3886699527502,0.5152027027027027,0.16722972972972974,,0,0.16020981945208648,67,0.16020981945208648,0.11317567567567567,0.052364864864864864,Matt Ryan,2008,Boston College,4
343,0.17894951829757358,61.379684776067734,0.4868804664723032,0.19825072886297376,,0,-0.07463677724202473,30,-0.07463677724202473,0.08746355685131195,0.05830903790087463,Josh Freeman,2009,Kansas State,3
326,0.38451594393128996,125.35219772160053,0.5920245398773006,0.25766871165644173,,0,0.39419847184961493,55,0.39419847184961493,0.1687116564417178,0.10429447852760736,Mark Sanchez,2009,USC,3
367,0.3705885667729443,136.00600400567055,0.5149863760217984,0.22888283378746593,,0,0.2965635729999077,41,0.2965635729999077,0.11171662125340599,0.0681198910081744,Matthew Stafford,2009,Georgia,3
254,0.0016858895697931604,0.42821595072746277,0.4330708661417323,0.16535433070866143,,0,0.23936392980463364,34,0.23936392980463364,0.13385826771653545,0.08267716535433071,Pat White,2009,West Virginia,4
32,0.5433925352990627,17.388561129570007,0.5625,0.21875,,0,,0,,0.0,0.03125,Rhett Bomar,2009,Sam Houston State,1
85,0.12775074524037977,10.858813345432281,0.4117647058823529,0.11764705882352941,,0,-0.5565369129180908,9,-0.5565369129180908,0.10588235294117647,0.023529411764705882,Stephen McGee,2009,Texas A&M,4
327,0.24542514119149167,80.25402116961777,0.5443425076452599,0.1651376146788991,,0,0.31702752113342286,35,0.31702752113342286,0.10703363914373089,0.05504587155963303,Tom Brandstater,2009,Fresno State,4
452,0.20969457466122324,94.7819477468729,0.504424778761062,0.1504424778761062,,0,0.27704931240455777,51,0.27704931240455777,0.11283185840707964,0.05752212389380531,Colt McCoy,2010,Texas,4
406,0.2453363681294648,99.6065654605627,0.5369458128078818,0.14532019704433496,,0,0.2669831055861253,65,0.2669831055861253,0.16009852216748768,0.06157635467980296,Dan LeFevour,2010,Central Michigan,4
409,0.32078263741032126,131.2000987008214,0.5574572127139364,0.1882640586797066,,0,0.08102583466914662,57,0.08102583466914662,0.1393643031784841,0.07090464547677261,Jimmy Clausen,2010,Notre Dame,3
352,0.167178107552569,58.846693858504295,0.4914772727272727,0.19886363636363635,,0,0.2185456082224846,48,0.2185456082224846,0.13636363636363635,0.07670454545454546,Jonathan Crompton,2010,Tennessee,4
65,0.12139154947721041,7.890450716018677,0.5076923076923077,0.18461538461538463,,0,-0.7668648866506723,13,-0.7668648866506723,0.2,0.03076923076923077,Sam Bradford,2010,Oklahoma,3
319,0.18835727309919076,60.08597011864185,0.49843260188087773,0.21316614420062696,,0,-0.606957577523731,42,-0.606957577523731,0.13166144200626959,0.06583072100313479,Tim Tebow,2010,Florida,4
304,0.32027568903408554,97.363809466362,0.5328947368421053,0.1875,,0,0.23858940844633142,49,0.23858940844633142,0.1611842105263158,0.09539473684210527,Tony Pike,2010,Cincinnati,3
286,0.40816851119165654,116.73619420081377,0.5909090909090909,0.1993006993006993,,0,0.789314739631884,33,0.789314739631884,0.11538461538461539,0.0979020979020979,Andy Dalton,2011,TCU,4
408,0.16490555393929576,67.28146600723267,0.5245098039215687,0.13725490196078433,,0,0.17359956535133156,37,0.17359956535133156,0.09068627450980392,0.03676470588235294,Blaine Gabbert,2011,Missouri,3
283,0.13403016823761876,37.93053761124611,0.4840989399293286,0.1978798586572438,,0,0.2719097187121709,48,0.2719097187121709,0.1696113074204947,0.0706713780918728,Christian Ponder,2011,Florida State,4
330,0.4182603472109997,138.0259145796299,0.5636363636363636,0.19696969696969696,,0,0.2574040743769432,49,0.2574040743769432,0.1484848484848485,0.06363636363636363,Colin Kaepernick,2011,Nevada,4
307,0.07679061712970174,23.574719458818436,0.46254071661237783,0.1563517915309446,,0,0.6180113348467596,29,0.6180113348467596,0.09446254071661238,0.05863192182410423,Jake Locker,2011,Washington,4
339,0.150235059536488,50.929685182869434,0.4749262536873156,0.18289085545722714,,0,-0.20905354348095972,44,-0.20905354348095972,0.12979351032448377,0.05604719764011799,Nathan Enderle,2011,Idaho,4
336,0.2967146250995852,99.69611403346062,0.5267857142857143,0.21428571428571427,,0,0.30677388152297663,49,0.30677388152297663,0.14583333333333334,0.0744047619047619,Ricky Stanzi,2011,Iowa,2
392,0.3364700732790694,131.8962687253952,0.5153061224489796,0.25510204081632654,,0,0.5101749897003174,48,0.5101749897003174,0.12244897959183673,0.07908163265306123,Ryan Mallett,2011,Arkansas,2
324,0.2540629923424143,82.31640951894224,0.48148148148148145,0.19135802469135801,,0,-0.11715579926967626,40,-0.11715579926967626,0.12345679012345678,0.07407407407407407,Tyrod Taylor,2011,Virginia Tech,4
382,0.41145069378364774,157.17416502535343,0.5890052356020943,0.19895287958115182,,0,0.42843040858998016,85,0.42843040858998016,0.22251308900523561,0.0968586387434555,Andrew Luck,2012,Stanford,3
528,0.25058255578871025,132.30758945643902,0.5700757575757576,0.19886363636363635,,0,-0.002172974653022239,86,-0.002172974653022239,0.16287878787878787,0.07196969696969698,Brandon Weeden,2012,Oklahoma State,4
494,0.2338814911572074,115.53745663166046,0.5040485829959515,0.19838056680161945,,0,0.17583452609547398,57,0.17583452609547398,0.11538461538461539,0.05263157894736842,Brock Osweiler,2012,Arizona State,3
391,0.3233119556037209,126.41497464105487,0.5370843989769821,0.16624040920716113,,0,0.3699956107557866,57,0.3699956107557866,0.14578005115089515,0.06649616368286446,Kirk Cousins,2012,Michigan State,4
513,0.43679535043286066,224.07601477205753,0.5672514619883041,0.17348927875243664,,0,0.32537934563376686,55,0.32537934563376686,0.10721247563352826,0.05263157894736842,Nick Foles,2012,Arizona,3
396,0.46927764497208174,185.83394740894437,0.5732323232323232,0.2196969696969697,,0,0.194686553417108,39,0.194686553417108,0.09848484848484848,0.09343434343434344,Robert Griffin III,2012,Baylor,3
310,0.5080847397146205,157.50626931153238,0.6,0.24838709677419354,,0,0.9390998421883097,49,0.9390998421883097,0.15806451612903225,0.10967741935483871,Russell Wilson,2012,Wisconsin,1
405,0.21060545059081948,85.29520748928189,0.45925925925925926,0.18024691358024691,,0,0.015754399628474778,58,0.015754399628474778,0.14320987654320988,0.05185185185185185,Ryan Lindley,2012,San Diego State,4
475,0.25720113043722354,122.17053695768118,0.5284210526315789,0.17473684210526316,,0,0.4224229896510089,54,0.4224229896510089,0.11368421052631579,0.061052631578947365,Ryan Tannehill,2012,Texas A&M,4
390,0.11608510449146613,45.27319075167179,0.517948717948718,0.20512820512820512,,0,0.11341910627153184,45,0.11341910627153184,0.11538461538461539,0.05897435897435897,EJ Manuel,2013,Florida State,2
491,0.27815558352031555,136.57439150847495,0.5560081466395111,0.15885947046843177,,0,-0.050024224364239235,69,-0.050024224364239235,0.14052953156822812,0.09164969450101833,Geno Smith,2013,West Virginia,4
501,0.40625291914045214,203.53271248936653,0.5888223552894212,0.17764471057884232,,0,0.7231517468179975,70,0.7231517468179975,0.13972055888223553,0.06187624750499002,Landry Jones,2013,Oklahoma,4
356,0.34845344751571,124.04942731559277,0.5168539325842697,0.22752808988764045,,0,0.3031126403808594,50,0.3031126403808594,0.1404494382022472,0.10112359550561797,Matt Barkley,2013,USC,4
534,0.16300007227933808,87.04203859716654,0.47191011235955055,0.15168539325842698,,0,0.17160349352317944,57,0.17160349352317944,0.10674157303370786,0.0599250936329588,Mike Glennon,2013,NC State,4
434,0.3644953631207965,158.19098759442568,0.5368663594470046,0.22580645161290322,,0,0.26256260606977677,63,0.26256260606977677,0.14516129032258066,0.059907834101382486,Ryan Nassib,2013,Syracuse,4
