attempts,season,epa_per_play_raw,total_epa_raw,success_rate_raw,epa_per_play_adj,avg_opponent_sp_defense,sos_percentile,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
230,2004,0.47585466938174287,109.44657395780087,0.5173913043478261,0.47585466938174287,,,0.24347826086956523,,0,0.8536026811599732,25,0.8536026811599732,0.10869565217391304,0.06956521739130435,Brady Quinn,2007,Notre Dame,3
191,2004,0.31235551432321207,59.65990323573351,0.5287958115183246,0.31235551432321207,,,0.2094240837696335,,0,-0.17080501317977903,20,-0.17080501317977903,0.10471204188481675,0.041884816753926704,Drew Stanton,2007,Michigan State,3
54,2004,0.16653404743583114,8.992838561534882,0.37037037037037035,0.16653404743583114,,,0.24074074074074073,,0,-1.1895318031311035,3,-1.1895318031311035,0.05555555555555555,0.07407407407407407,Isaiah Stanback,2007,Washington,3
325,2006,0.3610581658436702,117.34390389919281,0.5661538461538461,0.3610581658436702,23.112605042016806,50.0,0.2246153846153846,,0,0.6876913751874651,35,0.6876913751874651,0.1076923076923077,0.08307692307692308,JaMarcus Russell,2007,LSU,3
57,2004,0.457825593781053,26.09605884552002,0.47368421052631576,0.457825593781053,,,0.19298245614035087,,0,0.9886689186096191,6,0.9886689186096191,0.10526315789473684,0.07017543859649122,John Beck,2007,BYU,3
83,2004,0.3009885780356196,24.982051976956427,0.5180722891566265,0.3009885780356196,,,0.25301204819277107,,0,0.40330106019973755,6,0.40330106019973755,0.07228915662650602,0.024096385542168676,Kevin Kolb,2007,Houston,3
219,2004,0.1423542057950747,31.17557106912136,0.4794520547945205,0.1423542057950747,,,0.1643835616438356,,0,-0.15413063367207844,30,-0.15413063367207844,0.136986301369863,0.0410958904109589,Trent Edwards,2007,Stanford,3
306,2006,0.33033455070716883,101.08237251639366,0.545751633986928,0.33033455070716883,23.112605042016806,50.0,0.1895424836601307,,0,0.7760599454243978,45,0.7760599454243978,0.14705882352941177,0.09803921568627451,Troy Smith,2007,Ohio State,3
286,2005,0.3649160949500291,104.36600315570831,0.5944055944055944,0.3649160949500291,25.5635593220339,50.0,0.21678321678321677,,0,0.46295346816380817,36,0.46295346816380817,0.1258741258741259,0.06643356643356643,Brian Brohm,2008,Louisville,4
302,2004,0.3307604042702163,99.88964208960533,0.5198675496688742,0.3307604042702163,,,0.15894039735099338,,0,0.35319824303899494,28,0.35319824303899494,0.09271523178807947,0.06622516556291391,Chad Henne,2008,Michigan,4
