attempts,epa_per_play,total_epa,success_rate,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
230,0.47585466938174287,109.44657395780087,0.5173913043478261,0.24347826086956523,,0,0.8536026811599732,25,0.8536026811599732,0.10869565217391304,0.06956521739130435,Brady Quinn,2007,Notre Dame,3
191,0.31235551432321207,59.65990323573351,0.5287958115183246,0.2094240837696335,,0,-0.17080501317977903,20,-0.17080501317977903,0.10471204188481675,0.041884816753926704,Drew Stanton,2007,Michigan State,3
54,0.16653404743583114,8.992838561534882,0.37037037037037035,0.24074074074074073,,0,-1.1895318031311035,3,-1.1895318031311035,0.05555555555555555,0.07407407407407407,Isaiah Stanback,2007,Washington,3
325,0.3610581658436702,117.34390389919281,0.5661538461538461,0.2246153846153846,,0,0.6876913751874651,35,0.6876913751874651,0.1076923076923077,0.08307692307692308,JaMarcus Russell,2007,LSU,3
57,0.457825593781053,26.09605884552002,0.47368421052631576,0.19298245614035087,,0,0.9886689186096191,6,0.9886689186096191,0.10526315789473684,0.07017543859649122,John Beck,2007,BYU,3
83,0.3009885780356196,24.982051976956427,0.5180722891566265,0.25301204819277107,,0,0.40330106019973755,6,0.40330106019973755,0.07228915662650602,0.024096385542168676,Kevin Kolb,2007,Houston,3
219,0.1423542057950747,31.17557106912136,0.4794520547945205,0.1643835616438356,,0,-0.15413063367207844,30,-0.15413063367207844,0.136986301369863,0.0410958904109589,Trent Edwards,2007,Stanford,3
306,0.33033455070716883,101.08237251639366,0.545751633986928,0.1895424836601307,,0,0.7760599454243978,45,0.7760599454243978,0.14705882352941177,0.09803921568627451,Troy Smith,2007,Ohio State,3
286,0.3649160949500291,104.36600315570831,0.5944055944055944,0.21678321678321677,,0,0.46295346816380817,36,0.46295346816380817,0.1258741258741259,0.06643356643356643,Brian Brohm,2008,Louisville,4
302,0.3307604042702163,99.88964208960533,0.5198675496688742,0.15894039735099338,,0,0.35319824303899494,28,0.35319824303899494,0.09271523178807947,0.06622516556291391,Chad Henne,2008,Michigan,4
72,0.20502631428381388,14.761894628434598,0.5555555555555556,0.19444444444444445,,0,-0.2751557827004688,10,-0.2751557827004688,0.1388888888888889,0.06944444444444445,Dennis Dixon,2008,Oregon,4
40,0.5095569372177124,20.382277488708496,0.6,0.325,,0,0.037211338678995766,6,0.037211338678995766,0.15,0.1,Joe Flacco,2008,Delaware,1
302,0.3322764377522942,100.34748420119286,0.5298013245033113,0.2152317880794702,,0,0.06646759565486464,43,0.06646759565486464,0.1423841059602649,0.0728476821192053,John David Booty,2008,USC,2
592,0.20167005059586182,119.3886699527502,0.5152027027027027,0.16722972972972974,,0,0.16020981945208648,67,0.16020981945208648,0.11317567567567567,0.052364864864864864,Matt Ryan,2008,Boston College,4
343,0.17894951829757358,61.379684776067734,0.4868804664723032,0.19825072886297376,,0,-0.07463677724202473,30,-0.07463677724202473,0.08746355685131195,0.05830903790087463,Josh Freeman,2009,Kansas State,3
8,0.4844472557306291,3.8755780458450326,0.375,0.375,,0,4.916185855865479,1,4.916185855865479,0.125,0.0,Mark Sanchez,2009,USC,3
367,0.3705885667729443,136.00600400567055,0.5149863760217984,0.22888283378746593,,0,0.2965635729999077,41,0.2965635729999077,0.11171662125340599,0.0681198910081744,Matthew Stafford,2009,Georgia,3
177,0.4081846853812872,72.24868931248784,0.5084745762711864,0.21468926553672316,,0,1.060983403523763,15,1.060983403523763,0.0847457627118644,0.07909604519774012,Pat White,2009,West Virginia,4
32,0.5433925352990627,17.388561129570007,0.5625,0.21875,,0,,0,,0.0,0.03125,Rhett Bomar,2009,Sam Houston State,1
299,0.20948034794035564,62.634624034166336,0.4816053511705686,0.1605351170568562,,0,0.14355722955755285,37,0.14355722955755285,0.12374581939799331,0.04013377926421405,Stephen McGee,2009,Texas A&M,4
327,0.24542514119149167,80.25402116961777,0.5443425076452599,0.1651376146788991,,0,0.31702752113342286,35,0.31702752113342286,0.10703363914373089,0.05504587155963303,Tom Brandstater,2009,Fresno State,4
426,0.41291723006837805,175.90274000912905,0.5821596244131455,0.19718309859154928,,0,0.5258770805818064,54,0.5258770805818064,0.1267605633802817,0.07981220657276995,Colt McCoy,2010,Texas,4
335,0.30086859139933514,100.79097811877728,0.5462686567164179,0.1582089552238806,,0,0.3331729638867262,41,0.3331729638867262,0.12238805970149254,0.056716417910447764,Dan LeFevour,2010,Central Michigan,4
409,0.32078263741032126,131.2000987008214,0.5574572127139364,0.1882640586797066,,0,0.08102583466914662,57,0.08102583466914662,0.1393643031784841,0.07090464547677261,Jimmy Clausen,2010,Notre Dame,3
62,0.21096071721084655,13.079564467072487,0.4032258064516129,0.14516129032258066,,0,0.20103615522384644,4,0.20103615522384644,0.06451612903225806,0.06451612903225806,Jonathan Crompton,2010,Tennessee,4
416,0.6272651373337095,260.94229713082314,0.6490384615384616,0.25,,0,0.866268880550678,65,0.866268880550678,0.15625,0.11778846153846154,Sam Bradford,2010,Oklahoma,3
326,0.45781558197278244,148.7900641411543,0.6030769230769231,0.23006134969325154,,0,0.3013293393727007,58,0.3013293393727007,0.17791411042944785,0.09202453987730061,Tim Tebow,2010,Florida,4
304,0.32027568903408554,97.363809466362,0.5328947368421053,0.1875,,0,0.23858940844633142,49,0.23858940844633142,0.1611842105263158,0.09539473684210527,Tony Pike,2010,Cincinnati,3
286,0.40816851119165654,116.73619420081377,0.5909090909090909,0.1993006993006993,,0,0.789314739631884,33,0.789314739631884,0.11538461538461539,0.0979020979020979,Andy Dalton,2011,TCU,4
403,0.21732079361567722,87.58027982711792,0.48883374689826303,0.18114143920595532,,0,-0.14097132947709826,36,-0.14097132947709826,0.08933002481389578,0.05955334987593052,Blaine Gabbert,2011,Missouri,3
319,0.20966916416879733,66.88446336984634,0.5454545454545454,0.18808777429467086,,0,0.2897954191480364,35,0.2897954191480364,0.109717868338558,0.0438871473354232,Christian Ponder,2011,Florida State,4
330,0.4182603472109997,138.0259145796299,0.5636363636363636,0.19696969696969696,,0,0.2574040743769432,49,0.2574040743769432,0.1484848484848485,0.06363636363636363,Colin Kaepernick,2011,Nevada,4
331,0.4065557280808597,134.56994599476457,0.5468277945619335,0.18731117824773413,,0,0.19527027413651749,37,0.19527027413651749,0.11178247734138973,0.0634441087613293,Jake Locker,2011,Washington,4
295,0.44735189186314406,131.9688080996275,0.5050847457627119,0.2440677966101695,,0,0.25865405797958374,28,0.25865405797958374,0.09491525423728814,0.07457627118644068,Nathan Enderle,2011,Idaho,4
336,0.2967146250995852,99.69611403346062,0.5267857142857143,0.21428571428571427,,0,0.30677388152297663,49,0.30677388152297663,0.14583333333333334,0.0744047619047619,Ricky Stanzi,2011,Iowa,2
392,0.3364700732790694,131.8962687253952,0.5153061224489796,0.25510204081632654,,0,0.5101749897003174,48,0.5101749897003174,0.12244897959183673,0.07908163265306123,Ryan Mallett,2011,Arkansas,2
324,0.2540629923424143,82.31640951894224,0.48148148148148145,0.19135802469135801,,0,-0.11715579926967626,40,-0.11715579926967626,0.12345679012345678,0.07407407407407407,Tyrod Taylor,2011,Virginia Tech,4
229,0.46203349641316843,105.80567067861557,0.5764192139737991,0.27510917030567683,,0,0.19362193605174188,23,0.19362193605174188,0.10043668122270742,0.05240174672489083,Andrew Luck,2012,Stanford,3
