attempts,epa_per_play,total_epa,success_rate,big_play_rate,third_down_epa,third_down_attempts,red_zone_epa,red_zone_attempts,high_leverage_epa,high_leverage_rate,scoring_play_rate,player_name,draft_year,college,seasons_played
1096,0.33568161883710945,367.90705424547195,0.531021897810219,0.2116788321167883,,0,0.4536890787864799,134,0.4536890787864799,0.12226277372262774,0.07755474452554745,Brady Quinn,2007,Notre Dame,3
770,0.21744076143224517,167.4293863028288,0.5012987012987012,0.21168831168831168,,0,0.14438810459403104,86,0.14438810459403104,0.11168831168831168,0.05194805194805195,Drew Stanton,2007,Michigan State,3
393,-0.01033287695349601,-4.060820642723932,0.41475826972010177,0.19338422391857507,,0,-0.35033002606090496,27,-0.35033002606090496,0.06870229007633588,0.04580152671755725,Isaiah Stanback,2007,Washington,3
728,0.22081871452526405,160.75602417439222,0.5082417582417582,0.2239010989010989,,0,0.535262256860733,72,0.535262256860733,0.0989010989010989,0.06868131868131869,JaMarcus Russell,2007,LSU,3
869,0.32115526663265925,279.0839267037809,0.5592635212888377,0.2094361334867664,,0,0.3965495102996126,109,0.3965495102996126,0.12543153049482164,0.06444188722669736,John Beck,2007,BYU,3
844,0.04864234306193822,41.05413754427586,0.4490521327014218,0.2037914691943128,,0,-0.21383546157317115,88,-0.21383546157317115,0.10426540284360189,0.0533175355450237,Kevin Kolb,2007,Houston,3
609,0.07099816139499934,43.237880289554596,0.4827586206896552,0.16420361247947454,,0,0.0012014884697763544,76,0.0012014884697763544,0.12479474548440066,0.052545155993431854,Trent Edwards,2007,Stanford,3
644,0.287362275911229,185.06130568683147,0.5232919254658385,0.21428571428571427,,0,0.2399119567871094,75,0.2399119567871094,0.11645962732919254,0.08695652173913043,Troy Smith,2007,Ohio State,3
1111,0.3387234495109422,376.32175240665674,0.5445544554455446,0.21332133213321333,,0,0.25756381695566616,153,0.25756381695566616,0.13771377137713772,0.063006300630063,Brian Brohm,2008,Louisville,4
1250,0.22510926309227944,281.3865788653493,0.5136,0.1712,,0,0.15169595254884732,143,0.15169595254884732,0.1144,0.0656,Chad Henne,2008,Michigan,4
