game_id,game_date,season,season_type,week,passer_player_id,passer_player_name,posteam,defteam,qb_epa_mean,qb_epa_sum,qb_epa_count,cpoe_mean,success_mean,attempts
2006_05_MIA_NE,2006-10-08,2006,REG,5,00-0021141,J.Harrington,MIA,NE,-0.030350,-1.274681,42,-0.255040,0.476190,42.000000
2006_05_NYJ_JAX,2006-10-08,2006,REG,5,00-0019559,C.Pennington,NYJ,JAX,-0.818050,-17.179051,21,-10.788304,0.285714,21.000000
2006_05_NYJ_JAX,2006-10-08,2006,REG,5,00-0022177,B.Leftwich,JAX,NYJ,0.239054,5.020139,21,-21.184566,0.428571,21.000000
2006_05_NYJ_JAX,2006-10-08,2006,REG,5,00-0024264,K.Clemens,NYJ,JAX,-0.878417,-2.635252,3,-66.805649,0.000000,3.000000
2006_05_OAK_SF,2006-10-08,2006,REG,5,00-0020405,M.Tuiasosopo,LV,SF,-0.322882,-2.905934,9,-12.908253,0.333333,9.000000
2006_05_OAK_SF,2006-10-08,2006,REG,5,00-0023436,A.Smith,SF,LV,0.644216,12.240112,19,15.512768,0.684211,19.000000
2006_05_OAK_SF,2006-10-08,2006,REG,5,00-0023504,A.Walter,LV,SF,-0.086972,-2.087320,24,1.814837,0.458333,24.000000
2006_05_PIT_SD,2006-10-08,2006,REG,5,00-0022924,B.Roethlisberger,PIT,LAC,-0.084096,-2.943362,35,5.147040,0.457143,35.000000
2006_05_PIT_SD,2006-10-08,2006,REG,5,00-0022942,P.Rivers,LAC,PIT,0.154907,6.351193,41,3.051254,0.390244,41.000000
2006_05_STL_GB,2006-10-08,2006,REG,5,00-0005106,B.Favre,GB,LA,0.091838,3.581669,39,-1.844685,0.461538,39.000000
2006_05_STL_GB,2006-10-08,2006,REG,5,00-0019599,M.Bulger,LA,GB,0.323222,9.696649,30,1.235697,0.500000,30.000000
2006_05_TB_NO,2006-10-08,2006,REG,5,00-0020531,D.Brees,NO,TB,-0.001493,-0.049258,33,-1.289888,0.484848,33.000000
2006_05_TB_NO,2006-10-08,2006,REG,5,00-0024408,B.Gradkowski,TB,NO,0.081333,2.683986,33,7.270133,0.393939,33.000000
2006_05_TEN_IND,2006-10-08,2006,REG,5,00-0010346,P.Manning,IND,TEN,0.064749,2.007220,31,-1.523053,0.451613,31.000000
2006_05_TEN_IND,2006-10-08,2006,REG,5,00-0024218,V.Young,TEN,IND,-0.176188,-3.699943,21,-7.293876,0.238095,21.000000
2006_05_WAS_NYG,2006-10-08,2006,REG,5,00-0002110,M.Brunell,WAS,NYG,-0.196435,-4.910885,25,-7.284465,0.320000,25.000000
2006_05_WAS_NYG,2006-10-08,2006,REG,5,00-0022803,E.Manning,NYG,WAS,0.188478,6.219775,33,4.795885,0.515152,33.000000
2006_06_BUF_DET,2006-10-15,2006,REG,6,00-0009311,J.Kitna,DET,BUF,0.080615,3.143992,39,2.928384,0.487179,39.000000
2006_06_BUF_DET,2006-10-15,2006,REG,6,00-0022912,J.Losman,BUF,DET,-0.192336,-7.501117,39,-1.883420,0.435897,39.000000
2006_06_CAR_BAL,2006-10-15,2006,REG,6,00-0004161,J.Delhomme,CAR,BAL,0.429718,17.188733,40,4.285237,0.475000,40.000000
2006_06_CAR_BAL,2006-10-15,2006,REG,6,00-0011024,S.McNair,BAL,CAR,-1.477863,-7.389315,5,-15.574663,0.000000,5.000000
2006_06_CAR_BAL,2006-10-15,2006,REG,6,00-0022164,K.Boller,BAL,CAR,0.094257,3.110477,33,-6.357228,0.363636,33.000000
2006_06_CHI_ARI,2006-10-16,2006,REG,6,00-0022121,R.Grossman,CHI,ARI,-0.832117,-32.452568,39,-18.370859,0.282051,39.000000
2006_06_CHI_ARI,2006-10-16,2006,REG,6,00-0024225,M.Leinart,ARI,CHI,-0.090778,-3.903461,43,-6.688671,0.395349,43.000000
2006_06_CIN_TB,2006-10-15,2006,REG,6,00-0021429,C.Palmer,CIN,TB,0.031801,1.240225,39,7.188670,0.384615,39.000000
2006_06_CIN_TB,2006-10-15,2006,REG,6,00-0024408,B.Gradkowski,TB,CIN,0.016836,0.774469,46,-1.503676,0.456522,46.000000
2006_06_HOU_DAL,2006-10-15,2006,REG,6,00-0001361,D.Bledsoe,DAL,HOU,0.108577,3.257306,30,-0.560131,0.433333,30.000000
2006_06_HOU_DAL,2006-10-15,2006,REG,6,00-0020480,S.Rosenfels,HOU,DAL,-0.085652,-0.942174,11,21.352058,0.545455,11.000000
2006_06_HOU_DAL,2006-10-15,2006,REG,6,00-0020608,D.Carr,HOU,DAL,-0.281991,-7.613756,27,1.775073,0.333333,27.000000
2006_06_HOU_DAL,2006-10-15,2006,REG,6,00-0021678,T.Romo,DAL,HOU,2.634740,5.269480,2,61.212964,1.000000,2.000000
2006_06_KC_PIT,2006-10-15,2006,REG,6,00-0000865,C.Batch,PIT,KC,-0.219950,-0.219950,1,23.931742,0.000000,1.000000
2006_06_KC_PIT,2006-10-15,2006,REG,6,00-0007835,D.Huard,KC,PIT,-0.305702,-9.782457,32,-10.787398,0.343750,32.000000
2006_06_KC_PIT,2006-10-15,2006,REG,6,00-0022924,B.Roethlisberger,PIT,KC,0.813149,16.262976,20,24.645928,0.650000,20.000000
2006_06_KC_PIT,2006-10-15,2006,REG,6,00-0024300,B.Croyle,KC,PIT,-1.375133,-11.001064,8,-18.416507,0.250000,8.000000
2006_06_MIA_NYJ,2006-10-15,2006,REG,6,00-0019559,C.Pennington,NYJ,MIA,-0.016211,-0.502533,31,-6.896088,0.322581,31.000000
2006_06_MIA_NYJ,2006-10-15,2006,REG,6,00-0021141,J.Harrington,MIA,NYJ,0.164351,7.067088,43,1.113272,0.534884,43.000000
2006_06_NYG_ATL,2006-10-15,2006,REG,6,00-0020245,M.Vick,ATL,NYG,-0.491270,-16.703181,34,-1.975704,0.323529,34.000000
2006_06_NYG_ATL,2006-10-15,2006,REG,6,00-0022803,E.Manning,NYG,ATL,-0.136836,-4.378747,32,-7.192643,0.500000,32.000000
2006_06_OAK_DEN,2006-10-15,2006,REG,6,00-0013042,J.Plummer,DEN,LV,-0.143038,-2.860764,20,-5.115456,0.350000,20.000000
2006_06_OAK_DEN,2006-10-15,2006,REG,6,00-0023504,A.Walter,LV,DEN,0.019459,0.583775,30,-3.438492,0.400000,30.000000
