passer_player_id,y,y1_team,team_fallback,e1_new_team,e2_coach_change,e3_ret_rec_epa,e4_team_pass_env,e5_sched_def
00-0000865,2006,PIT,0,0,1,19.008832931518555,0.06299424351884472,-0.020792538364327352
00-0000865,2009,PIT,0,0,0,7.465153217315674,0.13820646395253727,0.0004056958981049751
00-0000865,2010,PIT,0,0,0,8.879858016967773,0.1230272799796947,0.07103481462405625
00-0000865,2011,PIT,0,0,0,9.050117492675781,0.1397770166532297,0.02715644065552575
00-0002110,2009,NYJ,0,1,0,-0.045383270829916,-0.11804193264869549,-0.00018042691501531788
00-0002110,2010,NYJ,0,0,0,5.601656436920166,0.014316486155870218,0.06146807481695232
00-0003292,2006,TEN,0,0,0,6.594188213348389,-0.14796612739189888,-0.012097609854359067
00-0003292,2007,TEN,0,0,0,10.568502426147461,-0.02546047894256756,0.03952159880948166
00-0003292,2008,TEN,0,0,0,11.7131929397583,0.03646859801235416,0.06551606392369097
00-0003292,2009,TEN,0,0,0,2.0179905891418457,0.028109593379517055,0.05897675238600657
00-0003292,2010,IND,0,1,0,9.044500350952148,0.19325002268485664,0.0822768311695484
00-0003315,2009,CHI,0,1,0,-0.1133665218949318,-0.09292695434327468,0.014812273327420473
00-0003739,2006,LV,0,1,1,13.017923355102539,-0.2625879671487615,-0.020047160958562783
00-0003739,2007,DET,1,1,0,19.307613372802734,-0.04099457165527846,0.022553232122892126
00-0003739,2008,DET,0,0,1,12.322125434875488,-0.19489726752162187,0.006468531208709554
00-0004161,2006,CAR,0,0,0,7.921989917755127,-0.05936436063980223,0.025763120270344157
00-0004161,2007,CAR,0,0,0,7.644697189331055,-0.06681688637186235,0.031281074380727705
00-0004161,2008,CAR,0,0,0,14.628097534179688,0.025767325703499943,0.01114306258052785
00-0004161,2009,CLE,0,1,0,-3.4625651836395264,-0.2633919262726462,-0.008778113464641024
00-0004161,2010,HOU,1,1,0,7.061936855316162,0.13182514538622678,0.0572666980538913
00-0005106,2006,GB,0,0,0,14.090965270996094,-0.024256810247584398,-0.009181056759040317
00-0005106,2007,NYJ,0,1,0,14.802924156188965,-0.0899368904750348,0.03274611148976727
00-0005106,2008,MIN,0,1,0,12.8892183303833,-0.07069740640292592,0.0398209378799589
00-0005106,2009,MIN,0,0,0,8.911840438842773,0.2615205208921312,0.024031227308755364
00-0005589,2006,LA,0,0,0,22.59855079650879,0.09141326241940528,0.022038393350424165
00-0005589,2007,MIN,0,1,0,15.691368103027344,-0.019521649941808328,0.030518794469169698
00-0005755,2006,TB,0,1,0,12.484312057495117,-0.21120051632838296,0.03413440206372568
00-0005755,2007,TB,0,0,0,13.54397201538086,0.06243924926412714,0.03869065421655048
00-0006355,2006,MIA,0,1,1,13.679557800292969,-0.10149970194146285,-0.022495288937055425
00-0006355,2007,LA,0,1,0,11.832467079162598,-0.15337533428185082,0.020179045236656527
00-0006423,2006,CHI,0,0,0,18.700092315673828,-0.08513362919184245,-0.006649781210950269
00-0006423,2007,TB,0,1,0,13.54397201538086,0.06243924926412714,0.03869065421655048
00-0007091,2006,SEA,0,0,0,11.158093452453613,-0.06154110809411319,0.010579825039637421
00-0007091,2007,SEA,0,0,0,15.882279396057129,0.08477600922715114,0.02876655407426779
00-0007091,2008,SEA,0,0,1,11.218423843383789,-0.06695918291378908,0.04850428404408153
00-0007091,2009,SEA,0,0,1,0.023936375975608826,-0.07855063132662991,0.03672625131374593
00-0007091,2010,TEN,0,1,1,3.9716858863830566,0.05596034351065363,0.10061286620320667
00-0007091,2011,TEN,0,0,0,2.636643648147583,0.028363543882554777,0.029228863774098383
00-0007091,2012,IND,0,1,0,5.346557140350342,0.00637843872578397,0.032984726988366644
00-0007091,2013,IND,0,0,0,7.849254131317139,0.04897135596203574,0.06890931978808473
00-0007091,2014,IND,0,0,0,8.803627967834473,0.11062811251875884,0.05926982125643486
00-0007835,2006,KC,0,0,0,15.05014705657959,0.0038928299560549544,-0.030286570702574716
00-0007835,2007,KC,0,0,0,14.511931419372559,-0.10832074960545776,0.04035502099396617
00-0008442,2006,DAL,0,1,1,21.846317291259766,0.1362484776157139,-0.007820849340909425
00-0008442,2007,DAL,0,0,0,20.944746017456055,0.2340209810607876,0.010083611789213819
