game_id,game_date,season,season_type,week,passer_player_id,passer_player_name,posteam,defteam,plays,epa,cpoe,success,age,log_pick,def_rating,adj_epa,b1_expanding,b2_prev_season,b3_ewma,b4_last12,k_epa,k_adj_epa,k_adj_epa_var,k_cpoe,k_success,k_informed,k_informed_pre,k_informed_var,leaf_v34,leaf_v34_pre,leaf_v34_unrestricted
2006_01_NO_CLE,2006-09-10,2006,REG,1,00-0020531,D.Brees,NO,CLE,31,0.119282,-2.326433,0.483871,27.652293,3.465736,0.000000,0.119282,,,,,-0.027086,-0.027086,0.004366,-1.096289,0.428646,-0.038980,-0.063756,0.004366,0.026814,0.016230,0.011100
2006_01_NO_CLE,2006-09-10,2006,REG,1,00-0023502,C.Frye,CLE,NO,32,-0.332845,2.416794,0.406250,25.034908,4.204693,0.000000,-0.332845,,,,,-0.089349,-0.089349,0.004347,-0.744562,0.418087,-0.106414,-0.069823,0.004347,0.002242,0.014007,-0.018554
2006_01_NYJ_TEN,2006-09-10,2006,REG,1,00-0003292,K.Collins,TEN,NYJ,41,-0.287444,-9.515506,0.341463,33.694730,1.609438,0.000000,-0.287444,,,,,-0.090730,-0.090730,0.004184,-1.798865,0.406528,-0.090236,-0.049404,0.004184,-0.003818,0.021487,-0.026889
2006_01_NYJ_TEN,2006-09-10,2006,REG,1,00-0019559,C.Pennington,NYJ,TEN,35,0.479329,15.705594,0.571429,30.206708,2.890372,0.000000,0.479329,,,,,0.029506,0.029506,0.004291,0.356478,0.442745,0.021831,-0.059032,0.004291,0.065119,0.017960,0.051496
2006_01_NYJ_TEN,2006-09-10,2006,REG,1,00-0024218,V.Young,TEN,NYJ,4,-0.221895,18.562296,0.750000,23.315537,1.098612,0.000000,-0.221895,,,,,-0.053404,-0.053404,0.004950,-0.804396,0.426534,-0.046929,-0.043395,0.004950,0.025795,0.023689,0.008495
2006_01_PHI_HOU,2006-09-10,2006,REG,1,00-0011022,D.McNabb,PHI,HOU,36,0.442784,5.319583,0.527778,29.790554,0.693147,0.000000,0.442784,,,,,0.025807,0.025807,0.004273,-0.473416,0.436580,0.033429,-0.040992,0.004273,0.060719,0.024569,0.046540
2006_01_PHI_HOU,2006-09-10,2006,REG,1,00-0020608,D.Carr,HOU,PHI,32,-0.146616,11.983247,0.406250,27.140315,0.000000,0.000000,-0.146616,,,,,-0.063441,-0.063441,0.004347,-0.029380,0.418087,-0.050787,-0.035301,0.004347,0.028648,0.026654,0.005885
2006_01_SEA_DET,2006-09-10,2006,REG,1,00-0007091,M.Hasselbeck,SEA,DET,34,0.044979,18.132760,0.470588,30.959617,5.231109,0.000000,0.044979,,,,,-0.036082,-0.036082,0.004310,0.512684,0.427413,-0.060192,-0.078250,0.004310,0.032273,0.010920,0.012102
2006_01_SEA_DET,2006-09-10,2006,REG,1,00-0009311,J.Kitna,DET,SEA,40,-0.111451,-6.760845,0.375000,33.968515,5.572154,0.000000,-0.111451,,,,,-0.060327,-0.060327,0.004201,-1.528470,0.412438,-0.086898,-0.081939,0.004201,0.001268,0.009568,-0.020008
2006_01_SF_ARI,2006-09-10,2006,REG,1,00-0017200,K.Warner,ARI,SF,40,0.226088,-2.855340,0.475000,35.219713,5.572154,0.000000,0.226088,,,,,-0.003603,-0.003603,0.004201,-1.170199,0.429243,-0.030174,-0.081939,0.004201,0.029577,0.009568,0.014269
2006_01_SF_ARI,2006-09-10,2006,REG,1,00-0023436,A.Smith,SF,ARI,39,0.180761,-0.583446,0.435897,22.343600,0.000000,0.000000,0.180761,,,,,-0.012030,-0.012030,0.004219,-0.962657,0.422616,0.001024,-0.034375,0.004219,0.040978,0.026993,0.022269
2006_01_MIN_WAS,2006-09-11,2006,REG,1,00-0002110,M.Brunell,WAS,MIN,28,0.010847,-1.882584,0.392857,35.983573,4.770685,0.000000,0.010847,,,,,-0.042462,-0.042462,0.004424,-1.058278,0.416637,-0.064679,-0.075358,0.004424,0.014498,0.011979,-0.006262
2006_01_MIN_WAS,2006-09-11,2006,REG,1,00-0008442,B.Johnson,MIN,WAS,31,0.397872,-2.512507,0.419355,37.993155,5.424950,0.000000,0.397872,,,,,0.010624,0.010624,0.004366,-1.109797,0.419913,-0.015947,-0.080730,0.004366,0.032795,0.010011,0.013375
2006_01_SD_OAK,2006-09-11,2006,REG,1,00-0001823,A.Brooks,LV,LAC,21,-0.686841,-15.923791,0.238095,30.466804,4.875197,0.000000,-0.686841,,,,,-0.111061,-0.111061,0.004566,-1.751486,0.402559,-0.133961,-0.075328,0.004566,-0.020503,0.011990,-0.045211
2006_01_SD_OAK,2006-09-11,2006,REG,1,00-0022942,P.Rivers,LAC,LV,11,0.740705,12.621037,0.636364,24.758385,1.386294,0.000000,0.740705,,,,,-0.008388,-0.008388,0.004784,-0.631900,0.431387,-0.004368,-0.045757,0.004784,0.044143,0.022823,0.028307
