passer_player_id,origin_season,target_start_season,target_end_season,target_span_days,k_epa,k_cpoe,k_success,k_informed,y
00-0000865,2006,2006,2012,2240,0.004200896968635008,-1.0826050295134024,0.416637445067461,-0.012372366706305947,0.027811671296296307
00-0003739,2006,2006,2009,1113,-0.07924462562396006,-1.77074778746594,0.4166389351081531,-0.08339473531189025,-0.12277968558951964
00-0004161,2006,2006,2008,721,-0.10974100419011626,-1.4900285556457615,0.4073039104054554,-0.13525135583588213,0.07420896309963099
00-0004161,2006,2006,2008,721,-0.007071738268233017,-0.36704725196351745,0.43424941716743776,-0.02047742138502626,0.031154883910386965
00-0004161,2008,2008,2009,364,0.03170443378043867,0.008657526439435445,0.4327296371576009,0.0180915271768947,0.022314004866180032
00-0004161,2008,2008,2009,364,0.009727872677647846,-0.978753807373027,0.4340208332862465,-0.00815362348628968,0.03725289573459715
00-0004161,2009,2009,2011,833,0.026519698799773825,-0.5611569855354788,0.44019455538076185,0.004125884737611947,-0.14703805765407554
00-0020245,2006,2006,2009,1106,-0.02572916113425615,-1.3930612821397348,0.4170138060296555,-0.012559861293099654,-0.1750564092009685
00-0020245,2006,2006,2010,1393,-0.10495816938250502,-2.634149946390559,0.38811560162031805,-0.10095130035782549,-0.10516155665024628
00-0020245,2009,2009,2010,417,-0.13149996493890398,-2.5962649289037087,0.38531727452501574,-0.13121234014074973,0.26565277483443706
00-0020245,2010,2010,2011,385,-0.09547045718387279,-2.3263601876731146,0.3885842353263704,-0.09797240960748253,0.14899445190562616
00-0020245,2010,2010,2011,385,0.04066041101443731,0.7398057752226783,0.43219886608907326,0.03688838045817076,0.0765239063063063
00-0020245,2011,2011,2012,386,0.04536911001307511,1.5200128583086732,0.444898705561397,0.04057255773103222,0.037198741666666674
00-0020245,2011,2012,2013,413,0.06807391745776607,0.9501503979493365,0.4527669553214479,0.06228773745744267,0.00022464915572232959
00-0020245,2012,2012,2015,1050,0.03790053367163643,0.942224896783606,0.4405368101202385,0.025981309532037717,-0.1322935603448276
00-0011024,2006,2006,2007,358,-0.012753837990055888,-0.05086690645259451,0.42737707075284903,-0.008538286161382969,0.03370969484536083
00-0024408,2006,2006,2008,819,-0.0686260743472775,-1.2299315119440477,0.4076482577889935,-0.09543916033901169,-0.2620060984042553
00-0024408,2006,2006,2009,1116,-0.10605403863522588,-2.6906834851055232,0.3848517034015112,-0.11483045111692801,-0.3044103475409836
00-0024408,2008,2008,2011,1071,-0.20721226895946293,-3.7971911894138892,0.3726669731941519,-0.21077113630356098,-0.14523575274725276
00-0019596,2006,2006,2007,357,-0.06323074109431627,-1.3197001294045887,0.4158931755502519,-0.08865326363783159,0.1858371355311355
00-0019596,2006,2006,2007,350,0.05372830994604133,-0.7550824701943555,0.4432810755429469,0.041200364195073044,0.35931648780487807
00-0019596,2007,2007,2008,357,0.13184972653913316,0.8290058001026589,0.45312513232504825,0.12165982173044573,0.38261417353951893
00-0019596,2007,2007,2009,721,0.24477599672210779,3.7262127344048745,0.5043840538856876,0.2357761223524235,0.2769372115384615
00-0019596,2008,2009,2009,111,0.26693737750199736,3.6138107912638855,0.515538533728991,0.25841436530677686,0.2324295239726027
00-0019596,2009,2009,2010,357,0.2650603668350544,3.7375093995782227,0.5190745659352939,0.25106515981031285,0.19005187850467292
00-0019596,2009,2010,2010,112,0.2587779267591692,3.7756397222691698,0.5160419636624609,0.23988908895268468,0.28784033397683395
00-0019596,2010,2010,2011,357,0.2351798957192172,3.0311601144442504,0.503518707603135,0.2132919329285207,0.3209716351118761
00-0019596,2010,2011,2011,111,0.2879360005620046,3.56230738610319,0.5074459712278774,0.26300726826770104,0.3086107990654206
00-0019596,2011,2011,2012,350,0.27241288896719296,4.032364240343513,0.5180740074290466,0.24771595688023051,0.32753642723004694
00-0019596,2011,2012,2012,112,0.300332375466073,3.467732605125353,0.5243163932437729,0.2747840523657138,0.2866566465256798
00-0019596,2012,2012,2013,350,0.300656530783573,3.5721586794513076,0.526965202909749,0.2749824563619001,0.14451431707317072
00-0019596,2012,2013,2013,112,0.297395785247384,2.6059366461206435,0.5275558800490725,0.2714606733906844,0.10868083783783784
00-0019596,2013,2013,2014,357,0.20483399096520596,0.7493201662078185,0.48916195821628794,0.17840152576692825,0.21149236392405063
00-0019596,2013,2014,2014,112,0.21097781803530846,1.0776819256473709,0.5005747106987694,0.18440596917117844,0.18176131788079472
00-0019596,2014,2014,2015,371,0.22009897391187602,1.2366974743517019,0.4977189123051525,0.192509039758507,0.2355741173780488
00-0019596,2014,2015,2015,115,0.20313917954323105,1.2608176258635861,0.49090431574965526,0.17514844712198172,0.19309346515151515
00-0019596,2015,2015,2016,385,0.23490089499854322,1.4849859495619022,0.4975083905141372,0.20775505100410108,0.2055740749601276
00-0019596,2015,2016,2017,357,0.19153472427689686,0.5850507304278079,0.47156230650514347,0.16383884432720333,0.31634356331168834
00-0019596,2016,2016,2017,356,0.22937398964330033,1.389721805311248,0.4781049433357153,0.20177044810590652,0.2996031516666667
00-0019596,2017,2017,2018,360,0.2526870083263446,1.8747466598752691,0.4865590118793654,0.22489210374152713,0.18069587966101697
00-0019596,2017,2017,2018,356,0.26821445299573926,2.8399786536489118,0.5020418251385262,0.23990388851790523,0.11793709983361067
00-0019596,2018,2018,2019,360,0.20888860052659464,1.9838462872153273,0.48872335420012625,0.18023107291185092,0.1767411273031826
00-0019596,2018,2018,2019,357,0.20105089089551906,1.560797667424521,0.503387224493549,0.17256450007152976,0.0962219352850539
