game_id,game_date,season,week,passer_player_id,passer_player_name,posteam,defteam,qb_epa_mean,qb_epa_sum,qb_epa_count,cpoe_mean,success_mean,attempts
2006_01_SD_OAK,2006-09-11,2006,1,00-0022942,P.Rivers,LAC,LV,0.7407045357289131,8.147749893018045,11,12.62103712016886,0.6363636363636364,11.0
2006_01_SD_OAK,2006-09-11,2006,1,00-0023504,A.Walter,LV,LAC,-0.6136535548305672,-4.29557488381397,7,-10.581498742103577,0.14285714285714285,7.0
2006_01_SEA_DET,2006-09-10,2006,1,00-0007091,M.Hasselbeck,SEA,DET,0.044978655143787655,1.5292742748887802,34,18.13276029866317,0.47058823529411764,34.0
2006_01_SEA_DET,2006-09-10,2006,1,00-0009311,J.Kitna,DET,SEA,-0.1114514818590366,-4.458059274361464,40,-6.760844928877694,0.375,40.0
2006_01_SF_ARI,2006-09-10,2006,1,00-0017200,K.Warner,ARI,SF,0.22608776145453274,9.04351045818131,40,-2.855340371260772,0.475,40.0
2006_01_SF_ARI,2006-09-10,2006,1,00-0023436,A.Smith,SF,ARI,0.18076077432778415,7.0496701987835815,39,-0.5834464571977916,0.4358974358974359,39.0
2006_02_ARI_SEA,2006-09-17,2006,2,00-0007091,M.Hasselbeck,SEA,ARI,0.039133428259505235,1.174002847785157,30,-10.021507510772118,0.3333333333333333,30.0
2006_02_ARI_SEA,2006-09-17,2006,2,00-0017200,K.Warner,ARI,SEA,-0.006483272363784788,-0.27878071164274587,43,4.767359470998919,0.3953488372093023,43.0
2006_02_BUF_MIA,2006-09-17,2006,2,00-0003739,D.Culpepper,MIA,BUF,-0.18891368421737337,-7.556547368694935,40,8.753481315028283,0.45,40.0
2006_02_BUF_MIA,2006-09-17,2006,2,00-0022912,J.Losman,BUF,MIA,-0.10757262689624189,-2.151452537924838,20,3.4912763370407953,0.4,20.0
2006_02_CAR_MIN,2006-09-17,2006,2,00-0004161,J.Delhomme,CAR,MIN,-0.23387311605398559,-8.185559061889496,35,-13.302804300418266,0.3142857142857143,35.0
2006_02_CAR_MIN,2006-09-17,2006,2,00-0008442,B.Johnson,MIN,CAR,-0.27843640126473695,-10.023710445530531,36,5.755860968069597,0.3611111111111111,36.0
2006_02_CAR_MIN,2006-09-17,2006,2,00-0010072,R.Longwell,MIN,CAR,4.305627933354117,4.305627933354117,1,23.84510636329651,1.0,1.0
2006_02_CLE_CIN,2006-09-17,2006,2,00-0021429,C.Palmer,CIN,CLE,0.11577000031065486,5.093880013668814,44,1.2870190999446771,0.4772727272727273,44.0
2006_02_CLE_CIN,2006-09-17,2006,2,00-0023502,C.Frye,CLE,CIN,-0.10077891121351205,-3.325704070045898,33,-2.7419048728364888,0.48484848484848486,33.0
2006_02_DET_CHI,2006-09-17,2006,2,00-0006423,B.Griese,CHI,DET,0.8688510581851006,0.8688510581851006,1,34.2546820640564,1.0,1.0
2006_02_DET_CHI,2006-09-17,2006,2,00-0009311,J.Kitna,DET,CHI,-0.00379880859349318,-0.13675710936575447,36,18.3674541386691,0.5,36.0
2006_02_DET_CHI,2006-09-17,2006,2,00-0022121,R.Grossman,CHI,DET,0.8713263716137718,23.52581203357184,27,11.827437934421358,0.6666666666666666,27.0
2006_02_HOU_IND,2006-09-17,2006,2,00-0010346,P.Manning,IND,HOU,0.6859050062504348,26.750295243766956,39,11.381374661986893,0.6153846153846154,39.0
2006_02_HOU_IND,2006-09-17,2006,2,00-0020608,D.Carr,HOU,IND,0.3737308332386116,11.211924997158349,30,15.62489832823093,0.6,30.0
2006_02_KC_DEN,2006-09-17,2006,2,00-0007835,D.Huard,KC,DEN,-0.06036330893335231,-1.4487194144004554,24,9.900216351855885,0.4166666666666667,24.0
2006_02_KC_DEN,2006-09-17,2006,2,00-0013042,J.Plummer,DEN,KC,-0.09925430931995818,-2.9776292795987453,30,-3.65615590260579,0.4,30.0
2006_02_NE_NYJ,2006-09-17,2006,2,00-0019559,C.Pennington,NYJ,NE,0.341036302912295,13.300415813579503,39,-0.39994284029929866,0.48717948717948717,39.0
2006_02_NE_NYJ,2006-09-17,2006,2,00-0019596,T.Brady,NE,NYJ,0.28670628709786533,8.60118861293596,30,-5.967076016323907,0.4666666666666667,30.0
2006_02_NO_GB,2006-09-17,2006,2,00-0005106,B.Favre,GB,NO,0.10620111328399173,6.0534634571875285,57,-4.663181765512987,0.45614035087719296,57.0
2006_02_NO_GB,2006-09-17,2006,2,00-0020531,D.Brees,NO,GB,0.17486170696518386,7.868776813433273,45,-0.3092087623549671,0.4666666666666667,45.0
2006_02_NYG_PHI,2006-09-17,2006,2,00-0011022,D.McNabb,PHI,NYG,0.24040095244033458,11.05844381225539,46,-0.7068019021641124,0.5,46.0
2006_02_NYG_PHI,2006-09-17,2006,2,00-0022803,E.Manning,NYG,PHI,0.26392913442539995,13.196456721269996,50,10.265487655997276,0.54,50.0
2006_02_OAK_BAL,2006-09-17,2006,2,00-0011024,S.McNair,BAL,LV,-0.4112633541436131,-14.394217395026459,35,-10.854882697264353,0.2857142857142857,35.0
2006_02_OAK_BAL,2006-09-17,2006,2,00-0023504,A.Walter,LV,BAL,-0.7316326364599354,-24.143877003177867,33,-11.8803790807724,0.3333333333333333,33.0
2006_02_PIT_JAX,2006-09-18,2006,2,00-0022177,B.Leftwich,JAX,PIT,0.09409612163465372,3.7638448653861487,40,4.8690923895591345,0.4,40.0
2006_02_PIT_JAX,2006-09-18,2006,2,00-0022924,B.Roethlisberger,PIT,JAX,-0.5637146471785587,-19.166298004070995,34,-4.468816611915827,0.29411764705882354,34.0
2006_02_STL_SF,2006-09-17,2006,2,00-0019599,M.Bulger,LA,SF,-0.07676241898232013,-3.070496759292805,40,-0.1180864613631676,0.35,40.0
2006_02_STL_SF,2006-09-17,2006,2,00-0023436,A.Smith,SF,LA,0.4252034280662663,9.35447541745786,22,-15.322445146739483,0.4090909090909091,22.0
2006_02_TB_ATL,2006-09-17,2006,2,00-0020245,M.Vick,ATL,TB,-0.11020649304407065,-1.9837168747932719,18,5.9034260255949835,0.3333333333333333,18.0
2006_02_TB_ATL,2006-09-17,2006,2,00-0022005,C.Simms,TB,ATL,-0.2287891703424069,-12.125826028147566,53,-12.88335456493053,0.37735849056603776,53.0
2006_02_TB_ATL,2006-09-17,2006,2,00-0024294,J.Norwood,ATL,TB,-0.4489121504011564,-0.4489121504011564,1,,0.0,1.0
2006_02_TEN_SD,2006-09-17,2006,2,00-0003292,K.Collins,TEN,LAC,-0.6615617012016868,-12.569672322832048,19,-19.77352760732174,0.21052631578947367,19.0
2006_02_TEN_SD,2006-09-17,2006,2,00-0020536,L.Tomlinson,LAC,TEN,-1.5758503441627738,-1.5758503441627738,1,-36.339980363845825,0.0,1.0
2006_02_TEN_SD,2006-09-17,2006,2,00-0022942,P.Rivers,LAC,TEN,0.2875996637810709,10.065988232337482,35,10.917207084853073,0.4857142857142857,35.0
